step,queue,delay,cum_queue,cum_delay
0,0,0.0,0.0,0.0
100,0,0.0,0.0,0.0
200,2,8.4,-114.0,-233.5
300,8,38.4,-541.0,-2260.999999999999
400,18,141.3,-1816.0,-10514.199999999993
500,23,322.3,-3823.0,-33201.599999999984
600,32,571.4,-6569.0,-77418.7
700,9,124.6,-9203.0,-109568.20000000001
800,12,219.20000000000002,-10300.0,-126280.79999999989
900,20,294.79999999999995,-11840.0,-155018.30000000025
1000,18,208.6,-13430.0,-172205.50000000032
1100,22,391.6,-15514.0,-201664.4000000004
1200,27,616.7,-17898.0,-252130.00000000038
1300,25,516.1999999999999,-20651.0,-311208.90000000066
1400,31,711.0,-23295.0,-370841.90000000066
1500,36,1033.7,-26647.0,-457395.8000000009
1600,9,55.9,-29342.0,-506035.6000000011
1700,10,92.9,-30242.0,-513049.00000000093
1800,16,139.9,-31364.0,-526648.4000000011
1900,18,201.3,-32819.0,-540746.3000000012
2000,21,372.8,-34873.0,-568863.3000000017
2100,27,599.6,-37343.0,-617413.700000001
2200,31,585.8,-40437.0,-678148.1000000004
2300,32,718.1,-43533.0,-736797.7999999998
2400,37,1079.5,-46936.0,-826146.1000000002
2500,11,226.29999999999998,-49560.0,-887988.9000000012
2600,15,255.2,-50770.0,-910754.800000001
2700,17,284.4,-52106.0,-940719.5000000008
2800,16,155.3,-53439.0,-954274.0000000013
2900,23,322.1,-55477.0,-977465.2000000011
3000,27,558.0,-57912.0,-1021401.3000000011
3100,31,502.1,-60915.0,-1079893.500000002
3200,32,682.5,-63956.0,-1134703.8000000007
3300,34,1053.1,-67279.0,-1220873.2000000018
3400,9,161.2,-69909.0,-1277533.0000000019
3500,12,142.4,-70947.0,-1292136.100000003
3600,18,185.1,-72497.0,-1309870.1000000017
3700,23,332.9,-74312.0,-1335107.7000000011
3800,27,561.7,-76851.0,-1379285.8000000005
3900,32,820.1999999999998,-79661.0,-1448044.7000000004
4000,29,486.59999999999997,-82854.0,-1521086.3000000012
4100,33,773.5,-86003.0,-1583434.8000000026
4200,37,1153.3000000000002,-89440.0,-1679117.2
4300,3,134.2,-91552.0,-1735672.6000000008
4400,4,64.6,-91851.0,-1744920.4999999998
4500,11,74.30000000000001,-92600.0,-1751357.5999999996
4600,16,163.89999999999998,-93804.0,-1762782.000000001
4700,20,327.6,-95734.0,-1786730.300000004
4800,28,549.5,-98106.0,-1830100.7000000065
4900,25,429.1000000000001,-101067.0,-1885140.6000000073
5000,34,680.2,-103894.0,-1939749.3000000082
5100,36,1062.8,-107350.0,-2026152.1000000092
5200,7,188.20000000000002,-109606.0,-2082902.3000000091
5300,7,147.6,-110326.0,-2099194.5000000084
5400,15,132.1,-111240.0,-2114316.500000012
5500,16,156.8,-112501.0,-2126002.4000000083
5600,23,312.29999999999995,-114511.0,-2148816.300000007
5700,25,483.9,-116790.0,-2188789.000000009
5800,33,529.8000000000001,-119807.0,-2240333.5000000084
5900,42,868.5,-123764.0,-2309411.500000009
6000,49,1294.3,-128205.0,-2418820.6000000047
6100,11,255.6,-130996.0,-2485766.300000007
6200,13,233.89999999999998,-132122.0,-2510063.7000000076
6300,19,270.7,-133720.0,-2536456.000000008
6400,22,284.20000000000005,-135450.0,-2558570.0000000056
6500,26,497.99999999999994,-137937.0,-2597128.900000005
6600,32,749.5,-140731.0,-2659174.70000001
6700,28,437.79999999999995,-143911.0,-2722957.9000000088
6800,32,713.6,-146860.0,-2779990.800000008
6900,33,1026.4,-150265.0,-2869103.7000000104
7000,13,272.2,-152636.0,-2931799.1000000094
7100,15,257.1,-153881.0,-2957430.200000012
7200,20,278.5,-155560.0,-2985977.1000000136
7300,21,237.89999999999998,-157374.0,-3004494.100000013
7400,25,454.1,-159917.0,-3038444.2000000137
7500,34,733.1,-162948.0,-3097437.5000000102
7600,30,470.9,-166405.0,-3160866.200000011
7700,38,782.4000000000001,-169876.0,-3222459.00000001
7800,39,1084.1,-173944.0,-3320193.40000001
7900,9,184.7,-176325.0,-3378202.300000009
8000,10,137.89999999999998,-177181.0,-3393953.200000007
8100,16,184.1,-178363.0,-3409493.9000000143
8200,22,312.0,-180020.0,-3434129.500000014
8300,27,524.1000000000001,-182524.0,-3475207.500000016
8400,34,809.3,-185543.0,-3541750.1000000206
8500,31,467.70000000000005,-188871.0,-3606650.6000000234
8600,37,773.9999999999999,-192220.0,-3667955.700000026
8700,34,1062.9,-196003.0,-3762742.4000000274
8800,8,223.8,-198188.0,-3822665.400000028
8900,7,170.2,-198819.0,-3841930.9000000292
9000,12,132.60000000000002,-199634.0,-3858873.1000000266
9100,17,179.79999999999998,-200821.0,-3872496.000000028
9200,21,325.5,-202807.0,-3896999.700000029
9300,24,537.1,-205025.0,-3939986.5000000293
9400,27,454.7999999999999,-207691.0,-3989131.1000000294
9500,36,737.9,-210873.0,-4047860.200000027
9600,31,1044.3,-214444.0,-4138087.5000000256
9700,9,236.6,-216712.0,-4198305.4000000255
9800,12,215.2,-217662.0,-4220603.000000026
9900,20,244.9,-219221.0,-4244813.400000032
