step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,2,8.4,-252.5
300,2,5.6,-1094.3
400,10,19.900000000000002,-2197.6999999999994
500,20,113.70000000000002,-7889.300000000002
600,24,287.4,-27302.999999999996
700,17,77.0,-52991.69999999998
800,10,25.6,-57357.29999999998
900,31,150.5,-64689.500000000015
1000,31,321.5,-85851.99999999993
1100,18,162.5,-121173.79999999986
1200,12,45.3,-130486.39999999978
1300,25,155.70000000000002,-139492.10000000003
1400,27,287.20000000000005,-159794.70000000007
1500,17,131.6,-191585.0000000001
1600,9,15.100000000000001,-195438.10000000018
1700,19,81.4,-199744.80000000028
1800,27,235.3,-214564.20000000024
1900,18,141.7,-243541.0000000003
2000,7,21.1,-247778.20000000036
2100,22,117.10000000000001,-253719.10000000036
2200,29,266.50000000000006,-271709.70000000036
2300,25,222.2,-306572.5000000007
2400,14,45.199999999999996,-318764.7000000008
2500,22,110.80000000000001,-325347.4000000009
2600,33,247.3,-341986.70000000123
2700,28,300.20000000000005,-378699.2000000014
2800,10,108.9,-393912.30000000173
2900,19,68.5,-397788.80000000197
3000,26,188.5,-410518.3000000022
3100,34,336.6,-441299.100000002
3200,12,85.50000000000001,-456487.10000000196
3300,19,99.10000000000001,-461815.1000000019
3400,29,191.60000000000002,-476923.0000000015
3500,28,413.0,-507201.60000000184
3600,10,64.3,-521408.500000002
3700,21,114.7,-528263.8000000019
3800,25,178.3,-545117.7000000018
3900,29,425.0,-574710.6000000017
4000,6,55.6,-590657.4000000013
4100,10,41.9,-594871.4000000007
4200,24,128.10000000000002,-604051.6000000007
4300,29,327.29999999999995,-626455.2000000014
4400,7,21.9,-646798.6000000016
4500,12,44.900000000000006,-649324.9000000017
4600,25,108.5,-658526.3000000028
4700,27,307.7,-679194.7000000031
4800,10,66.3,-701114.9000000032
4900,11,60.30000000000001,-706489.1000000037
5000,27,123.20000000000002,-717842.9000000036
5100,29,324.5,-738754.9000000033
5200,10,78.3,-764986.4000000032
5300,10,40.4,-770392.7000000027
5400,24,129.79999999999998,-779708.4000000024
5500,29,335.0,-802063.1000000037
5600,12,64.3,-829235.200000004
5700,10,38.9,-834113.0000000047
5800,27,162.8,-843169.0000000043
5900,35,366.69999999999993,-868851.0000000043
6000,15,94.0,-898422.800000005
6100,16,52.99999999999999,-905113.5000000054
6200,28,205.5,-917508.0000000052
6300,30,340.8,-940119.9000000067
6400,13,111.29999999999998,-971117.200000007
6500,8,35.1,-976531.5000000073
6600,27,152.9,-984709.8000000075
6700,29,260.4,-1003500.5000000084
6800,16,127.4,-1033521.8000000087
6900,12,34.3,-1039782.1000000089
7000,27,137.29999999999998,-1048195.7000000093
7100,31,307.20000000000005,-1069132.0000000098
7200,22,202.1,-1104066.20000001
7300,11,41.1,-1115617.3000000096
7400,27,152.6,-1124737.5000000084
7500,33,308.9,-1145635.9000000071
7600,23,213.1,-1183117.0000000077
7700,16,31.9,-1198020.4000000083
7800,27,151.20000000000002,-1205765.600000007
7900,28,237.0,-1225088.1000000073
8000,23,191.1,-1256984.8000000063
8100,12,34.5,-1265588.0000000063
8200,23,124.4,-1273850.2000000067
8300,27,210.89999999999998,-1289958.1000000061
8400,23,181.10000000000002,-1319225.0000000054
8500,9,18.5,-1326422.1000000043
8600,22,107.39999999999999,-1331641.7000000018
8700,26,216.89999999999998,-1347073.6000000003
8800,25,337.4,-1379987.2999999989
8900,11,46.10000000000001,-1390816.8999999985
9000,14,36.599999999999994,-1393184.0999999992
9100,25,161.5,-1402945.2000000004
9200,31,393.70000000000005,-1429846.6000000008
9300,7,47.300000000000004,-1454146.900000001
9400,11,57.5,-1458563.5000000012
9500,27,121.80000000000003,-1468907.600000001
9600,31,332.4,-1490852.9000000015
9700,22,149.6,-1523350.0000000012
9800,9,21.2,-1530681.8000000005
9900,23,113.99999999999999,-1536591.5000000012
