step,queue,cum_queue
0,0,0.0
100,0,0.0
200,2,-140.0
300,2,-384.0
400,8,-870.0
500,20,-2252.0
600,24,-4311.0
700,13,-6545.0
800,10,-7603.0
900,31,-9660.0
1000,30,-12584.0
1100,14,-15196.0
1200,11,-16023.0
1300,25,-17714.0
1400,26,-20302.0
1500,13,-22645.0
1600,10,-23486.0
1700,20,-24912.0
1800,27,-27304.0
1900,14,-29779.0
2000,6,-30373.0
2100,23,-31777.0
2200,30,-34466.0
2300,22,-37391.0
2400,11,-38781.0
2500,22,-40335.0
2600,32,-43028.0
2700,25,-46189.0
2800,12,-47548.0
2900,24,-49124.0
3000,27,-51737.0
3100,27,-54684.0
3200,10,-56454.0
3300,23,-58092.0
3400,29,-60712.0
3500,22,-63637.0
3600,11,-64934.0
3700,24,-66564.0
3800,27,-69344.0
3900,21,-72147.0
4000,9,-73264.0
4100,17,-74577.0
4200,27,-76911.0
4300,24,-79691.0
4400,8,-80987.0
4500,19,-82347.0
4600,25,-84717.0
4700,29,-87594.0
4800,12,-89195.0
4900,18,-90513.0
5000,29,-92920.0
5100,29,-95738.0
5200,8,-97445.0
5300,18,-98718.0
5400,22,-100744.0
5500,29,-103451.0
5600,13,-105508.0
5700,13,-106600.0
5800,25,-108649.0
5900,37,-111805.0
6000,13,-114170.0
6100,20,-115817.0
6200,27,-118435.0
6300,30,-121364.0
6400,13,-123639.0
6500,16,-125056.0
6600,24,-127220.0
6700,27,-129813.0
6800,9,-131805.0
6900,11,-132853.0
7000,29,-135046.0
7100,32,-138139.0
7200,10,-140494.0
7300,17,-142038.0
7400,35,-144866.0
7500,35,-147939.0
7600,21,-150992.0
7700,13,-152567.0
7800,30,-154689.0
7900,30,-157476.0
8000,21,-160311.0
8100,11,-161494.0
8200,24,-163107.0
8300,27,-165566.0
8400,19,-168179.0
8500,8,-169075.0
8600,22,-170446.0
8700,28,-172860.0
8800,22,-175628.0
8900,9,-176801.0
9000,20,-178063.0
9100,30,-180537.0
9200,14,-182699.0
9300,17,-184096.0
9400,26,-186456.0
9500,31,-189243.0
9600,13,-191747.0
9700,15,-193086.0
9800,32,-195683.0
9900,30,-198849.0
