step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,2,8.4,-248.79999999999998
300,2,5.6,-991.5999999999999
400,8,16.200000000000003,-1959.0999999999988
500,20,100.60000000000001,-6816.000000000004
600,24,269.6,-24509.799999999996
700,17,72.3,-48389.49999999999
800,10,25.900000000000002,-52642.79999999999
900,30,151.5,-60055.59999999998
1000,30,319.40000000000003,-80940.20000000006
1100,17,154.0,-114043.09999999998
1200,11,42.3,-122165.20000000001
1300,24,143.7,-130458.6999999999
1400,27,273.7,-148916.79999999973
1500,14,97.69999999999999,-176090.89999999962
1600,11,21.299999999999997,-178827.29999999964
1700,21,108.3,-184754.99999999988
1800,27,279.29999999999995,-203066.89999999982
1900,14,101.2,-231319.99999999977
2000,7,22.3,-234153.39999999973
2100,24,118.6,-240185.3999999999
2200,30,274.1,-257909.50000000003
2300,20,133.6,-287714.70000000024
2400,12,50.5,-295799.70000000024
2500,26,161.09999999999997,-305211.60000000015
2600,35,340.30000000000007,-328147.80000000034
2700,20,216.8,-366399.7000000005
2800,7,16.700000000000003,-376122.90000000066
2900,24,97.5,-381032.10000000085
3000,28,247.1,-396713.9000000006
3100,24,172.2,-426975.10000000073
3200,9,35.6,-436348.4000000005
3300,24,153.0,-444706.5000000004
3400,31,251.9,-462462.1000000001
3500,18,137.4,-492586.5000000007
3600,9,42.599999999999994,-498527.90000000043
3700,27,170.0,-507951.6000000004
3800,28,273.3,-528758.7000000004
3900,17,172.70000000000002,-560613.1999999995
4000,12,27.9,-566197.0999999993
4100,20,107.60000000000001,-572675.4999999991
4200,28,279.1,-590884.2999999997
4300,17,148.89999999999998,-622627.1
4400,8,10.2,-626156.3000000006
4500,21,101.39999999999999,-631032.5000000001
4600,27,240.9,-647300.500000001
4700,21,165.39999999999998,-677263.100000002
4800,12,39.6,-684090.2000000019
4900,23,161.1,-693276.8000000007
5000,28,237.79999999999998,-711679.1
5100,21,221.2,-743424.6999999996
5200,5,14.3,-752097.0999999992
5300,19,74.19999999999999,-756082.499999999
5400,26,223.9,-770071.2999999997
5500,23,229.7,-800907.2999999998
5600,7,9.2,-810338.1
5700,16,58.300000000000004,-812722.6000000007
5800,30,219.7,-825465.2000000002
5900,26,265.4,-858232.200000001
6000,13,44.599999999999994,-869945.7000000007
6100,24,100.19999999999999,-875489.500000001
6200,28,210.09999999999997,-890645.9000000011
6300,29,286.6,-922471.0000000009
6400,10,25.300000000000004,-935483.900000001
6500,18,94.6,-941060.0000000007
6600,27,193.7,-954701.4000000013
6700,25,226.79999999999998,-983172.0000000019
6800,11,22.3,-992271.7000000017
6900,18,76.5,-995834.6000000014
7000,30,218.6,-1010293.0000000016
7100,27,264.2,-1043636.0000000016
7200,20,85.0,-1057388.2000000014
7300,22,123.89999999999998,-1066216.300000001
7400,31,220.59999999999997,-1083564.3000000021
7500,35,350.5,-1118088.1000000017
7600,15,144.4,-1136932.2000000011
7700,19,107.6,-1144441.4000000022
7800,29,218.8,-1161037.6000000024
7900,26,287.70000000000005,-1193785.3000000028
8000,11,74.19999999999999,-1206069.000000002
8100,21,126.6,-1213349.9000000039
8200,24,161.50000000000003,-1229050.900000005
8300,27,281.5,-1255666.6000000054
8400,11,38.8,-1265109.5000000042
8500,17,83.3,-1269871.4000000046
8600,24,156.3,-1282613.4000000048
8700,29,328.20000000000005,-1309148.8000000059
8800,7,32.8,-1319701.7000000048
8900,15,72.69999999999999,-1323935.6000000052
9000,23,179.1,-1336220.9000000055
9100,27,351.4,-1364912.8000000024
9200,10,36.0,-1377528.5000000026
9300,17,65.5,-1380448.5000000044
9400,24,182.0,-1393100.400000006
9500,29,415.0,-1422818.5000000065
9600,14,83.5,-1438146.5000000063
9700,22,95.69999999999999,-1445292.100000007
9800,26,181.1,-1460709.000000008
9900,32,428.4,-1490484.3000000084
