step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,2,8.4,-140.0
300,2,5.6,-396.0
400,8,16.9,-886.0
500,20,102.80000000000001,-2264.0
600,24,273.70000000000005,-4329.0
700,15,55.1,-6608.0
800,11,33.0,-7820.0
900,31,179.70000000000002,-9981.0
1000,30,359.90000000000003,-12913.0
1100,14,105.69999999999999,-15606.0
1200,10,36.9,-16468.0
1300,25,137.60000000000002,-18104.0
1400,26,262.6,-20630.0
1500,13,73.0,-22959.0
1600,12,21.7,-23958.0
1700,22,110.8,-25564.0
1800,27,283.6,-28002.0
1900,13,104.0,-30414.0
2000,8,26.9,-31162.0
2100,25,136.3,-32798.0
2200,30,300.0,-35569.0
2300,20,175.20000000000002,-38435.0
2400,9,40.2,-39719.0
2500,23,123.10000000000001,-41341.0
2600,33,285.6,-44078.0
2700,22,191.60000000000002,-47151.0
2800,9,20.200000000000003,-48400.0
2900,23,106.69999999999999,-50040.0
3000,28,261.7,-52700.0
3100,24,175.0,-55569.0
3200,10,42.89999999999999,-57219.0
3300,24,154.59999999999997,-58946.0
3400,30,227.10000000000002,-61653.0
3500,19,161.10000000000002,-64561.0
3600,11,48.6,-65794.0
3700,25,167.0,-67444.0
3800,28,244.89999999999998,-70320.0
3900,20,164.5,-73107.0
4000,9,37.2,-74218.0
4100,19,110.4,-75697.0
4200,27,242.8,-78102.0
4300,20,160.9,-80823.0
4400,9,7.9,-82031.0
4500,21,90.20000000000002,-83455.0
4600,25,222.1,-85796.0
4700,21,186.5,-88533.0
4800,10,27.599999999999998,-89803.0
4900,21,123.2,-91245.0
5000,27,221.7,-93644.0
5100,23,245.20000000000002,-96421.0
5200,9,13.399999999999999,-97756.0
5300,18,82.19999999999999,-99105.0
5400,26,236.1,-101396.0
5500,22,233.20000000000002,-104178.0
5600,12,20.1,-105818.0
5700,18,87.30000000000001,-107050.0
5800,31,256.9,-109552.0
5900,29,239.70000000000002,-113188.0
6000,16,30.4,-114820.0
6100,25,114.20000000000002,-116640.0
6200,28,237.60000000000002,-119682.0
6300,30,306.6,-122798.0
6400,9,27.4,-124283.0
6500,17,91.5,-125577.0
6600,27,194.3,-127994.0
6700,25,229.0,-130861.0
6800,10,20.8,-132247.0
6900,19,74.7,-133437.0
7000,30,215.29999999999998,-135944.0
7100,26,263.9,-138937.0
7200,18,72.69999999999999,-140719.0
7300,22,112.69999999999999,-142695.0
7400,29,217.90000000000003,-145445.0
7500,32,344.69999999999993,-148727.0
7600,15,143.60000000000002,-150769.0
7700,24,106.30000000000001,-152586.0
7800,27,217.60000000000002,-155280.0
7900,27,287.0,-158269.0
8000,11,66.2,-159813.0
8100,20,109.39999999999999,-161280.0
8200,25,185.39999999999998,-163707.0
8300,27,302.69999999999993,-166466.0
8400,10,30.2,-167827.0
8500,15,73.0,-168939.0
8600,27,182.1,-171253.0
8700,27,306.4,-173909.0
8800,7,28.7,-175398.0
8900,18,63.3,-176536.0
9000,24,161.6,-178635.0
9100,28,335.0,-181274.0
9200,15,39.3,-182910.0
9300,18,64.5,-184076.0
9400,25,182.5,-186323.0
9500,34,417.9,-189202.0
9600,15,84.0,-191064.0
9700,23,81.2,-192567.0
9800,29,183.5,-195122.0
9900,32,402.5,-198048.0
