step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,0.0
400,0,0.0,0.0
500,0,0.0,0.0
600,0,0.0,0.0
700,0,0.0,0.0
800,0,0.0,0.0
900,0,0.0,0.0
1000,0,0.0,0.0
1100,0,0.0,0.0
1200,0,0.0,0.0
1300,0,0.0,0.0
1400,1,3.1,-49.6
1500,1,13.1,-864.6
1600,0,0.0,-1132.5000000000002
1700,0,0.0,-1132.5000000000002
1800,0,0.0,-1132.5000000000002
1900,0,0.0,-1132.5000000000002
2000,0,0.0,-1132.5000000000002
2100,0,0.0,-1132.5000000000002
2200,0,0.0,-1132.5000000000002
2300,0,0.0,-1165.0000000000002
2400,2,7.8,-1473.1000000000001
2500,2,27.4,-3223.7000000000003
2600,0,0.0,-3281.0000000000005
2700,0,0.0,-3281.0000000000005
2800,0,0.0,-3281.0000000000005
2900,0,0.0,-3281.0000000000005
3000,0,0.0,-3281.0000000000005
3100,1,3.2,-3333.8
3200,1,0.0,-4119.5
3300,0,0.0,-4119.5
3400,0,0.0,-4119.5
3500,0,0.0,-4119.5
3600,0,0.0,-4119.5
3700,0,0.0,-4119.5
3800,0,0.0,-4119.5
3900,0,0.0,-4119.5
4000,0,0.0,-4119.5
4100,0,0.0,-4119.5
4200,0,0.0,-4119.5
4300,0,0.0,-4119.5
4400,0,0.0,-4119.5
4500,0,0.0,-4119.5
4600,0,0.0,-4119.5
4700,0,0.0,-4119.5
4800,0,0.0,-4119.5
4900,0,0.0,-4119.5
5000,0,0.0,-4119.5
5100,0,0.0,-4119.5
5200,0,0.0,-4119.5
5300,1,6.8,-4354.1
5400,0,0.0,-4798.1
5500,0,0.0,-4798.1
5600,0,0.0,-4798.1
5700,0,0.0,-4798.1
5800,1,2.6,-4833.200000000001
5900,2,2.6,-4908.200000000001
6000,2,13.5,-5923.500000000001
6100,1,2.6,-6656.800000000001
6200,1,2.8,-6897.9000000000015
6300,0,0.0,-6903.800000000001
6400,0,0.0,-6903.800000000001
6500,0,0.0,-6903.800000000001
6600,0,0.0,-6903.800000000001
6700,1,3.1,-6953.4000000000015
6800,0,0.0,-7086.800000000001
6900,0,0.0,-7086.800000000001
7000,0,0.0,-7086.800000000001
7100,1,2.2,-7112.100000000001
7200,1,0.0,-7765.4000000000015
7300,0,0.0,-7765.4000000000015
7400,0,0.0,-7765.4000000000015
7500,0,0.0,-7765.4000000000015
7600,0,0.0,-7765.4000000000015
7700,0,0.0,-7765.4000000000015
7800,0,0.0,-7765.4000000000015
7900,0,0.0,-7765.4000000000015
8000,0,0.0,-7765.4000000000015
8100,1,1.3,-7774.500000000002
8200,0,0.0,-7829.000000000002
8300,0,0.0,-7903.100000000002
8400,0,0.0,-7903.100000000002
8500,2,6.7,-8088.900000000002
8600,0,0.0,-8550.900000000003
8700,0,0.0,-8609.400000000003
8800,0,0.0,-8609.400000000003
8900,1,7.4,-8886.900000000003
9000,0,0.0,-9554.700000000004
9100,0,0.0,-9554.700000000004
9200,0,0.0,-9554.700000000004
9300,0,0.0,-9554.700000000004
9400,0,0.0,-9554.700000000004
9500,0,0.0,-9554.700000000004
9600,0,0.0,-9554.700000000004
9700,0,0.0,-9554.700000000004
9800,0,0.0,-9554.700000000004
9900,0,0.0,-9554.700000000004
