step,queue,cum_queue
0,0,0.0
100,0,0.0
200,0,0.0
300,0,0.0
400,0,0.0
500,0,0.0
600,0,0.0
700,0,0.0
800,0,0.0
900,0,0.0
1000,1,-64.0
1100,0,-67.0
1200,0,-67.0
1300,0,-67.0
1400,1,-100.0
1500,0,-116.0
1600,0,-116.0
1700,0,-116.0
1800,1,-126.0
1900,1,-226.0
2000,0,-230.0
2100,1,-302.0
2200,0,-352.0
2300,1,-412.0
2400,1,-608.0
2500,2,-764.0
2600,2,-964.0
2700,0,-1050.0
2800,0,-1050.0
2900,0,-1050.0
3000,0,-1050.0
3100,1,-1084.0
3200,0,-1136.0
3300,0,-1136.0
3400,0,-1228.0
3500,0,-1228.0
3600,0,-1228.0
3700,0,-1228.0
3800,0,-1228.0
3900,0,-1228.0
4000,0,-1228.0
4100,0,-1228.0
4200,0,-1228.0
4300,0,-1228.0
4400,0,-1228.0
4500,0,-1228.0
4600,0,-1228.0
4700,2,-1317.0
4800,0,-1371.0
4900,0,-1371.0
5000,0,-1371.0
5100,0,-1371.0
5200,0,-1371.0
5300,0,-1371.0
5400,0,-1371.0
5500,0,-1371.0
5600,0,-1371.0
5700,0,-1371.0
5800,0,-1371.0
5900,1,-1383.0
6000,1,-1488.0
6100,0,-1548.0
6200,0,-1548.0
6300,0,-1548.0
6400,0,-1604.0
6500,0,-1604.0
6600,0,-1604.0
6700,0,-1623.0
6800,0,-1623.0
6900,0,-1711.0
7000,0,-1711.0
7100,1,-1736.0
7200,0,-1772.0
7300,0,-1772.0
7400,0,-1772.0
7500,0,-1772.0
7600,0,-1772.0
7700,0,-1772.0
7800,0,-1772.0
7900,1,-1790.0
8000,0,-1863.0
8100,0,-1863.0
8200,0,-1863.0
8300,1,-1954.0
8400,1,-2054.0
8500,0,-2088.0
8600,0,-2088.0
8700,0,-2088.0
8800,1,-2159.0
8900,1,-2259.0
9000,0,-2270.0
9100,0,-2270.0
9200,0,-2270.0
9300,0,-2270.0
9400,0,-2270.0
9500,0,-2270.0
9600,0,-2270.0
9700,0,-2270.0
9800,0,-2270.0
9900,0,-2270.0
