step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,0.0
400,0,0.0,0.0
500,0,0.0,0.0
600,0,0.0,0.0
700,0,0.0,0.0
800,0,0.0,-48.6
900,0,0.0,-48.6
1000,1,6.0,-231.60000000000002
1100,0,0.0,-231.60000000000002
1200,0,0.0,-231.60000000000002
1300,0,0.0,-231.60000000000002
1400,1,3.1,-281.20000000000005
1500,1,13.1,-1096.2
1600,0,0.0,-1149.6000000000001
1700,0,0.0,-1149.6000000000001
1800,0,0.0,-1149.6000000000001
1900,0,0.0,-1149.6000000000001
2000,0,0.0,-1149.6000000000001
2100,1,6.9,-1391.1000000000001
2200,0,0.0,-2389.8999999999996
2300,1,5.5,-2543.8999999999996
2400,3,20.6,-3731.4999999999995
2500,1,1.5,-4429.099999999999
2600,1,11.5,-5084.099999999999
2700,0,0.0,-6447.2
2800,0,0.0,-6447.2
2900,0,0.0,-6447.2
3000,0,0.0,-6447.2
3100,1,3.1,-6496.8
3200,0,0.0,-6795.8
3300,0,0.0,-6795.8
3400,1,9.5,-7251.8
3500,0,0.0,-7271.1
3600,0,0.0,-7271.1
3700,0,0.0,-7271.1
3800,0,0.0,-7271.1
3900,0,0.0,-7271.1
4000,0,0.0,-7271.1
4100,0,0.0,-7271.1
4200,0,0.0,-7271.1
4300,0,0.0,-7271.1
4400,0,0.0,-7271.1
4500,0,0.0,-7271.1
4600,0,0.0,-7271.1
4700,0,0.0,-7271.200000000001
4800,0,0.0,-7271.200000000001
4900,0,0.0,-7271.200000000001
5000,1,1.5,-7283.200000000001
5100,0,0.0,-7320.800000000001
5200,0,0.0,-7320.800000000001
5300,0,0.0,-7320.800000000001
5400,0,0.0,-7320.800000000001
5500,0,0.0,-7320.800000000001
5600,0,0.0,-7320.800000000001
5700,0,0.0,-7320.800000000001
5800,0,0.0,-7322.9000000000015
5900,1,0.8,-7326.500000000002
6000,1,10.8,-7911.500000000002
6100,0,0.0,-8563.200000000003
6200,0,0.0,-8563.200000000003
6300,0,0.0,-8563.200000000003
6400,0,0.0,-8563.200000000003
6500,0,0.0,-8563.200000000003
6600,1,0.8,-8566.800000000003
6700,0,0.0,-8606.700000000003
6800,0,0.0,-8606.700000000003
6900,0,0.0,-8701.300000000003
7000,0,0.0,-8701.300000000003
7100,1,2.2,-8726.600000000004
7200,0,0.0,-8747.800000000003
7300,0,0.0,-8747.800000000003
7400,0,0.0,-8747.800000000003
7500,0,0.0,-8747.800000000003
7600,0,0.0,-8747.800000000003
7700,0,0.0,-8747.800000000003
7800,0,0.0,-8747.800000000003
7900,1,1.5,-8759.800000000003
8000,0,0.0,-8955.800000000003
8100,1,1.4,-8966.300000000003
8200,0,0.0,-9005.400000000003
8300,0,0.0,-9005.400000000003
8400,0,0.0,-9005.400000000003
8500,2,6.8,-9197.300000000003
8600,0,0.0,-9375.300000000003
8700,0,0.0,-9375.300000000003
8800,1,2.6,-9455.500000000004
8900,0,0.0,-9879.600000000004
9000,0,0.0,-9879.600000000004
9100,0,0.0,-9879.600000000004
9200,0,0.0,-9879.600000000004
9300,0,0.0,-9879.600000000004
9400,0,0.0,-9879.600000000004
9500,0,0.0,-9879.600000000004
9600,1,1.7,-9894.900000000005
9700,0,0.0,-9965.700000000004
9800,0,0.0,-9965.700000000004
9900,0,0.0,-9965.700000000004
