step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,0.0
400,0,0.0,0.0
500,1,3.6,-39.0
600,0,0.0,-64.0
700,0,0.0,-64.0
800,1,5.3,-120.0
900,0,0.0,-193.0
1000,1,0.2,-256.0
1100,0,0.0,-320.0
1200,0,0.0,-320.0
1300,0,0.0,-320.0
1400,0,0.0,-330.0
1500,0,0.0,-330.0
1600,0,0.0,-330.0
1700,0,0.0,-330.0
1800,1,0.7,-340.0
1900,0,0.0,-397.0
2000,0,0.0,-397.0
2100,1,6.9,-469.0
2200,0,0.0,-496.0
2300,1,5.8,-557.0
2400,2,2.1,-670.0
2500,2,20.5,-870.0
2600,0,0.0,-1041.0
2700,1,8.4,-1128.0
2800,2,24.9,-1296.0
2900,0,0.0,-1348.0
3000,0,0.0,-1348.0
3100,0,0.0,-1348.0
3200,0,0.0,-1348.0
3300,0,0.0,-1348.0
3400,0,0.0,-1366.0
3500,0,0.0,-1366.0
3600,0,0.0,-1366.0
3700,0,0.0,-1366.0
3800,0,0.0,-1366.0
3900,0,0.0,-1366.0
4000,0,0.0,-1366.0
4100,0,0.0,-1366.0
4200,0,0.0,-1366.0
4300,0,0.0,-1366.0
4400,0,0.0,-1366.0
4500,0,0.0,-1366.0
4600,0,0.0,-1366.0
4700,1,5.3,-1422.0
4800,1,15.3,-1522.0
4900,0,0.0,-1535.0
5000,0,0.0,-1535.0
5100,0,0.0,-1535.0
5200,0,0.0,-1535.0
5300,0,0.0,-1574.0
5400,0,0.0,-1574.0
5500,0,0.0,-1574.0
5600,0,0.0,-1574.0
5700,0,0.0,-1574.0
5800,0,0.0,-1595.0
5900,2,2.7,-1628.0
6000,2,11.200000000000001,-1750.0
6100,0,0.0,-1839.0
6200,0,0.0,-1839.0
6300,0,0.0,-1839.0
6400,0,0.0,-1876.0
6500,0,0.0,-1876.0
6600,0,0.0,-1876.0
6700,0,0.0,-1890.0
6800,0,0.0,-1890.0
6900,0,0.0,-1913.0
7000,0,0.0,-1913.0
7100,1,2.2,-1938.0
7200,0,0.0,-1945.0
7300,0,0.0,-1945.0
7400,0,0.0,-1945.0
7500,0,0.0,-1945.0
7600,0,0.0,-1945.0
7700,0,0.0,-1945.0
7800,0,0.0,-1945.0
7900,1,1.6,-1964.0
8000,0,0.0,-1979.0
8100,0,0.0,-1979.0
8200,0,0.0,-1979.0
8300,1,8.5,-2067.0
8400,1,0.0,-2167.0
8500,0,0.0,-2200.0
8600,0,0.0,-2200.0
8700,0,0.0,-2200.0
8800,1,4.8,-2251.0
8900,1,14.8,-2351.0
9000,0,0.0,-2361.0
9100,0,0.0,-2361.0
9200,0,0.0,-2361.0
9300,0,0.0,-2361.0
9400,0,0.0,-2361.0
9500,0,0.0,-2361.0
9600,0,0.0,-2361.0
9700,0,0.0,-2361.0
9800,0,0.0,-2361.0
9900,0,0.0,-2361.0
