step,queue,delay,cum_queue,cum_delay
0,0,0.0,0.0,0.0
100,0,0.0,0.0,0.0
200,0,0.0,0.0,0.0
300,1,4.8,-51.0,-117.6
400,4,26.1,-273.0,-1585.5
500,9,77.6,-938.0,-6295.799999999999
600,11,177.5,-2004.0,-18801.399999999998
700,3,73.3,-2665.0,-29466.100000000006
800,4,103.3,-2975.0,-38311.100000000006
900,5,81.89999999999999,-3379.0,-50436.8
1000,3,65.1,-3693.0,-55555.700000000004
1100,3,95.1,-3993.0,-63580.700000000004
1200,6,135.6,-4431.0,-74957.00000000001
1300,4,71.0,-4923.0,-85713.30000000002
1400,8,60.1,-5371.0,-90682.80000000003
1500,12,147.5,-6377.0,-100692.80000000005
1600,2,10.3,-7080.0,-105983.60000000006
1700,2,30.299999999999997,-7280.0,-108023.60000000006
1800,4,25.900000000000002,-7526.0,-112094.10000000005
1900,3,53.1,-7810.0,-115956.90000000007
2000,4,89.1,-8198.0,-122964.90000000007
2100,6,133.5,-8683.0,-133993.90000000008
2200,7,156.8,-9418.0,-148473.2000000001
2300,9,160.1,-10160.0,-161619.10000000012
2400,12,253.5,-11174.0,-182066.7
2500,1,4.2,-11782.0,-189648.9
2600,1,14.2,-11882.0,-190573.9
2700,3,25.599999999999998,-12016.0,-192518.5
2800,2,45.6,-12220.0,-196088.5
2900,3,65.6,-12431.0,-201658.5
3000,4,99.0,-12810.0,-209709.69999999998
3100,7,83.69999999999999,-13332.0,-221867.20000000036
3200,8,140.29999999999998,-13966.0,-232847.20000000118
3300,12,231.79999999999998,-14985.0,-251240.00000000157
3400,1,5.8,-15681.0,-257729.2000000016
3500,3,23.3,-15862.0,-258974.2000000016
3600,4,27.5,-16171.0,-262794.90000000165
3700,5,56.7,-16519.0,-266873.5000000017
3800,9,121.2,-17317.0,-275358.5000000017
3900,14,226.79999999999998,-18460.0,-292453.40000000165
4000,12,232.7,-19848.0,-316118.9000000017
4100,13,360.5,-21129.0,-345757.00000000175
4200,14,495.5,-22482.0,-388499.50000000175
4300,0,0.0,-23265.0,-409620.40000000177
4400,1,0.6,-23274.0,-409622.50000000175
4500,6,22.799999999999997,-23611.0,-411151.30000000173
4600,5,67.0,-24107.0,-415469.6000000017
4700,8,122.69999999999999,-24734.0,-424791.9000000017
4800,9,201.29999999999998,-25565.0,-440938.2000000017
4900,8,191.3,-26433.0,-462165.00000000175
5000,10,273.1,-27257.0,-485352.1000000017
5100,11,377.2,-28325.0,-517798.20000000036
5200,0,0.0,-28897.0,-529938.0000000003
5300,1,3.5,-28935.0,-530001.0000000003
5400,2,0.0,-29056.0,-530842.5000000003
5500,0,0.0,-29071.0,-530842.5000000003
5600,0,0.0,-29071.0,-530842.5000000003
5700,1,0.1,-29075.0,-530842.6000000003
5800,6,28.499999999999996,-29412.0,-532206.1000000003
5900,9,91.2,-30077.0,-538058.5000000002
6000,13,149.7,-31123.0,-551509.5999999996
6100,2,13.3,-31693.0,-555154.5999999999
6200,2,33.3,-31893.0,-557494.5999999999
6300,3,53.3,-32104.0,-561837.3999999999
6400,2,73.30000000000001,-32308.0,-568177.3999999999
6500,3,101.2,-32590.0,-576833.3999999999
6600,4,134.5,-32951.0,-588524.4999999999
6700,4,44.800000000000004,-33325.0,-598128.2999999999
6800,7,87.1,-33792.0,-604559.9999999992
6900,7,151.79999999999998,-34666.0,-617205.8999999993
7000,4,23.6,-35053.0,-621892.0999999994
7100,3,53.6,-35432.0,-625968.6999999994
7200,6,55.8,-35851.0,-633268.4999999992
7300,4,73.6,-36252.0,-638706.4999999991
7400,5,119.5,-36738.0,-648263.4999999991
7500,7,176.2,-37356.0,-662966.299999999
7600,5,79.6,-37969.0,-675963.6999999987
7700,8,144.5,-38675.0,-686914.3999999983
7800,7,185.5,-39611.0,-704850.3000000004
7900,1,6.7,-39951.0,-709896.7000000002
8000,1,16.7,-40051.0,-711071.7000000002
8100,1,26.7,-40151.0,-713246.7000000002
8200,1,36.7,-40251.0,-716421.7000000002
8300,3,59.6,-40510.0,-721074.4000000003
8400,6,110.5,-41028.0,-729353.9000000003
8500,8,55.4,-41630.0,-737229.000000001
8600,9,130.3,-42440.0,-746295.0000000013
8700,12,218.3,-43494.0,-763848.6000000039
8800,1,7.2,-43992.0,-769422.5000000043
8900,1,17.2,-44092.0,-770647.5000000043
9000,1,27.2,-44192.0,-772872.5000000043
9100,3,42.6,-44375.0,-776246.0000000043
9200,4,63.0,-44677.0,-781725.0000000043
9300,5,110.9,-45162.0,-790355.6000000063
9400,5,31.299999999999997,-45646.0,-796703.5000000071
9500,10,91.7,-46330.0,-802437.5000000063
9600,12,173.5,-47418.0,-815892.2000000088
9700,3,42.7,-48037.0,-822772.3000000088
9800,3,72.7,-48337.0,-828557.3000000088
9900,4,61.699999999999996,-48703.0,-837375.4000000088
