step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,1,2.1,-23.099999999999998
300,0,0.0,-52.800000000000004
400,3,11.299999999999999,-535.7
500,2,20.3,-1717.0
600,2,23.700000000000003,-4305.8
700,5,53.00000000000001,-7935.5
800,1,4.3,-12263.299999999997
900,2,14.4,-13198.399999999998
1000,2,34.4,-15648.699999999999
1100,2,54.4,-20098.7
1200,4,59.1,-24950.599999999995
1300,3,43.7,-28655.6
1400,0,0.0,-29092.699999999997
1500,0,0.0,-29092.699999999997
1600,2,11.1,-29499.299999999996
1700,1,18.6,-31180.399999999994
1800,6,56.1,-34523.70000000003
1900,0,0.0,-37975.40000000002
2000,0,0.0,-37975.40000000002
2100,3,7.800000000000001,-38209.800000000025
2200,4,35.4,-40277.60000000003
2300,5,62.1,-44424.39999999997
2400,8,120.89999999999999,-53419.89999999993
2500,1,4.2,-54262.09999999991
2600,1,14.2,-55190.69999999991
2700,4,29.1,-57238.19999999991
2800,4,35.2,-60206.89999999991
2900,6,84.4,-66174.69999999998
3000,0,0.0,-70483.49999999999
3100,0,0.0,-70483.49999999999
3200,1,2.4,-70513.49999999999
3300,4,18.5,-71375.59999999999
3400,8,78.7,-75816.9
3500,5,30.0,-86328.59999999999
3600,1,25.7,-88447.09999999999
3700,2,4.4,-90791.9
3800,6,37.7,-92501.69999999994
3900,12,116.29999999999998,-99803.2
4000,16,227.60000000000002,-116603.60000000008
4100,2,0.0,-127586.40000000017
4200,1,0.0,-127586.40000000017
4300,6,20.6,-128313.40000000018
4400,7,78.8,-133237.00000000017
4500,10,163.70000000000002,-145529.19999999984
4600,5,37.6,-162985.20000000042
4700,1,29.5,-165510.40000000043
4800,1,5.4,-167827.00000000044
4900,2,22.6,-169134.80000000045
5000,5,51.49999999999999,-172670.50000000047
5100,6,90.5,-180302.50000000047
5200,0,0.0,-183384.30000000048
5300,1,3.5,-183447.30000000048
5400,1,8.5,-183892.9000000005
5500,2,21.6,-185297.5000000005
5600,5,66.9,-189549.40000000002
5700,1,18.1,-194897.5999999998
5800,1,28.1,-197212.5999999998
5900,1,0.7,-199118.59999999983
6000,1,10.7,-199693.59999999983
6100,5,45.599999999999994,-202294.19999999984
6200,5,58.5,-208135.9000000004
6300,0,0.0,-208866.6000000004
6400,0,0.0,-208866.6000000004
6500,1,7.9,-209182.6000000004
6600,4,23.599999999999998,-210553.50000000044
6700,6,67.19999999999999,-215000.10000000085
6800,0,0.0,-218585.90000000095
6900,1,8.4,-218942.90000000095
7000,2,4.8,-219503.60000000097
7100,1,0.8,-220529.20000000097
7200,4,19.9,-221481.00000000096
7300,4,0.0,-224304.50000000096
7400,1,0.0,-224304.50000000096
7500,2,12.0,-224814.90000000095
7600,3,35.5,-227087.90000000095
7700,4,43.900000000000006,-230460.70000000094
7800,7,98.8,-237291.10000000102
7900,1,6.6,-241507.7000000007
8000,1,16.6,-242672.7000000007
8100,2,29.900000000000002,-244893.80000000072
8200,1,13.3,-247873.00000000073
8300,5,35.2,-250414.10000000094
8400,3,0.0,-254658.70000000123
8500,0,0.0,-254658.70000000123
8600,2,8.9,-255059.20000000123
8700,5,33.2,-257053.80000000124
8800,8,92.6,-262981.90000000125
8900,8,102.89999999999999,-273681.50000000134
9000,0,0.0,-277335.70000000205
9100,2,5.5,-277489.70000000205
9200,3,16.9,-278752.300000002
9300,3,21.900000000000002,-280943.400000002
9400,6,44.199999999999996,-284643.6000000022
9500,3,4.9,-289104.30000000226
9600,2,19.1,-290242.40000000224
9700,2,5.1,-292022.2000000022
9800,2,11.6,-293515.3000000022
9900,4,38.8,-295685.7000000022
