step,queue,cum_queue
0,0,0.0
100,0,0.0
200,1,-24.0
300,0,-39.0
400,3,-161.0
500,2,-412.0
600,2,-658.0
700,5,-1010.0
800,1,-1491.0
900,2,-1595.0
1000,2,-1795.0
1100,2,-1995.0
1200,4,-2294.0
1300,4,-2630.0
1400,1,-2782.0
1500,1,-2882.0
1600,3,-3098.0
1700,2,-3374.0
1800,6,-3877.0
1900,0,-4297.0
2000,0,-4297.0
2100,3,-4384.0
2200,4,-4713.0
2300,5,-5157.0
2400,9,-5837.0
2500,1,-6164.0
2600,1,-6264.0
2700,4,-6447.0
2800,3,-6846.0
2900,5,-7263.0
3000,0,-7666.0
3100,0,-7666.0
3200,1,-7700.0
3300,4,-7927.0
3400,7,-8496.0
3500,9,-9299.0
3600,1,-9605.0
3700,2,-9711.0
3800,4,-10004.0
3900,7,-10579.0
4000,12,-11546.0
4100,5,-12671.0
4200,0,-12768.0
4300,4,-12932.0
4400,5,-13342.0
4500,8,-14047.0
4600,7,-14774.0
4700,0,-14999.0
4800,1,-15002.0
4900,1,-15102.0
5000,4,-15316.0
5100,5,-15746.0
5200,0,-16235.0
5300,1,-16273.0
5400,0,-16367.0
5500,0,-16367.0
5600,0,-16367.0
5700,1,-16370.0
5800,0,-16465.0
5900,0,-16465.0
6000,0,-16465.0
6100,3,-16574.0
6200,4,-16930.0
6300,0,-17263.0
6400,0,-17263.0
6500,0,-17263.0
6600,1,-17330.0
6700,3,-17486.0
6800,4,-17838.0
6900,1,-18158.0
7000,4,-18357.0
7100,1,-18591.0
7200,3,-18790.0
7300,7,-19306.0
7400,4,-20178.0
7500,1,-20317.0
7600,1,-20417.0
7700,3,-20624.0
7800,7,-21023.0
7900,5,-21681.0
8000,1,-21935.0
8100,1,-22035.0
8200,1,-22139.0
8300,4,-22406.0
8400,10,-23223.0
8500,7,-24197.0
8600,1,-24462.0
8700,4,-24683.0
8800,5,-25117.0
8900,6,-25692.0
9000,4,-26180.0
9100,2,-26389.0
9200,3,-26597.0
9300,4,-26982.0
9400,5,-27498.0
9500,9,-28186.0
9600,4,-29037.0
9700,3,-29277.0
9800,1,-29512.0
9900,1,-29612.0
