step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,1,2.1,-23.099999999999998
300,0,0.0,-52.800000000000004
400,3,11.299999999999999,-535.7
500,2,20.3,-1743.0
600,2,23.700000000000003,-4350.1
700,5,53.0,-7988.099999999999
800,1,4.3,-12634.299999999997
900,2,14.4,-13569.399999999998
1000,2,34.4,-16019.399999999998
1100,2,54.4,-20469.399999999998
1200,4,59.199999999999996,-25284.6
1300,3,43.7,-28944.6
1400,0,0.0,-29334.699999999997
1500,0,0.0,-29334.699999999997
1600,2,11.0,-29732.699999999997
1700,1,18.5,-31420.699999999997
1800,6,56.1,-34768.29999999999
1900,0,0.0,-38471.499999999985
2000,0,0.0,-38471.499999999985
2100,2,1.6,-38479.599999999984
2200,3,21.6,-39649.599999999984
2300,4,37.2,-41818.79999999999
2400,7,84.69999999999999,-47763.200000000055
2500,1,4.2,-48494.90000000005
2600,2,14.2,-49429.00000000006
2700,4,29.1,-51476.50000000006
2800,4,35.300000000000004,-54397.90000000007
2900,6,84.39999999999999,-60366.5000000002
3000,0,0.0,-65002.40000000017
3100,0,0.0,-65002.40000000017
3200,1,2.4,-65033.00000000017
3300,4,18.6,-65896.80000000018
3400,7,69.3,-69897.30000000009
3500,7,94.2,-80059.20000000008
3600,1,25.7,-82783.30000000008
3700,2,1.9,-85559.60000000008
3800,5,27.700000000000003,-86711.50000000006
3900,10,90.39999999999999,-92352.89999999997
4000,14,178.60000000000002,-105549.19999999998
4100,3,0.0,-116890.1
4200,0,0.0,-116890.1
4300,5,14.2,-117335.50000000001
4400,6,62.5,-121124.10000000002
4500,11,136.9,-131379.70000000007
4600,5,95.5,-147866.10000000006
4700,1,29.6,-150655.60000000006
4800,1,0.2,-153310.30000000008
4900,1,10.2,-153835.30000000008
5000,4,28.3,-155579.00000000006
5100,4,56.7,-160337.70000000007
5200,0,0.0,-162378.50000000006
5300,1,3.5,-162441.50000000006
5400,1,8.6,-162912.20000000004
5500,1,18.6,-164277.20000000004
5600,4,53.6,-167699.70000000004
5700,1,18.0,-172785.6
5800,1,28.0,-175090.6
5900,1,0.7,-177059.00000000003
6000,1,10.7,-177634.00000000003
6100,4,35.9,-179765.90000000002
6200,6,58.6,-184584.00000000003
6300,0,0.0,-185445.4
6400,0,0.0,-185445.4
6500,1,7.9,-185761.4
6600,4,23.499999999999996,-187130.7
6700,6,67.1,-191567.30000000022
6800,0,0.0,-196718.1000000003
6900,1,8.4,-197075.1000000003
7000,2,4.8,-197894.2000000003
7100,1,0.0,-199043.1000000003
7200,2,9.0,-199418.2000000003
7300,6,38.5,-201564.00000000032
7400,1,0.0,-202160.20000000033
7500,1,9.8,-202645.30000000034
7600,2,26.200000000000003,-204338.30000000034
7700,3,23.9,-206488.4000000003
7800,6,68.29999999999998,-210786.20000000033
7900,1,6.7,-214801.30000000042
8000,1,16.7,-215976.30000000042
8100,2,30.0,-218208.9000000004
8200,1,13.3,-221469.2000000004
8300,6,48.1,-224120.4000000006
8400,8,5.2,-229166.1000000009
8500,0,0.0,-229195.1000000009
8600,2,8.9,-229642.1000000009
8700,5,33.0,-231616.80000000092
8800,8,92.30000000000001,-237518.2000000008
8900,8,108.19999999999999,-248682.00000000081
9000,0,0.0,-253189.7000000012
9100,2,5.5,-253343.7000000012
9200,3,15.9,-254607.7000000012
9300,3,21.0,-256785.70000000123
9400,6,44.2,-260523.10000000137
9500,3,5.0,-265327.20000000176
9600,2,19.3,-266426.80000000173
9700,2,5.3,-268357.6000000017
9800,2,11.7,-269884.00000000175
9900,4,39.1,-272075.4000000017
