step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,1,2.1,-24.0
300,0,0.0,-40.0
400,3,11.299999999999999,-162.0
500,2,20.3,-413.0
600,2,23.700000000000003,-661.0
700,5,53.00000000000001,-1014.0
800,1,4.3,-1490.0
900,2,14.4,-1594.0
1000,2,34.4,-1798.0
1100,2,54.4,-1998.0
1200,4,59.199999999999996,-2288.0
1300,3,43.7,-2610.0
1400,0,0.0,-2662.0
1500,0,0.0,-2662.0
1600,2,11.0,-2778.0
1700,1,18.5,-2943.0
1800,6,55.900000000000006,-3383.0
1900,0,0.0,-3768.0
2000,0,0.0,-3768.0
2100,3,7.9,-3854.0
2200,4,35.5,-4183.0
2300,5,62.199999999999996,-4598.0
2400,8,42.599999999999994,-5265.0
2500,1,4.2,-5453.0
2600,1,14.2,-5564.0
2700,4,29.2,-5750.0
2800,4,35.6,-6135.0
2900,6,84.8,-6652.0
3000,0,0.0,-6995.0
3100,0,0.0,-6995.0
3200,1,2.5,-7023.0
3300,4,18.6,-7249.0
3400,8,78.6,-7906.0
3500,4,15.7,-8709.0
3600,1,25.7,-8840.0
3700,2,4.4,-8978.0
3800,6,38.3,-9462.0
3900,12,117.0,-10327.0
4000,16,228.5,-11692.0
4100,1,0.0,-12514.0
4200,1,0.7,-12523.0
4300,6,24.7,-12931.0
4400,8,85.8,-13564.0
4500,10,180.7,-14612.0
4600,2,19.5,-15516.0
4700,1,29.5,-15622.0
4800,1,6.7,-15769.0
4900,2,23.9,-15968.0
5000,5,52.599999999999994,-16288.0
5100,6,103.3,-16822.0
5200,0,0.0,-16918.0
5300,0,0.0,-16955.0
5400,1,8.5,-17043.0
5500,1,18.5,-17143.0
5600,4,53.6,-17503.0
5700,1,18.0,-17764.0
5800,1,28.0,-17864.0
5900,1,0.7,-17914.0
6000,1,10.7,-18014.0
6100,4,28.199999999999996,-18275.0
6200,2,0.0,-18717.0
6300,0,0.0,-18723.0
6400,0,0.0,-18723.0
6500,1,8.0,-18806.0
6600,4,23.4,-18994.0
6700,6,67.0,-19451.0
6800,0,0.0,-19672.0
6900,1,8.5,-19760.0
7000,2,4.8,-19848.0
7100,1,14.8,-20028.0
7200,2,8.9,-20130.0
7300,0,0.0,-20414.0
7400,1,0.0,-20415.0
7500,2,11.9,-20539.0
7600,3,35.3,-20801.0
7700,4,43.9,-21167.0
7800,8,98.80000000000001,-21752.0
7900,2,16.7,-22109.0
8000,2,36.7,-22309.0
8100,3,59.900000000000006,-22544.0
8200,2,53.2,-22834.0
8300,4,35.0,-23221.0
8400,0,0.0,-23660.0
8500,0,0.0,-23660.0
8600,2,9.0,-23791.0
8700,5,33.3,-24070.0
8800,8,92.50000000000001,-24723.0
8900,5,29.2,-25486.0
9000,0,0.0,-25541.0
9100,2,5.5,-25625.0
9200,3,18.8,-25833.0
9300,3,23.8,-26197.0
9400,6,44.1,-26655.0
9500,3,10.9,-27095.0
9600,3,33.3,-27426.0
9700,4,35.9,-27746.0
9800,4,74.5,-28146.0
9900,6,69.0,-28718.0
