step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,2,8.4,-248.79999999999998
300,2,5.6,-935.8000000000001
400,8,17.7,-1826.5999999999995
500,20,105.30000000000001,-6972.600000000001
600,24,274.5,-25134.0
700,16,55.2,-48284.500000000015
800,9,26.5,-52452.90000000003
900,31,155.20000000000002,-60026.6
1000,30,325.09999999999997,-81276.3999999999
1100,16,126.6,-113652.49999999997
1200,13,47.2,-121536.39999999995
1300,26,162.6,-130987.49999999996
1400,27,300.3,-151736.09999999998
1500,13,75.6,-179747.2999999999
1600,12,22.199999999999996,-182241.89999999997
1700,22,112.4,-188389.99999999983
1800,27,285.79999999999995,-207224.39999999976
1900,14,104.8,-236181.79999999958
2000,6,22.3,-239137.4999999998
2100,21,114.5,-245052.9999999999
2200,29,265.70000000000005,-262353.1
2300,21,155.89999999999998,-292826.0000000002
2400,12,50.2,-301042.0000000002
2500,25,158.5,-310888.3000000004
2600,32,303.70000000000005,-331396.9000000007
2700,20,205.4,-367557.1000000011
2800,9,20.599999999999998,-377780.00000000116
2900,25,109.5,-383576.8000000011
3000,28,264.6,-400919.10000000166
3100,24,177.3,-432644.40000000125
3200,7,32.5,-441924.2000000009
3300,23,138.4,-449397.3000000012
3400,30,230.2,-466095.0000000018
3500,20,174.4,-496549.2000000018
3600,11,44.1,-503924.20000000217
3700,25,158.8,-512890.40000000264
3800,27,259.8,-532876.9000000026
3900,19,198.5,-565709.2000000016
4000,11,22.4,-572662.2000000014
4100,18,84.8,-577925.3000000014
4200,27,241.6,-593144.4000000013
4300,22,162.2,-624696.3000000023
4400,7,10.0,-629905.3000000023
4500,19,88.0,-634020.3000000034
4600,26,220.10000000000002,-649063.7000000034
4700,21,219.4,-679685.5000000036
4800,8,57.50000000000001,-687850.2000000037
4900,16,95.3,-693388.1000000036
5000,27,159.1,-706585.7000000039
5100,29,353.19999999999993,-734194.6000000032
5200,9,71.7,-748880.5000000036
5300,15,51.10000000000001,-752615.3000000028
5400,23,163.2,-762932.6000000018
5500,29,398.0,-790368.5000000022
5600,14,54.6,-805140.4000000022
5700,16,60.5,-808900.4000000025
5800,29,196.20000000000002,-821234.4000000019
5900,41,460.40000000000003,-854409.100000002
6000,7,65.19999999999999,-870070.5000000015
6100,17,87.9,-876009.6000000017
6200,28,146.49999999999997,-889034.7000000015
6300,29,355.4,-912624.100000002
6400,11,81.0,-933227.5000000019
6500,17,88.8,-939496.8000000028
6600,24,111.4,-952074.0000000029
6700,27,321.6,-973072.2000000034
6800,9,55.2,-994751.4000000036
6900,13,31.7,-997846.3000000039
7000,29,156.2,-1007532.2000000033
7100,31,377.6,-1033139.2000000037
7200,14,96.6,-1059346.6000000038
7300,19,90.1,-1067391.3000000047
7400,30,179.7,-1082538.4000000043
7500,33,384.2,-1108052.7000000032
7600,15,149.70000000000002,-1137446.1000000036
7700,15,86.0,-1147917.7000000032
7800,29,216.7,-1161829.500000003
7900,30,328.9,-1184190.8000000028
8000,15,93.0,-1212626.400000003
8100,12,48.1,-1218332.4000000015
8200,26,185.0,-1228898.2000000018
8300,28,287.3,-1248581.600000001
8400,15,94.29999999999998,-1275966.300000002
8500,10,42.800000000000004,-1280471.8000000014
8600,24,147.7,-1289046.5000000012
8700,29,285.29999999999995,-1308134.1000000006
8800,14,100.8,-1336264.6000000008
8900,10,32.099999999999994,-1340444.900000002
9000,21,100.89999999999999,-1346480.700000002
9100,28,266.0,-1363187.400000001
9200,18,104.30000000000001,-1391038.1000000013
9300,8,18.6,-1398005.0000000019
9400,19,107.8,-1403552.8000000035
9500,28,208.3,-1419176.2000000027
9600,27,265.40000000000003,-1451167.5000000014
9700,19,64.9,-1462856.3000000012
9800,24,114.30000000000001,-1470377.1000000017
9900,27,206.3,-1488098.8000000026
