step,queue,cum_queue
0,0,0.0
100,0,0.0
200,2,-140.0
300,2,-404.0
400,8,-892.0
500,20,-2263.0
600,24,-4334.0
700,15,-6647.0
800,11,-7960.0
900,31,-10104.0
1000,33,-13182.0
1100,13,-15923.0
1200,12,-16920.0
1300,25,-18725.0
1400,26,-21269.0
1500,13,-23559.0
1600,12,-24559.0
1700,22,-26202.0
1800,27,-28651.0
1900,12,-31007.0
2000,7,-31553.0
2100,22,-33004.0
2200,29,-35627.0
2300,21,-38370.0
2400,11,-39744.0
2500,23,-41530.0
2600,32,-44264.0
2700,21,-47379.0
2800,8,-48658.0
2900,25,-50332.0
3000,28,-53031.0
3100,24,-55927.0
3200,11,-57676.0
3300,22,-59336.0
3400,32,-62204.0
3500,31,-65175.0
3600,9,-66876.0
3700,15,-68090.0
3800,29,-70550.0
3900,29,-73400.0
4000,9,-75608.0
4100,12,-76646.0
4200,25,-78466.0
4300,29,-81225.0
4400,16,-83891.0
4500,8,-84930.0
4600,21,-86349.0
4700,25,-88724.0
4800,25,-91626.0
4900,11,-92926.0
5000,16,-94110.0
5100,24,-96206.0
5200,28,-98673.0
5300,7,-100321.0
5400,15,-101224.0
5500,24,-103142.0
5600,31,-106103.0
5700,16,-108393.0
5800,14,-109656.0
5900,27,-111983.0
6000,38,-115366.0
6100,14,-118105.0
6200,15,-119561.0
6300,30,-121768.0
6400,28,-124612.0
6500,23,-127475.0
6600,13,-128915.0
6700,23,-130782.0
6800,28,-133241.0
6900,18,-135963.0
7000,11,-137302.0
7100,24,-139197.0
7200,28,-141938.0
7300,29,-145151.0
7400,23,-147370.0
7500,27,-149639.0
7600,34,-152790.0
7700,32,-155954.0
7800,12,-158594.0
7900,16,-159997.0
8000,31,-162503.0
8100,30,-165482.0
8200,15,-167993.0
8300,13,-169070.0
8400,27,-171155.0
8500,32,-174032.0
8600,17,-176983.0
8700,9,-178123.0
8800,22,-179682.0
8900,25,-182166.0
9000,22,-184717.0
9100,8,-185845.0
9200,19,-187321.0
9300,27,-189655.0
9400,25,-192507.0
9500,12,-194230.0
9600,24,-195781.0
9700,27,-198521.0
9800,27,-201607.0
9900,18,-203415.0
