step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,2,8.4,-247.1
300,2,5.6,-916.1
400,10,24.399999999999995,-2018.6999999999996
500,20,117.39999999999999,-8494.999999999996
600,24,299.4,-29005.799999999992
700,15,57.7,-52740.19999999999
800,10,27.6,-56699.19999999999
900,31,160.0,-64561.90000000002
1000,30,332.70000000000005,-86216.99999999993
1100,16,129.0,-117926.80000000002
1200,13,48.900000000000006,-125505.60000000002
1300,26,168.2,-135292.6
1400,27,308.5,-156666.50000000017
1500,13,78.69999999999999,-184965.6000000003
1600,12,22.7,-187512.80000000025
1700,21,112.19999999999999,-193754.20000000027
1800,27,283.6,-212533.7000000002
1900,14,101.1,-241059.70000000004
2000,8,26.6,-243891.79999999996
2100,25,135.0,-250917.6
2200,30,297.09999999999997,-270825.2999999997
2300,19,134.49999999999997,-302023.9999999998
2400,10,46.4,-309284.3999999997
2500,25,151.2,-318332.5999999996
2600,33,315.59999999999997,-339002.8999999997
2700,18,194.59999999999997,-374659.1999999995
2800,9,21.5,-384100.4999999995
2900,25,113.8,-390079.9999999993
3000,28,272.4,-407899.8999999991
3100,22,182.70000000000002,-439413.9999999995
3200,9,37.0,-448362.5999999994
3300,24,156.60000000000002,-456957.69999999943
3400,31,258.0,-474987.1999999992
3500,18,141.0,-505086.4999999992
3600,8,39.8,-510723.7999999994
3700,26,154.8,-519281.3999999993
3800,28,254.5,-537890.9999999994
3900,17,134.5,-567544.6999999991
4000,12,28.1,-572876.8999999987
4100,21,108.50000000000001,-579465.3999999984
4200,28,281.9,-597853.7999999984
4300,17,150.89999999999998,-629507.4999999991
4400,8,10.399999999999999,-632933.4999999986
4500,21,102.6,-637866.5999999988
4600,27,242.6,-654329.599999999
4700,21,165.50000000000003,-684516.1999999994
4800,12,38.6,-691356.6999999991
4900,23,159.40000000000003,-700417.4999999994
5000,27,236.2,-718327.8999999985
5100,21,183.7,-749028.8999999979
5200,9,17.7,-756887.3999999982
5300,20,92.0,-761805.2999999983
5400,26,254.39999999999998,-778200.3999999983
5500,21,213.39999999999998,-810720.8999999982
5600,11,12.2,-819429.8999999977
5700,19,92.1,-823843.4999999985
5800,31,275.6,-841057.1999999988
5900,24,215.5,-876812.7999999986
6000,13,24.8,-886717.8999999989
6100,25,109.7,-892694.4999999994
6200,28,230.09999999999997,-908770.5999999995
6300,28,232.3,-941018.8999999993
6400,12,29.1,-952580.5999999992
6500,20,116.80000000000001,-959420.5999999987
6600,28,234.2,-975706.8999999991
6700,23,184.1,-1006377.999999999
6800,8,9.1,-1013568.5999999992
6900,19,86.60000000000001,-1017753.3999999992
7000,31,239.39999999999998,-1033596.0000000001
7100,25,243.79999999999998,-1066966.699999999
7200,20,47.7,-1078258.4999999984
7300,23,131.2,-1087363.999999998
7400,31,237.6,-1105087.9999999981
7500,33,289.0,-1140236.4999999984
7600,16,74.4,-1158229.9999999984
7700,20,140.3,-1167691.199999998
7800,28,234.6,-1185850.0999999985
7900,24,262.4,-1218799.2999999986
8000,10,39.199999999999996,-1228989.799999999
8100,23,133.4,-1236550.799999998
8200,25,177.89999999999998,-1252375.2999999973
8300,23,219.0,-1279726.7999999975
8400,11,24.9,-1287280.8999999987
8500,18,91.1,-1292340.6999999986
8600,25,174.4,-1305696.099999998
8700,26,260.7,-1333337.1999999976
8800,8,30.599999999999998,-1342049.099999999
8900,15,78.9,-1346543.2999999975
9000,24,192.8,-1359598.399999997
9100,25,276.6,-1389291.9999999993
9200,11,35.4,-1400198.2999999986
9300,18,68.6,-1403024.3999999983
9400,25,194.3,-1416291.9999999995
9500,30,323.6,-1447219.4000000001
9600,17,77.60000000000001,-1460439.2
9700,22,85.80000000000001,-1466665.7999999982
9800,30,170.5,-1480839.1999999983
9900,33,421.20000000000005,-1509716.8999999983
