step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,3,1.9000000000000001,-76.0
300,16,37.599999999999994,-914.0
400,16,26.4,-3127.0
500,28,29.1,-5115.0
600,26,166.2,-7500.0
700,24,28.1,-10002.0
800,35,103.5,-12782.0
900,30,133.0,-15912.0
1000,34,129.1,-19107.0
1100,35,288.8,-22652.0
1200,29,77.60000000000001,-25728.0
1300,32,142.3,-28705.0
1400,30,74.50000000000001,-31735.0
1500,36,94.9,-34942.0
1600,27,63.9,-38375.0
1700,30,92.30000000000001,-40564.0
1800,29,95.29999999999998,-43636.0
1900,30,75.6,-46850.0
2000,42,183.8,-50438.0
2100,35,57.0,-54172.0
2200,35,158.90000000000003,-57956.0
2300,38,111.60000000000001,-61498.0
2400,30,160.2,-64765.0
2500,36,203.9,-68285.0
2600,34,99.30000000000001,-72137.0
2700,36,175.5,-76083.0
2800,40,66.30000000000001,-79575.0
2900,38,166.4,-82877.0
3000,37,161.20000000000002,-86739.0
3100,25,74.7,-89721.0
3200,51,166.6,-93885.0
3300,34,122.0,-98020.0
3400,43,157.0,-102400.0
3500,44,44.199999999999996,-106634.0
3600,48,149.8,-111244.0
3700,38,99.7,-115609.0
3800,55,159.3,-119626.0
3900,39,147.10000000000002,-124351.0
4000,57,136.9,-129245.0
4100,46,132.9,-134763.0
4200,51,91.5,-139480.0
4300,69,232.7,-145570.0
4400,46,135.50000000000003,-151180.0
4500,56,283.3,-156494.0
4600,67,210.4,-162509.0
4700,74,439.2,-169296.0
4800,52,138.4,-175955.0
4900,48,210.39999999999998,-181681.0
5000,61,174.89999999999998,-186886.0
5100,55,255.8,-193106.0
5200,67,470.29999999999995,-199098.0
5300,68,647.1000000000001,-206014.0
5400,67,1179.8000000000002,-212366.0
5500,49,283.20000000000005,-218003.0
5600,51,109.39999999999999,-222474.0
5700,64,188.5,-228313.0
5800,49,78.4,-233756.0
5900,56,224.4,-239955.0
6000,43,51.9,-244444.0
6100,52,156.9,-248733.0
6200,53,74.2,-254246.0
6300,56,229.6,-259359.0
6400,47,128.60000000000002,-264595.0
6500,53,114.10000000000001,-269833.0
6600,70,188.7,-276372.0
6700,60,99.0,-282538.0
6800,55,292.5,-288297.0
6900,70,373.0,-294654.0
7000,64,496.4,-301073.0
7100,62,432.80000000000007,-307644.0
7200,68,575.7,-313561.0
7300,61,600.1999999999999,-320308.0
7400,66,575.0999999999999,-326805.0
7500,71,859.9,-333579.0
7600,68,936.2,-340711.0
7700,79,1091.6,-347694.0
7800,60,194.89999999999998,-354622.0
7900,74,273.20000000000005,-361734.0
8000,82,470.79999999999995,-369247.0
8100,71,541.8,-377202.0
8200,63,484.7,-384058.0
8300,69,218.4,-390700.0
8400,82,288.4,-398302.0
8500,57,275.70000000000005,-405743.0
8600,61,279.8,-411935.0
8700,70,555.3,-418307.0
8800,64,643.4,-425309.0
8900,74,974.5,-432549.0
9000,73,1148.7999999999997,-439644.0
9100,75,1171.2,-447055.0
9200,80,1285.9,-455147.0
9300,58,1204.5,-462058.0
9400,72,1272.0,-468291.0
9500,54,75.2,-474819.0
9600,77,231.0,-481194.0
9700,65,413.2,-488716.0
9800,56,599.5,-494667.0
9900,68,316.20000000000005,-501099.0
