step,queue,delay,cum_queue,cum_delay
0,0,0.0,0.0,0.0
100,0,0.0,0.0,0.0
200,0,0.0,0.0,0.0
300,0,0.0,0.0,0.0
400,0,0.0,0.0,0.0
500,1,3.6,-39.0,-66.6
600,1,13.6,-139.0,-931.6
700,0,0.0,-203.0,-1911.0000000000002
800,0,0.0,-203.0,-1911.0000000000002
900,0,0.0,-203.0,-1911.0000000000002
1000,0,0.0,-203.0,-1911.0000000000002
1100,0,0.0,-203.0,-1911.0000000000002
1200,0,0.0,-203.0,-1911.0000000000002
1300,0,0.0,-203.0,-1911.0000000000002
1400,1,3.1,-236.0,-1960.6000000000001
1500,1,13.1,-336.0,-2775.6000000000004
1600,0,0.0,-360.0,-3043.5000000000005
1700,0,0.0,-360.0,-3043.5000000000005
1800,1,0.0,-370.0,-3045.6000000000004
1900,0,0.0,-374.0,-3045.6000000000004
2000,0,0.0,-374.0,-3045.6000000000004
2100,1,6.9,-446.0,-3287.1000000000004
2200,1,16.9,-546.0,-4482.1
2300,2,29.5,-700.0,-6712.200000000001
2400,4,55.8,-1017.0,-10834.6
2500,0,0.0,-1153.0,-12105.400000000001
2600,0,0.0,-1153.0,-12105.400000000001
2700,0,0.0,-1153.0,-12105.400000000001
2800,0,0.0,-1153.0,-12105.400000000001
2900,0,0.0,-1153.0,-12105.400000000001
3000,0,0.0,-1153.0,-12105.400000000001
3100,1,3.1,-1187.0,-12155.000000000002
3200,1,13.1,-1287.0,-12970.000000000002
3300,1,23.1,-1387.0,-14785.000000000002
3400,0,0.0,-1433.0,-15252.000000000002
3500,0,0.0,-1433.0,-15252.000000000002
3600,0,0.0,-1433.0,-15252.000000000002
3700,0,0.0,-1433.0,-15252.000000000002
3800,0,0.0,-1433.0,-15252.000000000002
3900,0,0.0,-1433.0,-15252.000000000002
4000,0,0.0,-1433.0,-15252.000000000002
4100,0,0.0,-1433.0,-15252.000000000002
4200,0,0.0,-1433.0,-15252.000000000002
4300,0,0.0,-1433.0,-15252.000000000002
4400,0,0.0,-1433.0,-15252.000000000002
4500,0,0.0,-1433.0,-15252.000000000002
4600,0,0.0,-1433.0,-15252.000000000002
4700,1,5.4,-1490.0,-15400.500000000002
4800,1,15.4,-1590.0,-16445.5
4900,1,25.4,-1690.0,-18490.5
5000,2,37.0,-1809.0,-21549.1
5100,2,57.0,-2009.0,-26259.1
5200,0,0.0,-2048.0,-27249.6
5300,0,0.0,-2048.0,-27249.6
5400,0,0.0,-2048.0,-27249.6
5500,0,0.0,-2048.0,-27249.6
5600,0,0.0,-2048.0,-27249.6
5700,0,0.0,-2048.0,-27249.6
5800,1,2.5,-2076.0,-27282.1
5900,3,15.200000000000001,-2209.0,-28059.699999999997
6000,3,33.3,-2509.0,-31082.799999999996
6100,0,0.0,-2561.0,-31753.499999999996
6200,0,0.0,-2561.0,-31753.499999999996
6300,0,0.0,-2561.0,-31753.499999999996
6400,0,0.0,-2561.0,-31753.499999999996
6500,0,0.0,-2561.0,-31753.499999999996
6600,0,0.0,-2561.0,-31753.499999999996
6700,1,3.0,-2594.0,-31799.999999999996
6800,1,13.0,-2694.0,-32604.999999999996
6900,2,29.2,-2883.0,-34605.299999999996
7000,0,0.0,-2938.0,-35223.0
7100,0,0.0,-2938.0,-35223.0
7200,0,0.0,-2938.0,-35223.0
7300,0,0.0,-2938.0,-35223.0
7400,0,0.0,-2938.0,-35223.0
7500,0,0.0,-2938.0,-35223.0
7600,0,0.0,-2938.0,-35223.0
7700,0,0.0,-2938.0,-35223.0
7800,0,0.0,-2938.0,-35223.0
7900,0,0.0,-2938.0,-35223.0
8000,0,0.0,-2938.0,-35223.0
8100,0,0.0,-2938.0,-35223.0
8200,0,0.0,-2938.0,-35223.0
8300,1,8.8,-3029.0,-35614.6
8400,1,18.8,-3129.0,-36999.6
8500,2,6.8999999999999995,-3258.0,-38235.99999999999
8600,2,26.900000000000002,-3458.0,-39935.99999999999
8700,2,46.900000000000006,-3658.0,-43635.99999999999
8800,1,4.8,-3757.0,-44682.69999999999
8900,1,14.8,-3857.0,-45667.69999999999
9000,1,24.8,-3957.0,-47652.69999999999
9100,1,34.8,-4057.0,-50637.69999999999
9200,1,44.8,-4157.0,-54622.69999999999
9300,1,54.8,-4257.0,-59607.69999999999
9400,0,0.0,-4311.0,-62415.39999999999
9500,0,0.0,-4311.0,-62415.39999999999
9600,1,1.7,-4331.0,-62430.69999999998
9700,0,0.0,-4355.0,-62481.999999999985
9800,0,0.0,-4355.0,-62481.999999999985
9900,0,0.0,-4355.0,-62481.999999999985
