step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,0.0
400,0,0.0,0.0
500,1,3.5,-63.0
600,0,0.0,-493.0
700,0,0.0,-493.0
800,0,0.0,-493.0
900,0,0.0,-493.0
1000,1,0.4,-560.6
1100,1,1.2,-986.0000000000001
1200,0,0.0,-1024.7
1300,0,0.0,-1024.7
1400,1,3.1,-1074.3
1500,1,13.1,-1889.3
1600,0,0.0,-2172.3
1700,0,0.0,-2172.3
1800,0,0.0,-2172.3
1900,0,0.0,-2172.3
2000,0,0.0,-2172.3
2100,0,0.0,-2172.3
2200,0,0.0,-2172.3
2300,0,0.0,-2172.3
2400,2,8.2,-2512.6
2500,1,0.0,-4025.7
2600,1,7.3,-4295.799999999999
2700,1,17.3,-5530.799999999999
2800,0,0.0,-6533.799999999999
2900,0,0.0,-6533.799999999999
3000,0,0.0,-6533.799999999999
3100,1,3.2,-6586.599999999999
3200,0,0.0,-7200.799999999999
3300,0,0.0,-7200.799999999999
3400,0,0.0,-7200.799999999999
3500,0,0.0,-7200.799999999999
3600,0,0.0,-7200.799999999999
3700,0,0.0,-7200.799999999999
3800,0,0.0,-7200.799999999999
3900,0,0.0,-7200.799999999999
4000,0,0.0,-7200.799999999999
4100,0,0.0,-7200.799999999999
4200,0,0.0,-7200.799999999999
4300,0,0.0,-7200.799999999999
4400,0,0.0,-7200.799999999999
4500,0,0.0,-7200.799999999999
4600,0,0.0,-7200.799999999999
4700,0,0.0,-7201.799999999999
4800,0,0.0,-7245.299999999999
4900,0,0.0,-7245.299999999999
5000,0,0.0,-7245.299999999999
5100,0,0.0,-7245.299999999999
5200,0,0.0,-7245.299999999999
5300,1,6.7,-7473.099999999999
5400,0,0.0,-7691.799999999999
5500,0,0.0,-7691.799999999999
5600,0,0.0,-7691.799999999999
5700,0,0.0,-7691.799999999999
5800,1,2.5,-7724.299999999999
5900,0,0.0,-8023.9
6000,1,0.4,-8024.9
6100,0,0.0,-8189.2
6200,0,0.0,-8189.2
6300,0,0.0,-8189.2
6400,0,0.0,-8189.2
6500,0,0.0,-8189.2
6600,0,0.0,-8189.2
6700,0,0.0,-8189.2
6800,0,0.0,-8189.2
6900,0,0.0,-8327.0
7000,0,0.0,-8327.0
7100,0,0.0,-8340.6
7200,0,0.0,-8340.6
7300,0,0.0,-8340.6
7400,0,0.0,-8340.6
7500,0,0.0,-8340.6
7600,0,0.0,-8340.6
7700,0,0.0,-8340.6
7800,0,0.0,-8340.6
7900,0,0.0,-8340.6
8000,0,0.0,-8340.6
8100,1,1.4,-8351.1
8200,0,0.0,-8361.6
8300,0,0.0,-8367.1
8400,0,0.0,-8367.1
8500,2,6.7,-8552.900000000001
8600,0,0.0,-8622.2
8700,0,0.0,-8622.2
8800,1,3.0,-8715.2
8900,0,0.0,-9419.000000000002
9000,0,0.0,-9419.000000000002
9100,0,0.0,-9419.000000000002
9200,0,0.0,-9419.000000000002
9300,0,0.0,-9419.000000000002
9400,0,0.0,-9419.000000000002
9500,0,0.0,-9419.000000000002
9600,0,0.0,-9419.000000000002
9700,0,0.0,-9419.000000000002
9800,0,0.0,-9419.000000000002
9900,0,0.0,-9419.000000000002
