step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,0.0
400,0,0.0,0.0
500,0,0.0,0.0
600,0,0.0,0.0
700,0,0.0,0.0
800,0,0.0,0.0
900,0,0.0,0.0
1000,0,0.0,0.0
1100,0,0.0,0.0
1200,0,0.0,0.0
1300,0,0.0,0.0
1400,1,3.1,-49.6
1500,0,0.0,-610.5
1600,0,0.0,-610.5
1700,0,0.0,-610.5
1800,1,0.7,-613.3000000000001
1900,0,0.0,-1011.0
2000,0,0.0,-1011.0
2100,1,6.9,-1252.5
2200,1,16.9,-2447.5
2300,0,0.0,-4260.0
2400,1,2.5,-4292.5
2500,1,12.5,-5047.5
2600,1,22.5,-6802.5
2700,0,0.0,-9174.1
2800,0,0.0,-9174.1
2900,0,0.0,-9174.1
3000,0,0.0,-9174.1
3100,1,3.2,-9226.900000000001
3200,0,0.0,-9252.1
3300,0,0.0,-9252.1
3400,1,9.3,-9689.2
3500,1,19.3,-11124.2
3600,0,0.0,-11322.7
3700,0,0.0,-11322.7
3800,0,0.0,-11322.7
3900,0,0.0,-11322.7
4000,0,0.0,-11322.7
4100,0,0.0,-11322.7
4200,0,0.0,-11322.7
4300,0,0.0,-11322.7
4400,0,0.0,-11322.7
4500,0,0.0,-11322.7
4600,0,0.0,-11322.7
4700,1,5.4,-11471.2
4800,1,15.4,-12516.2
4900,0,0.0,-14214.7
5000,0,0.0,-14214.7
5100,0,0.0,-14214.7
5200,0,0.0,-14214.7
5300,1,0.0,-14429.2
5400,0,0.0,-14429.2
5500,0,0.0,-14429.2
5600,0,0.0,-14429.2
5700,0,0.0,-14429.2
5800,0,0.0,-14429.2
5900,1,0.8,-14432.800000000001
6000,1,10.8,-15017.800000000001
6100,0,0.0,-15832.000000000002
6200,0,0.0,-15832.000000000002
6300,0,0.0,-15832.000000000002
6400,0,0.0,-15832.000000000002
6500,0,0.0,-15832.000000000002
6600,0,0.0,-15832.000000000002
6700,1,3.0,-15878.500000000002
6800,1,13.0,-16683.5
6900,0,0.0,-17104.0
7000,0,0.0,-17104.0
7100,1,2.3,-17131.6
7200,1,12.3,-17866.6
7300,0,0.0,-18626.5
7400,0,0.0,-18626.5
7500,0,0.0,-18626.5
7600,0,0.0,-18626.5
7700,0,0.0,-18626.5
7800,0,0.0,-18626.5
7900,1,1.6,-18640.1
8000,1,11.6,-19305.1
8100,1,1.3,-19708.699999999997
8200,0,0.0,-19755.699999999997
8300,0,0.0,-19868.499999999996
8400,0,0.0,-19868.499999999996
8500,0,0.0,-19869.099999999995
8600,0,0.0,-19869.099999999995
8700,0,0.0,-19869.099999999995
8800,0,0.0,-19918.699999999993
8900,0,0.0,-19918.699999999993
9000,0,0.0,-19918.699999999993
9100,0,0.0,-19918.699999999993
9200,0,0.0,-19918.699999999993
9300,0,0.0,-19918.699999999993
9400,0,0.0,-19918.699999999993
9500,0,0.0,-19918.699999999993
9600,1,1.7,-19933.999999999993
9700,1,11.7,-20608.999999999993
9800,0,0.0,-22134.199999999993
9900,0,0.0,-22134.199999999993
