step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,0.0
400,0,0.0,0.0
500,1,3.5,-38.0
600,0,0.0,-65.0
700,0,0.0,-65.0
800,1,2.2,-122.0
900,1,0.0,-222.0
1000,2,0.0,-382.0
1100,0,0.0,-388.0
1200,0,0.0,-388.0
1300,0,0.0,-388.0
1400,1,3.1,-421.0
1500,1,13.1,-521.0
1600,0,0.0,-575.0
1700,0,0.0,-575.0
1800,1,0.7,-585.0
1900,0,0.0,-602.0
2000,0,0.0,-602.0
2100,0,0.0,-646.0
2200,0,0.0,-646.0
2300,0,0.0,-703.0
2400,2,6.5,-794.0
2500,2,26.0,-994.0
2600,1,4.8,-1090.0
2700,1,14.8,-1190.0
2800,0,0.0,-1263.0
2900,0,0.0,-1263.0
3000,0,0.0,-1263.0
3100,1,3.2,-1298.0
3200,1,13.2,-1398.0
3300,0,0.0,-1434.0
3400,0,0.0,-1434.0
3500,0,0.0,-1434.0
3600,0,0.0,-1434.0
3700,0,0.0,-1434.0
3800,0,0.0,-1434.0
3900,0,0.0,-1434.0
4000,0,0.0,-1434.0
4100,0,0.0,-1434.0
4200,0,0.0,-1434.0
4300,0,0.0,-1434.0
4400,0,0.0,-1434.0
4500,0,0.0,-1434.0
4600,0,0.0,-1434.0
4700,0,0.0,-1434.0
4800,0,0.0,-1474.0
4900,0,0.0,-1474.0
5000,0,0.0,-1475.0
5100,0,0.0,-1475.0
5200,0,0.0,-1475.0
5300,1,6.7,-1545.0
5400,0,0.0,-1582.0
5500,0,0.0,-1582.0
5600,0,0.0,-1582.0
5700,0,0.0,-1582.0
5800,1,2.4,-1609.0
5900,0,0.0,-1636.0
6000,1,0.4,-1643.0
6100,0,0.0,-1722.0
6200,0,0.0,-1722.0
6300,0,0.0,-1722.0
6400,0,0.0,-1724.0
6500,0,0.0,-1724.0
6600,0,0.0,-1724.0
6700,0,0.0,-1724.0
6800,0,0.0,-1724.0
6900,1,9.3,-1820.0
7000,0,0.0,-1831.0
7100,1,2.2,-1856.0
7200,0,0.0,-1942.0
7300,0,0.0,-1942.0
7400,0,0.0,-1942.0
7500,0,0.0,-1942.0
7600,0,0.0,-1942.0
7700,0,0.0,-1942.0
7800,0,0.0,-1942.0
7900,0,0.0,-1942.0
8000,0,0.0,-1942.0
8100,1,1.2,-1957.0
8200,0,0.0,-2031.0
8300,0,0.0,-2031.0
8400,0,0.0,-2031.0
8500,1,0.6,-2040.0
8600,1,10.6,-2140.0
8700,0,0.0,-2149.0
8800,1,0.0,-2200.0
8900,0,0.0,-2201.0
9000,0,0.0,-2201.0
9100,0,0.0,-2201.0
9200,0,0.0,-2201.0
9300,0,0.0,-2201.0
9400,0,0.0,-2201.0
9500,0,0.0,-2201.0
9600,0,0.0,-2201.0
9700,0,0.0,-2201.0
9800,0,0.0,-2201.0
9900,0,0.0,-2201.0
