step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,0.0
400,1,2.1,-155.7
500,4,14.700000000000001,-854.8
600,4,47.3,-3765.0
700,3,11.5,-6738.0000000000055
800,2,18.0,-8233.200000000004
900,4,42.9,-11160.900000000005
1000,2,21.200000000000003,-12779.600000000006
1100,1,2.2,-13973.300000000007
1200,2,15.899999999999999,-14768.600000000006
1300,1,22.2,-16771.900000000005
1400,4,11.2,-17407.400000000005
1500,0,0.0,-18606.200000000008
1600,1,3.0,-18775.200000000008
1700,2,3.4,-19161.700000000008
1800,3,14.6,-19887.600000000002
1900,0,0.0,-21635.000000000004
2000,1,5.5,-21789.000000000004
2100,4,20.400000000000002,-22924.700000000004
2200,5,54.800000000000004,-26676.40000000002
2300,3,3.9000000000000004,-32134.799999999977
2400,5,27.599999999999998,-33605.09999999998
2500,6,65.1,-38466.99999999997
2600,7,103.2,-46579.39999999997
2700,5,5.7,-57832.79999999997
2800,4,5.3,-57959.09999999996
2900,7,47.0,-60289.19999999996
3000,7,114.6,-68311.79999999996
3100,7,70.0,-82274.70000000001
3200,2,2.4,-83201.8
3300,9,38.300000000000004,-84714.79999999996
3400,12,145.1,-93516.69999999997
3500,9,118.10000000000001,-112785.89999999998
3600,3,27.099999999999998,-116318.3
3700,9,25.9,-117551.39999999994
3800,14,121.60000000000001,-124170.79999999994
3900,14,242.89999999999998,-141828.69999999992
4000,3,16.400000000000002,-154283.99999999997
4100,11,33.5,-155697.60000000012
4200,13,131.39999999999998,-163483.20000000016
4300,14,267.00000000000006,-183347.80000000016
4400,3,0.0,-199910.80000000016
4500,5,15.2,-200811.40000000017
4600,13,78.19999999999999,-205028.20000000036
4700,15,156.7,-216336.90000000043
4800,17,262.5,-239575.40000000043
4900,2,1.6,-246065.7000000004
5000,10,26.900000000000002,-247078.5000000003
5100,13,125.40000000000002,-254166.5000000003
5200,13,255.4,-273271.5000000003
5300,2,3.4,-281340.6000000003
5400,9,22.4,-282210.2000000005
5500,13,110.2,-288188.60000000044
5600,15,253.3,-306233.19999999984
5700,4,40.7,-321379.89999999944
5800,7,15.8,-324153.49999999936
5900,12,87.89999999999999,-328801.59999999945
6000,16,214.6,-343746.2999999994
6100,18,375.6,-373475.3999999994
6200,3,6.300000000000001,-383263.19999999943
6300,11,41.1,-385243.1999999994
6400,14,125.8,-393929.59999999905
6500,14,256.59999999999997,-413078.199999999
6600,2,0.4,-424006.99999999907
6700,9,25.9,-424940.4999999994
6800,10,111.30000000000001,-431407.19999999885
6900,10,123.19999999999999,-447604.09999999875
7000,5,23.7,-451026.29999999877
7100,5,22.7,-452564.6999999989
7200,7,69.30000000000001,-457089.19999999984
7300,11,141.1,-467420.59999999986
7400,1,5.2,-471962.30000000005
7500,5,16.4,-472648.1000000001
7600,6,71.0,-476901.20000000007
7700,7,120.80000000000001,-485829.4999999992
7800,3,3.8,-493894.4999999991
7900,8,49.400000000000006,-496079.29999999946
8000,11,122.9,-504424.999999999
8100,8,126.19999999999999,-514709.0999999989
8200,0,0.0,-523298.59999999887
8300,5,21.5,-524002.89999999886
8400,8,77.5,-528727.6999999988
8500,11,114.3,-537272.8999999989
8600,3,0.8,-548803.1999999984
8700,3,5.8999999999999995,-549242.3999999984
8800,6,49.099999999999994,-551677.2999999996
8900,5,92.0,-558671.9999999995
9000,5,85.5,-570284.1999999995
9100,3,7.9,-570882.3999999996
9200,2,15.4,-572755.6999999995
9300,3,27.9,-575126.0999999994
9400,6,62.199999999999996,-579322.2999999978
9500,4,11.0,-580232.0999999975
9600,3,29.8,-582046.8999999976
9700,5,45.5,-586317.1999999975
9800,5,95.19999999999999,-593362.499999993
9900,2,11.600000000000001,-595823.0999999925
