step,queue,cum_queue
0,0,0.0
100,0,0.0
200,1,-24.0
300,0,-40.0
400,3,-162.0
500,2,-410.0
600,2,-660.0
700,5,-1011.0
800,1,-1492.0
900,2,-1596.0
1000,2,-1806.0
1100,2,-2006.0
1200,4,-2299.0
1300,3,-2622.0
1400,0,-2682.0
1500,0,-2682.0
1600,2,-2799.0
1700,1,-2965.0
1800,6,-3406.0
1900,0,-3812.0
2000,0,-3812.0
2100,3,-3900.0
2200,4,-4229.0
2300,5,-4644.0
2400,6,-5306.0
2500,1,-5485.0
2600,1,-5602.0
2700,4,-5788.0
2800,4,-6178.0
2900,6,-6694.0
3000,0,-7062.0
3100,0,-7062.0
3200,1,-7088.0
3300,4,-7315.0
3400,8,-7972.0
3500,8,-8866.0
3600,1,-9100.0
3700,2,-9226.0
3800,5,-9605.0
3900,10,-10312.0
4000,14,-11473.0
4100,2,-12458.0
4200,0,-12477.0
4300,5,-12754.0
4400,7,-13267.0
4500,9,-14059.0
4600,7,-14868.0
4700,0,-15040.0
4800,1,-15044.0
4900,1,-15144.0
5000,4,-15357.0
5100,5,-15786.0
5200,0,-16144.0
5300,1,-16181.0
5400,0,-16229.0
5500,0,-16229.0
5600,3,-16490.0
5700,2,-16780.0
5800,1,-16887.0
5900,1,-16987.0
6000,1,-17087.0
6100,4,-17290.0
6200,5,-17705.0
6300,0,-17937.0
6400,0,-17937.0
6500,1,-18018.0
6600,3,-18189.0
6700,5,-18546.0
6800,1,-19041.0
6900,1,-19129.0
7000,2,-19292.0
7100,1,-19472.0
7200,3,-19655.0
7300,7,-20120.0
7400,1,-20709.0
7500,1,-20809.0
7600,2,-20977.0
7700,4,-21282.0
7800,7,-21750.0
7900,1,-22368.0
8000,1,-22451.0
8100,2,-22586.0
8200,2,-22786.0
8300,6,-23205.0
8400,9,-24055.0
8500,0,-24628.0
8600,1,-24720.0
8700,4,-24898.0
8800,5,-25363.0
8900,7,-26026.0
9000,1,-26485.0
9100,2,-26574.0
9200,3,-26803.0
9300,4,-27188.0
9400,6,-27681.0
9500,10,-28412.0
9600,2,-29142.0
9700,3,-29380.0
9800,1,-29593.0
9900,1,-29693.0
