step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,0.0
400,1,2.1,-150.6
500,4,14.700000000000001,-842.1
600,4,47.3,-3750.7000000000003
700,3,11.399999999999999,-6654.500000000005
800,2,18.0,-8158.100000000005
900,4,42.9,-11085.800000000005
1000,1,14.8,-12674.700000000004
1100,1,1.9,-13633.600000000004
1200,2,15.600000000000001,-14428.900000000005
1300,1,21.9,-16419.100000000006
1400,4,11.2,-17097.100000000006
1500,0,0.0,-18394.300000000007
1600,1,2.9,-18570.400000000005
1700,2,3.1999999999999997,-18919.600000000002
1800,3,14.4,-19619.300000000003
1900,0,0.0,-21282.9
2000,0,0.0,-21282.9
2100,3,7.9,-21524.100000000002
2200,4,31.2,-23500.600000000002
2300,3,3.8,-27186.999999999996
2400,4,26.900000000000002,-28619.799999999996
2500,5,56.199999999999996,-33008.70000000002
2600,6,83.90000000000002,-39657.599999999795
2700,4,0.0,-48384.69999999979
2800,5,8.6,-48546.89999999979
2900,5,41.6,-51205.69999999968
3000,6,98.5,-58132.19999999963
3100,5,5.800000000000001,-68962.79999999961
3200,4,5.6000000000000005,-69495.89999999962
3300,9,55.2,-72011.39999999966
3400,13,166.79999999999998,-82722.09999999967
3500,8,77.7,-102654.49999999967
3600,4,5.3999999999999995,-105287.99999999965
3700,13,57.4,-107814.59999999955
3800,12,164.60000000000002,-118999.8999999996
3900,10,143.79999999999998,-139891.19999999958
4000,4,10.7,-143668.99999999956
4100,13,65.8,-146939.89999999956
4200,13,159.00000000000003,-157727.3999999996
4300,10,147.2,-178615.29999999952
4400,5,4.8,-181894.5999999995
4500,14,69.8,-185121.69999999966
4600,13,167.0,-197248.39999999964
4700,12,158.3,-219177.49999999965
4800,8,12.399999999999999,-223148.0999999996
4900,12,66.69999999999999,-226618.2999999994
5000,13,155.20000000000002,-237437.9999999995
5100,10,156.99999999999997,-258480.29999999946
5200,1,0.4,-262248.59999999945
5300,9,24.5,-263211.1999999997
5400,13,111.20000000000002,-269376.89999999997
5500,14,243.8,-287096.99999999994
5600,5,42.4,-296262.1000000002
5700,12,35.8,-298336.8
5800,16,153.49999999999997,-307285.99999999994
5900,18,303.00000000000006,-330640.0999999999
6000,2,0.1,-338576.19999999995
6100,11,31.5,-339873.89999999985
6200,14,121.1,-347214.3999999998
6300,16,265.5,-366493.3999999998
6400,0,0.0,-374459.79999999976
6500,8,16.2,-374952.9999999998
6600,12,86.70000000000002,-379569.5999999995
6700,14,208.79999999999998,-394221.8999999995
6800,3,1.0,-405421.7999999997
6900,7,15.600000000000001,-405991.09999999974
7000,11,90.80000000000001,-410723.19999999896
7100,12,179.50000000000003,-424027.99999999907
7200,4,27.700000000000003,-434267.0999999991
7300,9,44.2,-437390.09999999957
7400,14,107.80000000000001,-446308.0999999995
7500,13,197.09999999999997,-460492.5999999995
7600,0,0.0,-470591.3999999996
7700,7,17.7,-471095.3999999996
7800,11,82.8,-475518.69999999943
7900,11,169.7,-487709.5
8000,2,2.5,-498218.39999999985
8100,7,17.2,-498937.3999999999
8200,9,92.2,-504092.20000000007
8300,12,170.70000000000002,-516454.90000000066
8400,0,0.0,-526538.1000000007
8500,3,5.4,-526672.7000000007
8600,9,48.99999999999999,-529052.2000000016
8700,10,111.00000000000001,-536909.9000000017
8800,1,0.0,-546958.8999999994
8900,0,0.0,-546958.8999999994
9000,0,0.0,-546958.8999999994
9100,3,10.3,-547230.4999999994
9200,4,31.3,-549475.0999999995
9300,1,2.8,-550280.3999999994
9400,3,14.600000000000001,-550722.3999999993
9500,4,21.599999999999998,-553622.9999999993
9600,7,70.1,-557924.8999999997
9700,3,42.800000000000004,-562917.6999999998
9800,3,28.0,-566227.1999999998
9900,6,56.400000000000006,-569692.000000001
