step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,1,2.1,-24.0
300,1,4.8,-99.0
400,2,9.7,-308.0
500,3,11.899999999999999,-523.0
600,3,35.4,-851.0
700,4,13.5,-1154.0
800,5,29.9,-1675.0
900,2,2.8000000000000003,-1892.0
1000,1,12.7,-2067.0
1100,2,5.4,-2214.0
1200,4,15.7,-2499.0
1300,1,7.5,-2816.0
1400,3,10.5,-3030.0
1500,8,47.599999999999994,-3629.0
1600,5,8.0,-4163.0
1700,7,44.7,-4680.0
1800,6,13.2,-5223.0
1900,4,27.099999999999998,-5861.0
2000,2,9.1,-6216.0
2100,7,47.5,-6704.0
2200,5,10.899999999999999,-7355.0
2300,5,10.3,-7679.0
2400,8,53.7,-8310.0
2500,7,9.5,-8938.0
2600,9,62.3,-9750.0
2700,7,11.2,-10753.0
2800,9,24.6,-11709.0
2900,12,119.49999999999997,-12803.0
3000,11,13.8,-13829.0
3100,12,66.4,-15022.0
3200,11,3.8,-16092.0
3300,13,54.2,-17231.0
3400,13,32.6,-18531.0
3500,13,45.7,-19803.0
3600,16,117.5,-21247.0
3700,11,11.8,-22389.0
3800,14,99.70000000000002,-23765.0
3900,7,11.6,-24572.0
4000,12,53.4,-25692.0
4100,9,21.6,-26822.0
4200,11,31.4,-27902.0
4300,13,136.7,-29149.0
4400,12,11.0,-30188.0
4500,14,84.1,-31514.0
4600,11,10.6,-32721.0
4700,14,51.6,-33954.0
4800,7,21.699999999999996,-35341.0
4900,11,20.9,-36085.0
5000,13,110.9,-37321.0
5100,12,16.9,-38492.0
5200,12,72.4,-39720.0
5300,10,22.099999999999994,-40879.0
5400,12,36.2,-42005.0
5500,10,46.7,-43281.0
5600,12,27.0,-44434.0
5700,15,130.09999999999997,-45718.0
5800,11,7.1,-46869.0
5900,14,71.0,-48063.0
6000,8,22.599999999999998,-49398.0
6100,12,29.1,-50425.0
6200,16,102.8,-51993.0
6300,12,19.4,-53283.0
6400,16,98.9,-54796.0
6500,5,13.7,-55797.0
6600,13,43.6,-56812.0
6700,8,35.9,-58027.0
6800,14,26.799999999999997,-59143.0
6900,17,147.3,-60794.0
7000,14,8.3,-62188.0
7100,14,68.3,-63481.0
7200,9,39.1,-64714.0
7300,16,52.099999999999994,-66069.0
7400,18,110.2,-67919.0
7500,7,19.0,-68868.0
7600,16,78.5,-70302.0
7700,10,11.700000000000001,-71655.0
7800,14,39.5,-72714.0
7900,17,87.3,-74302.0
8000,15,25.599999999999998,-75718.0
8100,20,120.30000000000001,-77530.0
8200,12,18.5,-79025.0
8300,18,80.80000000000001,-80704.0
8400,14,33.300000000000004,-82490.0
8500,22,49.1,-84400.0
8600,14,25.900000000000002,-86494.0
8700,13,31.900000000000002,-87369.0
8800,16,37.6,-89107.0
8900,11,14.7,-90204.0
9000,15,109.8,-91616.0
9100,9,7.6000000000000005,-92731.0
9200,15,42.900000000000006,-93815.0
9300,10,6.2,-95113.0
9400,14,42.49999999999999,-96268.0
9500,9,34.300000000000004,-97640.0
9600,13,34.9,-98524.0
9700,10,35.1,-99927.0
9800,8,21.0,-100672.0
9900,14,62.19999999999999,-102071.0
