step,queue,delay,cum_queue,cum_delay
0,0,0.0,0.0,0.0
100,0,0.0,0.0,0.0
200,10,18.8,-249.0,-314.80000000000007
300,22,160.9,-1817.0,-8568.099999999999
400,41,412.70000000000005,-4850.0,-36121.19999999999
500,39,544.5,-9070.0,-84873.99999999999
600,53,967.6000000000001,-13617.0,-159560.8999999999
700,66,1512.6,-19507.0,-282611.1999999998
800,81,2227.7999999999997,-27042.0,-468848.5999999995
900,96,2872.8,-35998.0,-733339.9999999998
1000,87,3328.5,-44491.0,-1026883.5999999992
1100,99,4335.3,-53837.0,-1409265.4999999998
1200,106,5511.1,-64070.0,-1900592.1000000006
1300,116,6849.1,-75231.0,-2517270.7000000016
1400,84,3409.1,-86251.0,-3109375.900000002
1500,80,3621.6000000000004,-93828.0,-3436624.7000000034
1600,95,4579.3,-102524.0,-3845252.100000001
1700,104,5724.6,-112531.0,-4359850.000000002
1800,112,6258.9,-123266.0,-4996331.1000000015
1900,86,4114.3,-132291.0,-5434143.300000002
2000,97,5197.4,-141367.0,-5898947.100000001
2100,106,6466.2,-151542.0,-6481304.999999999
2200,117,7943.4,-162979.0,-7200592.499999996
2300,85,3797.6000000000004,-174014.0,-7881559.0
2400,87,3544.9,-182253.0,-8206286.900000001
2500,99,4555.499999999999,-191602.0,-8610598.1
2600,113,5807.800000000001,-202317.0,-9127315.100000003
2700,128,6568.7,-214514.0,-9779161.700000007
2800,101,4267.6,-224969.0,-10236153.800000014
2900,112,5446.6,-235596.0,-10720014.200000012
3000,123,6850.0,-247398.0,-11333847.600000016
3100,132,8440.2,-260216.0,-12097358.100000005
3200,103,4903.1,-273042.0,-12849292.500000004
3300,106,4790.0,-283049.0,-13296905.000000004
3400,122,5977.0,-294378.0,-13834334.300000006
3500,132,7396.299999999999,-307009.0,-14501888.90000001
3600,140,8207.2,-320627.0,-15320276.80000001
3700,95,4214.799999999999,-331372.0,-15803525.70000002
3800,108,5380.599999999999,-341453.0,-16282012.000000028
3900,124,6781.9,-353072.0,-16888293.800000027
4000,136,8447.9,-366025.0,-17649014.900000017
4100,102,4823.900000000001,-378872.0,-18401445.80000003
4200,95,4878.0,-388230.0,-18847738.20000004
4300,104,6095.000000000001,-398063.0,-19396298.80000003
4400,120,7441.100000000001,-409169.0,-20072390.80000005
4500,132,8213.300000000001,-421646.0,-20892495.300000045
4600,96,4872.200000000001,-432149.0,-21426254.100000042
4700,110,6138.599999999999,-442496.0,-21975868.80000003
4800,120,7595.199999999999,-453896.0,-22661996.300000023
4900,128,9220.300000000001,-466408.0,-23501895.00000001
5000,104,5165.0,-478753.0,-24319857.000000045
5100,112,4466.200000000001,-489173.0,-24742336.800000045
5200,127,5705.3,-501053.0,-25250038.30000007
5300,143,7102.9,-514552.0,-25889210.100000087
5400,154,7936.7,-529428.0,-26678223.700000085
5500,114,5015.299999999999,-541802.0,-27201199.10000008
5600,117,6363.500000000001,-553382.0,-27769578.60000006
5700,125,7839.5,-565437.0,-28478793.60000005
5800,132,9480.6,-578210.0,-29344488.90000006
5900,101,5747.599999999999,-590905.0,-30193146.300000064
6000,103,6149.599999999999,-600538.0,-30759362.00000008
6100,111,7459.6,-611199.0,-31439301.900000077
6200,124,8897.199999999999,-622893.0,-32256370.80000008
6300,137,9746.0,-636178.0,-33226583.4000001
6400,95,3969.9,-646802.0,-33762943.700000085
6500,104,4985.900000000001,-656799.0,-34206306.60000006
6600,115,6244.299999999999,-667617.0,-34767362.800000064
6700,119,7680.0,-679344.0,-35462917.90000007
6800,92,3993.4,-690792.0,-36130824.00000007
6900,95,4148.5,-699602.0,-36509750.50000013
7000,114,5247.6,-710133.0,-36977844.2000001
7100,126,6575.4,-722020.0,-37568306.500000075
7200,137,7302.199999999999,-735204.0,-38300486.4
7300,98,4193.1,-746047.0,-38756886.39999999
7400,105,5383.299999999999,-756046.0,-39235164.99999997
7500,112,6713.699999999999,-766839.0,-39839151.59999999
7600,120,8207.6,-778419.0,-40584631.10000001
7700,94,4565.6,-790057.0,-41309322.8
7800,97,4437.5,-799057.0,-41720494.000000015
7900,109,5521.5,-809283.0,-42217938.400000006
8000,125,6761.9,-821092.0,-42830651.900000006
8100,140,7403.199999999999,-834290.0,-43577284.600000024
8200,107,3598.4000000000005,-845564.0,-43986748.30000002
8300,119,4800.2,-856981.0,-44404624.40000002
8400,127,6212.199999999999,-869206.0,-44954643.299999975
8500,134,7769.799999999999,-882167.0,-45653502.80000001
8600,103,4664.200000000001,-894933.0,-46351471.60000004
8700,103,5139.9,-904775.0,-46817469.30000009
8800,123,6370.799999999999,-916099.0,-47391718.20000008
8900,132,7811.6,-928935.0,-48099758.300000116
9000,138,8637.099999999999,-942487.0,-48960125.20000017
9100,97,4280.7,-953083.0,-49467459.10000021
9200,104,5404.400000000001,-963294.0,-49950051.40000016
9300,112,6681.7,-974098.0,-50553630.90000019
9400,115,8103.7,-985442.0,-51292440.80000025
9500,86,4091.9,-996478.0,-51993120.40000025
9600,90,4162.700000000001,-1005027.0,-52372652.900000274
9700,102,5250.200000000001,-1014740.0,-52842345.70000029
9800,119,6500.800000000001,-1025789.0,-53429140.70000019
9900,127,7156.200000000001,-1038079.0,-54149700.30000021
