step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,7,12.0,-273.5
300,9,34.7,-3970.8999999999987
400,26,78.9,-8841.6
500,26,77.49999999999999,-17081.100000000006
600,45,139.3,-30184.60000000003
700,41,123.4,-42753.19999999999
800,51,148.3,-60462.80000000002
900,62,228.79999999999998,-77795.70000000003
1000,68,243.40000000000003,-100486.90000000002
1100,82,239.3,-123586.40000000002
1200,71,161.2,-145760.70000000007
1300,88,256.90000000000003,-172257.4000000002
1400,104,248.10000000000002,-194454.1000000001
1500,103,342.0,-225525.40000000008
1600,125,472.70000000000005,-257134.10000000012
1700,119,244.9,-289287.4
1800,106,289.0,-315953.8
1900,123,250.9,-345648.7999999998
2000,129,293.00000000000006,-374993.1999999998
2100,137,334.1,-404660.6999999996
2200,133,242.8,-432694.79999999964
2300,131,308.90000000000003,-460313.9999999995
2400,142,299.7,-491795.4999999996
2500,143,338.3,-524805.7999999998
2600,150,284.70000000000005,-555734.1999999996
2700,143,325.1000000000001,-588455.2999999996
2800,144,386.0,-621996.5999999992
2900,147,332.29999999999995,-659515.2999999988
3000,143,314.0,-693679.799999999
3100,149,281.2,-724059.4999999991
3200,140,298.9,-754270.899999999
3300,145,270.8,-785698.4999999991
3400,147,425.4,-826077.4999999994
3500,151,342.0,-870097.0999999995
3600,152,458.5,-913698.5999999996
3700,148,510.0,-960701.1999999993
3800,158,637.8,-1017674.3999999991
3900,159,488.3,-1068172.3999999994
4000,153,387.40000000000003,-1110282.399999999
4100,147,358.9,-1144882.2999999986
4200,158,288.20000000000005,-1179993.4999999981
4300,156,386.0,-1213807.5999999992
4400,149,263.40000000000003,-1249434.599999999
4500,146,332.5,-1279489.2999999984
4600,152,248.3,-1308234.2999999982
4700,147,290.5,-1339770.4999999974
4800,157,302.4,-1369407.2999999975
4900,145,270.2,-1399612.799999997
5000,149,270.7,-1431866.3999999964
5100,157,332.79999999999995,-1460218.9999999965
5200,149,298.90000000000003,-1493195.0999999961
5300,148,353.6,-1523907.599999996
5400,148,274.8,-1554717.399999997
5500,157,306.7,-1588039.5999999978
5600,164,331.8,-1619731.599999998
5700,154,243.3,-1650726.4999999984
5800,154,302.3,-1682341.2999999984
5900,160,305.1,-1710354.999999998
6000,154,271.6,-1743181.399999998
6100,153,321.2,-1772922.699999998
6200,154,281.1,-1803931.2999999977
6300,155,295.6,-1836721.9999999967
6400,158,357.0,-1866651.1999999965
6500,151,268.70000000000005,-1897328.2999999963
6600,152,340.6,-1928837.7999999956
6700,159,310.90000000000003,-1957523.4999999958
6800,153,325.70000000000005,-1990480.699999995
6900,155,360.1,-2022078.199999995
7000,154,276.6,-2053256.9999999942
7100,157,297.5,-2085163.499999994
7200,162,369.80000000000007,-2116339.999999995
7300,155,292.9,-2148426.3999999957
7400,154,394.20000000000005,-2183252.7999999993
7500,160,305.6,-2214120.399999999
7600,158,349.7,-2248259.3999999985
7700,158,338.4,-2281767.6999999993
7800,158,298.9,-2314014.9999999995
7900,160,310.6,-2348452.299999998
8000,163,400.4,-2381136.9999999995
8100,155,283.4,-2415773.1999999983
8200,157,348.8,-2447663.1999999965
8300,162,316.2,-2478062.4999999963
8400,157,333.0,-2511926.499999997
8500,154,338.70000000000005,-2543106.399999997
8600,151,274.6,-2574951.7999999975
8700,160,294.5,-2607831.599999997
8800,161,417.09999999999997,-2639000.299999999
8900,160,279.1,-2671500.5999999978
9000,156,411.7,-2703689.9999999995
9100,166,289.8,-2734604.899999999
9200,160,399.9000000000001,-2768545.3000000003
9300,165,325.49999999999994,-2800227.5
9400,160,381.0,-2833987.4999999986
9500,168,311.5,-2866740.7999999993
9600,164,412.2,-2899638.8000000007
9700,167,309.8,-2932993.0000000023
9800,160,415.70000000000005,-2966375.9000000022
9900,166,289.09999999999997,-2998088.6000000057
