step,queue,cum_queue
0,0,0.0
100,0,0.0
200,10,-281.0
300,14,-1878.0
400,26,-3820.0
500,32,-6434.0
600,26,-9030.0
700,36,-12127.0
800,32,-16028.0
900,41,-20227.0
1000,54,-24754.0
1100,41,-28762.0
1200,48,-33256.0
1300,46,-38556.0
1400,49,-44027.0
1500,49,-48926.0
1600,56,-53507.0
1700,65,-59316.0
1800,52,-65271.0
1900,46,-71168.0
2000,56,-76305.0
2100,56,-81766.0
2200,62,-87507.0
2300,64,-93888.0
2400,59,-100619.0
2500,76,-107039.0
2600,67,-114026.0
2700,73,-120657.0
2800,61,-127375.0
2900,57,-133663.0
3000,78,-140336.0
3100,76,-147767.0
3200,84,-155396.0
3300,76,-163545.0
3400,68,-170818.0
3500,94,-179014.0
3600,82,-187509.0
3700,80,-195907.0
3800,89,-204496.0
3900,90,-212956.0
4000,106,-222857.0
4100,89,-232626.0
4200,90,-241810.0
4300,84,-250868.0
4400,98,-260055.0
4500,102,-269971.0
4600,99,-279585.0
4700,95,-289668.0
4800,90,-299492.0
4900,98,-308954.0
5000,102,-318981.0
5100,86,-327941.0
5200,86,-337025.0
5300,94,-346943.0
5400,96,-356133.0
5500,99,-365504.0
5600,66,-373562.0
5700,82,-381554.0
5800,101,-390914.0
5900,95,-400238.0
6000,108,-410122.0
6100,77,-418779.0
6200,86,-427209.0
6300,105,-437152.0
6400,92,-446097.0
6500,103,-455383.0
6600,85,-464419.0
6700,78,-473143.0
6800,95,-482425.0
6900,82,-490382.0
7000,104,-499198.0
7100,89,-508836.0
7200,84,-518066.0
7300,99,-527538.0
7400,87,-536552.0
7500,105,-545904.0
7600,90,-555398.0
7700,96,-564743.0
7800,99,-574507.0
7900,95,-583893.0
8000,102,-594238.0
8100,95,-603977.0
8200,94,-613307.0
8300,92,-623307.0
8400,101,-632568.0
8500,108,-642714.0
8600,85,-652526.0
8700,92,-661639.0
8800,116,-671537.0
8900,92,-681265.0
9000,102,-691033.0
9100,83,-701129.0
9200,82,-709830.0
9300,104,-718701.0
9400,83,-727173.0
9500,98,-736032.0
9600,88,-745677.0
9700,91,-754100.0
9800,98,-764120.0
9900,82,-772860.0
