step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,7,12.0,-259.50000000000006
300,9,35.2,-3907.6999999999985
400,26,80.5,-8812.6
500,25,75.3,-17801.09999999999
600,44,249.10000000000002,-30623.700000000004
700,41,103.30000000000001,-43641.00000000005
800,39,190.4,-61321.90000000005
900,64,191.10000000000002,-77901.80000000008
1000,65,211.60000000000002,-98719.50000000006
1100,80,222.0,-119227.00000000004
1200,69,163.2,-140176.99999999994
1300,87,254.1,-165164.2999999998
1400,103,254.4,-187693.19999999987
1500,107,330.69999999999993,-215880.0999999999
1600,112,254.7,-240019.6999999999
1700,108,242.70000000000002,-266616.5
1800,117,261.1,-293648.9999999998
1900,125,304.00000000000006,-319672.49999999994
2000,128,248.50000000000003,-348245.79999999976
2100,128,262.6,-374528.8999999998
2200,134,243.40000000000003,-402880.69999999995
2300,141,281.70000000000005,-431925.4000000001
2400,145,362.6,-462675.99999999977
2500,144,264.40000000000003,-493142.0999999999
2600,135,345.29999999999995,-523546.0999999999
2700,150,290.3,-553174.0
2800,143,339.20000000000005,-584539.5999999997
2900,150,312.5,-615698.9999999994
3000,140,291.59999999999997,-645505.4999999995
3100,146,270.70000000000005,-677726.2999999995
3200,153,344.9,-706681.4999999995
3300,147,313.79999999999995,-737468.7999999999
3400,144,327.0,-768811.5999999999
3500,146,319.2,-798974.4
3600,153,281.5,-831957.4000000005
3700,152,358.29999999999995,-862630.7000000004
3800,148,283.40000000000003,-895471.6000000004
3900,154,349.9,-929466.4000000006
4000,158,307.9,-960886.4000000008
4100,151,309.5,-995273.900000001
4200,155,341.49999999999994,-1027099.0000000012
4300,148,275.7,-1058018.0000000014
4400,151,345.09999999999997,-1092248.100000001
4500,160,365.09999999999997,-1121192.8000000007
4600,151,298.6,-1153820.400000001
4700,149,361.20000000000005,-1186553.4000000008
4800,149,316.59999999999997,-1217134.6000000015
4900,153,314.90000000000003,-1252907.8000000005
5000,161,385.1,-1284506.3000000012
5100,153,296.09999999999997,-1319778.8000000014
5200,158,358.70000000000005,-1354592.200000001
5300,158,366.4,-1386281.4000000006
5400,159,343.2,-1423360.3000000003
5500,152,379.7,-1456092.8000000005
5600,151,276.79999999999995,-1488695.3999999992
5700,157,342.6,-1523650.1999999993
5800,156,359.9,-1553884.6999999993
5900,151,260.2,-1587515.5999999985
6000,154,361.0,-1620365.899999999
6100,150,280.09999999999997,-1651996.3999999992
6200,149,380.0,-1687376.8999999987
6300,161,390.5,-1718540.199999999
6400,152,298.0,-1753284.1999999983
6500,151,376.20000000000005,-1786734.6999999983
6600,148,314.40000000000003,-1818292.9999999986
6700,151,286.90000000000003,-1852287.4999999984
6800,159,400.7,-1884463.5999999985
6900,152,278.3,-1918945.6999999997
7000,154,368.2,-1952693.6999999997
7100,158,302.9,-1984218.1000000006
7200,152,341.20000000000005,-2019002.2999999998
7300,161,399.9,-2053268.8000000003
7400,151,294.6,-2088575.8000000024
7500,158,390.9,-2124515.500000003
7600,161,393.5,-2160820.000000001
7700,157,327.0,-2198329.5
7800,161,365.09999999999997,-2234871.699999998
7900,156,324.5,-2269641.7999999947
8000,158,350.4000000000001,-2309021.3999999943
8100,163,390.5,-2341555.599999996
8200,161,317.7,-2376661.5999999987
8300,153,373.4,-2409463.599999999
8400,151,299.4,-2442495.3999999994
8500,153,310.4,-2476191.4999999995
8600,160,382.7,-2508783.399999998
8700,158,300.0,-2542300.2999999975
8800,158,356.7,-2576980.099999999
8900,165,331.5,-2608688.9999999995
9000,162,327.99999999999994,-2643786.9999999995
9100,163,341.6,-2676819.5000000005
9200,161,299.8,-2710698.7000000025
9300,168,375.3,-2746713.0999999996
9400,169,364.0,-2781788.6999999983
9500,164,362.99999999999994,-2818210.6999999983
9600,165,370.9,-2852048.5999999996
9700,163,336.6,-2885549.799999997
9800,168,365.30000000000007,-2921339.3999999957
9900,164,361.5,-2955314.0999999945
