step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,10,22.0,-281.0
300,14,101.1,-1893.0
400,26,180.39999999999998,-3835.0
500,32,417.19999999999993,-6436.0
600,26,258.79999999999995,-8932.0
700,36,344.79999999999995,-12003.0
800,32,337.0,-15846.0
900,38,269.70000000000005,-20002.0
1000,55,512.8,-24587.0
1100,45,582.2,-28557.0
1200,47,563.0999999999999,-32995.0
1300,43,470.6,-38143.0
1400,45,355.6,-43573.0
1500,49,369.00000000000006,-48590.0
1600,63,697.3,-53343.0
1700,66,869.8000000000001,-59621.0
1800,49,682.2,-65441.0
1900,47,384.1,-70956.0
2000,48,303.59999999999997,-75892.0
2100,64,528.5,-81200.0
2200,68,848.2,-87420.0
2300,58,850.1,-93193.0
2400,60,549.1,-99735.0
2500,63,475.50000000000006,-106056.0
2600,82,861.3,-113179.0
2700,73,1006.5,-120192.0
2800,58,909.7,-126426.0
2900,60,499.20000000000005,-132900.0
3000,55,556.3,-138873.0
3100,82,817.5,-146122.0
3200,88,1074.3,-153877.0
3300,69,1042.5,-161177.0
3400,69,621.5,-168652.0
3500,71,687.5,-176129.0
3600,92,1164.4,-184622.0
3700,81,1124.1,-193117.0
3800,80,1144.5,-200675.0
3900,90,792.2,-209336.0
4000,90,913.8,-218845.0
4100,107,1534.3000000000002,-228979.0
4200,91,1339.3,-238732.0
4300,83,1178.6,-246946.0
4400,88,957.5,-255779.0
4500,90,949.3000000000001,-264777.0
4600,106,1352.6000000000001,-274186.0
4700,92,1249.2,-284259.0
4800,88,1282.2,-292769.0
4900,96,1180.8,-302381.0
5000,90,1000.1,-312268.0
5100,97,1211.0,-321897.0
5200,84,1138.0999999999997,-330859.0
5300,90,1060.5000000000002,-338779.0
5400,96,1130.2999999999997,-348047.0
5500,85,1205.8999999999999,-357359.0
5600,78,1200.2,-366597.0
5700,81,1188.5000000000002,-374350.0
5800,93,1236.7000000000003,-382485.0
5900,101,1130.3,-392870.0
6000,98,1465.3,-402510.0
6100,93,1664.4,-411669.0
6200,79,1030.6000000000001,-420044.0
6300,86,1052.6999999999998,-428380.0
6400,93,1078.3,-438031.0
6500,85,1387.2,-446871.0
6600,92,1276.5,-455831.0
6700,73,877.0,-464057.0
6800,84,1112.6000000000001,-471932.0
6900,88,937.5,-480956.0
7000,92,1316.6,-490252.0
7100,99,1464.4,-499444.0
7200,88,1018.1000000000001,-508493.0
7300,103,1148.4,-517496.0
7400,99,1151.4,-527850.0
7500,93,1294.8,-537587.0
7600,90,1278.7,-546569.0
7700,85,844.6,-555126.0
7800,110,1199.6,-564873.0
7900,99,1370.9999999999998,-575655.0
8000,98,1331.7000000000003,-585752.0
8100,96,1267.6999999999998,-595261.0
8200,95,1040.3,-604545.0
8300,111,1183.3,-615065.0
8400,113,1488.7999999999997,-626084.0
8500,100,1517.7,-636731.0
8600,100,1338.6,-646658.0
8700,93,1225.1,-656064.0
8800,108,1302.9999999999998,-666097.0
8900,117,1617.6000000000001,-677486.0
9000,100,1834.0000000000002,-687282.0
9100,95,1464.0,-696811.0
9200,90,935.1999999999999,-706120.0
9300,102,1196.1,-715624.0
9400,110,1431.1,-726477.0
9500,101,1364.5,-736576.0
9600,96,1478.1,-746443.0
9700,85,1007.7,-755799.0
9800,91,1125.2,-765088.0
9900,115,1627.7999999999997,-775371.0
