step,queue,delay,cum_queue,cum_delay
0,0,0.0,0.0,0.0
100,0,0.0,0.0,0.0
200,6,16.1,-184.0,-277.59999999999997
300,27,151.2,-1872.0,-7179.5999999999985
400,47,474.59999999999997,-5617.0,-37056.099999999984
500,44,711.5999999999999,-10508.0,-97632.3
600,59,1208.8000000000002,-15706.0,-192726.69999999998
700,78,1835.5000000000002,-22464.0,-343776.8000000001
800,94,2656.2,-31079.0,-567093.4999999998
900,99,3392.1000000000004,-40782.0,-881020.4999999995
1000,82,2992.8,-49182.0,-1161176.4999999993
1100,103,3931.5999999999995,-58574.0,-1505520.7999999982
1200,114,5080.5,-69422.0,-1955674.5999999985
1300,121,6393.900000000001,-81141.0,-2528299.8999999985
1400,89,3474.3999999999996,-92519.0,-3085020.099999998
1500,88,3922.1,-100788.0,-3438341.699999999
1600,108,4942.3,-110460.0,-3880282.3000000003
1700,121,6232.0,-121966.0,-4437905.199999999
1800,129,6944.500000000001,-134497.0,-5133512.899999998
1900,89,4518.6,-144409.0,-5610825.199999994
2000,104,5614.3,-154027.0,-6116503.299999993
2100,117,6897.400000000001,-164965.0,-6741147.499999989
2200,128,8424.6,-177255.0,-7505503.399999986
2300,107,4370.7,-189789.0,-8237490.699999993
2400,102,4660.799999999999,-199698.0,-8655806.699999992
2500,112,5987.900000000001,-210381.0,-9187425.499999983
2600,126,7522.799999999999,-222139.0,-9861607.39999999
2700,132,8530.9,-235090.0,-10701371.999999996
2800,105,5386.8,-246072.0,-11298812.400000002
2900,114,6841.4,-257066.0,-11907733.300000003
3000,120,8516.699999999999,-268837.0,-12675085.700000005
3100,123,10307.3,-280919.0,-13616123.4
3200,99,6254.8,-292788.0,-14551000.099999996
3300,102,4804.3,-302559.0,-15049090.099999998
3400,116,5982.999999999999,-313410.0,-15587455.799999999
3500,131,7360.099999999999,-325846.0,-16253612.19999999
3600,147,8156.4,-339582.0,-17067324.499999985
3700,124,4658.400000000001,-352008.0,-17579855.19999999
3800,131,6039.200000000001,-364809.0,-18113509.899999976
3900,143,7614.500000000001,-378396.0,-18795523.999999963
4000,151,9415.600000000002,-393211.0,-19645913.69999997
4100,126,6227.6,-407874.0,-20501942.799999963
4200,129,7309.9,-420227.0,-21162052.49999995
4300,139,9005.8,-433702.0,-21976706.799999934
4400,145,10948.7,-447768.0,-22973873.8999999
4500,153,12254.400000000001,-462704.0,-24173075.79999991
4600,107,6670.6,-474859.0,-24982664.19999991
4700,118,8164.799999999999,-486225.0,-25723396.499999907
4800,126,9858.5,-498455.0,-26623634.099999916
4900,130,11735.400000000001,-511284.0,-27702721.599999886
5000,103,7141.700000000001,-523749.0,-28765744.39999988
5100,111,5594.6,-534041.0,-29328244.499999873
5200,124,6916.299999999999,-545887.0,-29952655.599999864
5300,138,8424.5,-558953.0,-30718590.79999987
5400,149,9397.9,-573324.0,-31647722.999999866
5500,110,4613.5,-585184.0,-32198187.899999868
5600,122,5975.3,-596891.0,-32726324.799999896
5700,131,7499.8,-609542.0,-33399377.199999895
5800,138,9191.5,-622949.0,-34233364.09999987
5900,115,5719.700000000001,-636565.0,-35064213.59999986
6000,128,5920.0,-648180.0,-35609428.79999987
6100,141,7399.700000000001,-661818.0,-36273907.699999884
6200,149,9072.8,-676213.0,-37097154.79999993
6300,155,10115.5,-691397.0,-38094626.599999905
6400,111,5718.4,-703668.0,-38737044.799999915
6500,120,7161.5,-715279.0,-39380088.79999987
6600,126,8797.8,-727524.0,-40177102.99999988
6700,130,10606.7,-740315.0,-41147446.49999988
6800,110,6496.900000000001,-753214.0,-42102018.899999924
6900,116,6735.799999999999,-764123.0,-42721385.39999991
7000,126,8272.1,-776018.0,-43471103.5999999
7100,141,10036.7,-789422.0,-44385313.09999988
7200,150,11240.3,-803930.0,-45487058.699999884
7300,116,4874.099999999999,-816050.0,-46158173.49999993
7400,118,5817.599999999999,-827910.0,-46682720.99999992
7500,127,7178.799999999999,-840193.0,-47332143.299999945
7600,137,8739.099999999999,-853379.0,-48126861.69999996
7700,128,5431.799999999999,-867237.0,-48912742.99999994
7800,145,6195.400000000001,-880805.0,-49469491.899999894
7900,153,7876.8,-895772.0,-50171597.89999987
8000,160,9812.7,-911476.0,-51054956.49999986
8100,163,11183.499999999998,-927570.0,-52143776.09999985
8200,115,6523.1,-940390.0,-52876010.59999984
8300,119,8194.9,-952101.0,-53610906.299999766
8400,126,10063.5,-964283.0,-54523090.09999979
8500,130,12133.5,-977113.0,-55632623.8999998
8600,108,8614.2,-989764.0,-56766830.79999978
8700,121,8392.5,-1000892.0,-57567585.09999975
8800,133,10137.300000000001,-1013653.0,-58493080.09999975
8900,138,12099.900000000001,-1027103.0,-59604345.399999745
9000,147,13447.900000000001,-1041229.0,-60920909.79999979
9100,116,5463.7,-1053544.0,-61739189.29999979
9200,124,6705.0,-1065717.0,-62339612.89999983
9300,130,8370.2,-1078296.0,-63092996.59999984
9400,142,10209.699999999999,-1091903.0,-64021335.99999985
9500,133,7013.400000000001,-1106325.0,-64966308.09999982
9600,142,7247.5,-1119775.0,-65640293.099999815
9700,147,9031.8,-1134091.0,-66453077.39999983
9800,149,11005.899999999998,-1148819.0,-67451957.09999985
9900,152,12406.5,-1163843.0,-68661929.39999992
