step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,6,16.1,-277.59999999999997
300,14,28.699999999999996,-3016.5
400,29,149.39999999999998,-10876.1
500,33,111.69999999999999,-20719.699999999983
600,38,197.29999999999998,-36307.499999999985
700,55,170.4,-51069.899999999965
800,62,226.1,-71588.39999999997
900,73,228.20000000000002,-95031.39999999989
1000,75,249.59999999999997,-118586.09999999998
1100,93,248.0,-144172.79999999996
1200,95,268.0,-172797.3999999999
1300,100,315.9,-200204.3
1400,117,293.1,-229973.80000000002
1500,118,323.9,-261039.60000000006
1600,140,371.5,-293484.8000000003
1700,139,327.29999999999995,-325496.6000000001
1800,136,304.3,-360135.9000000002
1900,143,327.70000000000005,-392041.50000000047
2000,145,327.79999999999995,-424557.0000000004
2100,149,307.8,-458187.30000000034
2200,152,330.99999999999994,-489425.90000000043
2300,158,316.79999999999995,-524668.0000000003
2400,160,370.4,-559419.2000000007
2500,162,379.20000000000005,-594301.1000000004
2600,157,373.4,-631799.9
2700,160,334.0,-667236.5000000003
2800,161,349.9,-703801.2
2900,169,356.1,-738955.1999999998
3000,160,399.1,-776235.4999999999
3100,173,348.2,-812848.0000000001
3200,165,347.50000000000006,-848767.8999999998
3300,169,370.0,-885024.0999999992
3400,171,365.9,-920538.4999999993
3500,164,353.3,-956932.5999999992
3600,171,361.7,-992368.8999999991
3700,172,331.5,-1027683.8999999986
3800,173,352.70000000000005,-1064779.9999999988
3900,173,327.1,-1099868.399999998
4000,172,366.6,-1135078.699999999
4100,176,346.2,-1171243.6999999995
4200,176,380.30000000000007,-1208246.2999999996
4300,180,352.2,-1244926.6
4400,173,370.1,-1280457.6999999988
4500,179,381.5,-1317065.199999998
4600,183,355.8,-1353518.6
4700,183,366.90000000000003,-1389587.6000000008
4800,179,352.8,-1426466.5000000002
4900,179,442.19999999999993,-1464247.3999999997
5000,188,322.40000000000003,-1501419.0000000002
5100,180,410.7,-1540752.8999999992
5200,182,340.4,-1581092.7999999993
5300,182,348.7,-1616357.3999999994
5400,186,405.7,-1653981.8999999994
5500,186,357.7,-1691406.1
5600,180,432.2,-1728432.8000000005
5700,191,344.5,-1766037.3000000003
5800,177,414.2,-1802941.4000000004
5900,187,326.5,-1839855.0000000012
6000,177,393.2,-1875787.7000000004
6100,189,333.8,-1912584.5000000002
6200,180,368.5,-1948216.1000000006
6300,179,337.2,-1984133.6000000006
6400,180,353.9,-2019003.0000000016
6500,182,352.2,-2054784.9000000015
6600,180,354.59999999999997,-2090451.4000000025
6700,185,333.8,-2125869.6000000034
6800,186,360.5,-2161693.100000002
6900,180,417.4,-2200027.1000000034
7000,189,333.20000000000005,-2236223.9000000046
7100,180,425.99999999999994,-2272708.5000000065
7200,190,351.3,-2309714.4000000064
7300,180,403.5,-2347832.200000006
7400,188,420.49999999999994,-2384803.600000008
7500,186,390.1,-2424418.3000000087
7600,185,372.2,-2462419.5000000093
7700,182,366.0,-2499789.800000011
7800,177,382.6,-2537147.6000000113
7900,185,360.1,-2574770.7000000095
8000,181,383.5,-2613160.80000001
8100,183,350.3,-2649935.50000001
8200,180,396.30000000000007,-2685433.1000000103
8300,190,371.7,-2722046.7000000114
8400,183,390.8,-2759861.100000012
8500,185,390.2,-2797251.800000014
8600,182,377.5,-2836208.2000000114
8700,183,351.4,-2873004.200000008
8800,188,373.99999999999994,-2911200.3000000096
8900,180,446.5,-2952447.5000000093
9000,189,361.3,-2992721.100000009
9100,180,371.4,-3029541.3000000096
9200,185,363.5,-3067036.300000008
9300,183,354.8,-3102049.9000000074
9400,182,342.40000000000003,-3138037.9000000083
9500,183,346.8,-3172878.4000000088
9600,179,377.5,-3209595.1000000094
9700,188,350.3,-3246160.80000001
9800,180,365.3,-3283483.8000000105
9900,184,321.8,-3319432.900000012
