step,queue,cum_queue
0,0,0.0
100,0,0.0
200,2,-80.0
300,14,-1141.0
400,32,-3367.0
500,44,-7023.0
600,39,-10789.0
700,41,-15071.0
800,47,-20308.0
900,54,-25572.0
1000,66,-31232.0
1100,61,-36799.0
1200,52,-42744.0
1300,51,-48310.0
1400,53,-54174.0
1500,67,-60262.0
1600,75,-66473.0
1700,65,-73213.0
1800,58,-79729.0
1900,59,-86542.0
2000,71,-93312.0
2100,98,-101369.0
2200,85,-109514.0
2300,72,-117312.0
2400,87,-125558.0
2500,97,-135679.0
2600,111,-146181.0
2700,94,-155614.0
2800,95,-164744.0
2900,96,-174681.0
3000,98,-184992.0
3100,104,-195355.0
3200,91,-205062.0
3300,83,-213547.0
3400,83,-221813.0
3500,99,-231605.0
3600,105,-242533.0
3700,95,-251598.0
3800,85,-259915.0
3900,99,-269304.0
4000,107,-280039.0
4100,116,-291784.0
4200,109,-301958.0
4300,93,-311141.0
4400,104,-320894.0
4500,112,-332170.0
4600,109,-344490.0
4700,107,-354701.0
4800,97,-364323.0
4900,103,-374295.0
5000,111,-385177.0
5100,118,-397453.0
5200,113,-408528.0
5300,103,-418855.0
5400,106,-429365.0
5500,113,-441155.0
5600,135,-453719.0
5700,120,-465526.0
5800,106,-476640.0
5900,106,-487182.0
6000,125,-498461.0
6100,128,-511098.0
6200,115,-522914.0
6300,110,-534069.0
6400,108,-544600.0
6500,127,-556088.0
6600,134,-569381.0
6700,120,-581700.0
6800,110,-593243.0
6900,109,-604409.0
7000,124,-616056.0
7100,147,-630026.0
7200,125,-642918.0
7300,115,-654854.0
7400,119,-666646.0
7500,124,-678582.0
7600,144,-692148.0
7700,126,-705522.0
7800,121,-718044.0
7900,129,-730601.0
8000,145,-743983.0
8100,157,-758540.0
8200,132,-772910.0
8300,129,-786134.0
8400,129,-798899.0
8500,139,-811834.0
8600,151,-826203.0
8700,146,-840661.0
8800,122,-854321.0
8900,123,-867306.0
9000,136,-880892.0
9100,156,-895425.0
9200,152,-910734.0
9300,121,-924145.0
9400,124,-937018.0
9500,133,-950302.0
9600,153,-964481.0
9700,144,-979843.0
9800,116,-992466.0
9900,118,-1004745.0
