step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,6,16.1,-277.59999999999997
300,15,29.7,-3043.399999999999
400,31,150.3,-10897.400000000003
500,34,113.1,-21279.100000000002
600,35,190.5,-37229.20000000002
700,55,163.0,-51615.1
800,63,221.6,-71718.3
900,71,204.7,-93973.20000000003
1000,78,261.1,-118114.80000000005
1100,95,274.9,-142859.30000000002
1200,95,257.8,-171545.50000000006
1300,100,321.2,-199477.30000000002
1400,120,269.4,-228562.40000000005
1500,117,335.3,-258962.40000000017
1600,135,299.1,-290793.10000000015
1700,133,321.4,-322550.90000000026
1800,139,288.6,-354806.9000000002
1900,140,320.2,-386392.1000000002
2000,147,317.8,-417692.4000000003
2100,148,302.09999999999997,-449616.9000000004
2200,150,399.80000000000007,-484548.8000000003
2300,154,295.6,-520259.3000000002
2400,157,367.5,-554585.3000000003
2500,160,347.5,-589146.5000000008
2600,159,381.69999999999993,-625443.5000000005
2700,167,314.1,-659704.6
2800,165,340.69999999999993,-694037.0
2900,164,378.6,-728831.2
3000,164,352.9,-763787.9000000005
3100,167,358.2,-799257.5000000008
3200,171,335.00000000000006,-834264.100000001
3300,169,339.79999999999995,-870423.4000000005
3400,172,356.40000000000003,-907469.1000000002
3500,170,365.1,-943851.5000000002
3600,174,327.99999999999994,-978275.7000000005
3700,171,364.7,-1013518.8999999998
3800,177,335.1,-1049458.1000000003
3900,173,383.90000000000003,-1085279.3000000003
4000,178,333.2,-1120085.4999999993
4100,175,364.5,-1154778.6999999995
4200,177,348.3,-1190503.3000000003
4300,172,369.3,-1225805.7000000004
4400,179,367.9,-1261112.7000000002
4500,181,339.2,-1296898.9999999995
4600,181,353.90000000000003,-1332621.0999999994
4700,181,347.6,-1368001.0
4800,176,351.6,-1403376.7000000011
4900,181,348.79999999999995,-1439542.6000000008
5000,185,365.3,-1476798.1000000013
5100,185,342.1,-1514214.9000000008
5200,182,403.2,-1550897.6000000006
5300,186,362.79999999999995,-1587954.2999999998
5400,186,378.69999999999993,-1624192.7999999998
5500,186,391.3,-1659896.3
5600,186,379.29999999999995,-1696285.1999999995
5700,185,376.1,-1733035.8999999992
5800,182,360.0,-1769275.5999999999
5900,185,378.0,-1807626.0000000002
6000,180,362.0,-1845286.4
6100,183,377.79999999999995,-1882811.1999999995
6200,183,421.2,-1921432.499999999
6300,186,420.4,-1960317.1000000003
6400,183,375.49999999999994,-1999418.9000000006
6500,181,379.20000000000005,-2037863.6999999988
6600,182,338.9000000000001,-2075119.3999999985
6700,182,374.0,-2112183.899999999
6800,187,376.59999999999997,-2149861.8999999966
6900,182,409.8,-2188302.2999999947
7000,187,364.7000000000001,-2225236.0999999973
7100,183,392.7,-2261600.1999999965
7200,186,399.7,-2298741.6999999993
7300,184,376.20000000000005,-2335501.399999998
7400,178,369.6,-2373866.0
7500,183,361.6,-2410295.3000000007
7600,184,356.4000000000001,-2446578.199999999
7700,183,366.0,-2483758.0000000005
7800,182,359.7,-2520844.6
7900,185,379.70000000000005,-2557603.1
8000,186,356.80000000000007,-2593914.1000000015
8100,183,402.9,-2631656.9000000013
8200,186,387.4,-2668879.6000000006
8300,181,364.09999999999997,-2706135.5999999996
8400,184,385.4,-2743180.399999996
8500,185,355.40000000000003,-2779903.2999999956
8600,182,366.90000000000003,-2817739.5999999954
8700,184,352.79999999999995,-2855585.199999997
8800,181,390.3,-2894311.4999999967
8900,186,373.3,-2932504.999999994
9000,183,400.69999999999993,-2969361.099999995
9100,186,401.0,-3007282.0999999954
9200,186,379.49999999999994,-3044291.2999999947
9300,182,392.09999999999997,-3082547.0999999936
9400,184,370.40000000000003,-3121016.2999999947
9500,183,368.6,-3158604.4999999963
9600,179,359.09999999999997,-3195611.9999999963
9700,186,380.3,-3233227.199999997
9800,183,417.70000000000005,-3270990.699999996
9900,183,385.6,-3308441.899999993
