step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,2,7.4,-80.0
300,14,37.3,-1134.0
400,31,178.6,-3342.0
500,44,500.79999999999995,-6990.0
600,39,523.5,-10704.0
700,40,354.7,-14941.0
800,47,445.7,-20076.0
900,49,422.40000000000003,-25312.0
1000,68,824.1999999999999,-31134.0
1100,62,856.9,-36682.0
1200,54,592.9000000000001,-42656.0
1300,54,642.8,-48357.0
1400,54,476.7,-54434.0
1500,69,556.0,-60745.0
1600,78,1067.0,-67098.0
1700,67,823.6,-73946.0
1800,61,756.9000000000001,-80591.0
1900,58,581.0,-87500.0
2000,75,640.0,-94422.0
2100,96,1082.7,-102554.0
2200,85,1060.3999999999999,-110689.0
2300,74,986.4,-118661.0
2400,87,739.8000000000001,-127058.0
2500,98,1079.2,-137037.0
2600,110,1307.5,-147389.0
2700,95,1668.8,-156567.0
2800,94,1188.6,-165562.0
2900,96,1037.7,-175493.0
3000,98,1208.1999999999998,-185745.0
3100,97,1254.1000000000001,-195963.0
3200,95,1704.9,-204872.0
3300,87,1338.2,-213187.0
3400,88,896.8000000000001,-222024.0
3500,96,1348.1000000000001,-231801.0
3600,119,1929.4,-243020.0
3700,90,2055.9,-252385.0
3800,82,1073.1,-260968.0
3900,97,888.0000000000001,-270322.0
4000,116,1420.6000000000001,-280951.0
4100,124,2090.0,-292334.0
4200,103,2075.0,-303191.0
4300,90,1152.3,-313233.0
4400,103,1114.0,-323101.0
4500,110,1462.0,-334042.0
4600,124,2204.6000000000004,-345665.0
4700,106,2203.0,-356700.0
4800,92,1581.6,-367437.0
4900,109,2236.3,-377062.0
5000,107,1400.8,-386879.0
5100,123,1868.7000000000003,-398303.0
5200,122,2538.1999999999994,-411422.0
5300,109,2467.7,-422272.0
5400,96,1831.9,-431761.0
5500,93,905.3000000000001,-441857.0
5600,117,1316.8,-453241.0
5700,140,2755.4999999999995,-466226.0
5800,109,2489.5,-477643.0
5900,92,1733.3,-488338.0
6000,108,1804.9,-498360.0
6100,120,1332.4,-509154.0
6200,130,2204.7999999999997,-521458.0
6300,113,1951.8000000000002,-534057.0
6400,110,1710.0,-545644.0
6500,109,1701.1000000000001,-556390.0
6600,119,1426.3000000000002,-567302.0
6700,140,2292.4000000000005,-580104.0
6800,117,2102.4,-593528.0
6900,109,1787.5,-605395.0
7000,115,2033.8999999999996,-616270.0
7100,121,1592.8000000000002,-627407.0
7200,136,2462.5,-639848.0
7300,117,2092.9,-653553.0
7400,108,1618.6,-665077.0
7500,119,2833.9,-676292.0
7600,103,1739.3999999999999,-687437.0
7700,139,2064.0000000000005,-699577.0
7800,151,3293.1,-714088.0
7900,132,2669.8,-727088.0
8000,127,2835.1,-740020.0
8100,128,2621.3,-753214.0
8200,143,2043.8,-767204.0
8300,151,3214.5,-781434.0
8400,136,2838.3,-795226.0
8500,127,2841.8,-809100.0
8600,134,2898.4,-822606.0
8700,144,2461.8,-836241.0
8800,148,2764.5,-851164.0
8900,141,2535.0,-865320.0
9000,134,2492.4,-879094.0
9100,141,2377.4,-893420.0
9200,153,2361.5,-907788.0
9300,159,3041.7000000000003,-923695.0
9400,150,2980.8,-938125.0
9500,130,2970.7,-952144.0
9600,131,2571.9,-965732.0
9700,152,2581.7999999999997,-980279.0
9800,153,3020.7,-996077.0
9900,141,3407.6,-1010218.0
