step,min_ttc
0,50.0
100,50.0
200,50.0
300,50.0
400,50.0
500,50.0
600,50.0
700,50.0
800,50.0
900,50.0
1000,10.048121607645687
1100,1.4935204686237724
1200,2.7815750666141676
1300,50.0
1400,50.0
1500,50.0
1600,50.0
1700,50.0
1800,50.0
1900,50.0
2000,50.0
2100,50.0
2200,50.0
2300,50.0
2400,50.0
2500,50.0
2600,50.0
2700,50.0
2800,7.868456310481273
2900,1.0820865308239465
3000,13.07424371134179
3100,50.0
3200,14.587996284319354
3300,2.036807992887991
3400,1.2291442410657278
3500,50.0
3600,50.0
3700,50.0
3800,50.0
3900,50.0
4000,15.160076956449458
4100,2.0309040356363246
4200,1.267543813258935
4300,50.0
4400,50.0
4500,4.976157327959145
4600,50.0
4700,50.0
4800,50.0
4900,50.0
5000,50.0
5100,50.0
5200,50.0
5300,50.0
5400,5.087793782668271
5500,0.9079855006406875
5600,50.0
5700,50.0
5800,10.638228418848966
5900,14.024618539282812
6000,1.8353171697370076
6100,1.5566307488000999
6200,50.0
6300,50.0
6400,50.0
6500,13.874696541662141
6600,1.8295187785955074
6700,1.4952945418861665
6800,50.0
6900,50.0
7000,20.264359113571146
7100,50.0
7200,50.0
7300,50.0
7400,50.0
7500,9.740811321170883
7600,1.454849322956393
7700,3.7914642072619746
7800,0.9303829385926067
7900,0.9196581452693899
8000,1.481825102758737
8100,50.0
8200,16.643294448439185
8300,2.1862593521591775
8400,1.1475264703119594
8500,1.2528708744473511
8600,50.0
8700,50.0
8800,50.0
8900,50.0
9000,50.0
9100,50.0
9200,50.0
9300,27.816285323692078
9400,3.3389165390974114
9500,50.0
9600,50.0
9700,50.0
9800,50.0
9900,50.0
