step,queue,delay,cum_queue,cum_delay
0,0,0.0,0.0,0.0
100,0,0.0,0.0,0.0
200,0,0.0,0.0,0.0
300,1,7.9,-82.0,-316.0
400,1,17.9,-182.0,-1611.0000000000002
500,3,39.6,-405.0,-4296.1
600,4,76.80000000000001,-780.0,-10033.9
700,4,116.80000000000001,-1180.0,-19733.9
800,5,158.79999999999998,-1603.0,-33454.9
900,5,160.9,-2103.0,-51812.00000000029
1000,6,209.7,-2601.0,-70172.90000000023
1100,7,277.9,-3286.0,-94513.20000000022
1200,8,353.0,-4065.0,-125970.80000000022
1300,8,433.0,-4865.0,-165310.80000000022
1400,4,152.10000000000002,-5482.0,-194754.90000000023
1500,5,196.7,-5930.0,-212093.00000000076
1600,6,253.8,-6504.0,-234543.60000000108
1700,6,313.79999999999995,-7104.0,-262953.6000000011
1800,6,186.39999999999998,-7704.0,-297176.2000000011
1900,2,141.3,-7926.0,-310446.7000000011
2000,2,161.3,-8126.0,-325586.7000000011
2100,3,181.70000000000002,-8333.0,-342727.7000000011
2200,5,221.1,-8733.0,-362734.4000000007
2300,2,38.2,-9095.0,-375873.9999999996
2400,3,59.599999999999994,-9312.0,-380714.4999999996
2500,4,95.6,-9675.0,-388372.4999999996
2600,4,135.6,-10075.0,-399952.4999999996
2700,4,86.4,-10475.0,-415443.29999999964
2800,3,106.60000000000001,-10688.0,-425093.59999999957
2900,4,141.60000000000002,-11041.0,-437396.09999999957
3000,5,188.60000000000002,-11538.0,-453824.59999999794
3100,5,238.6,-12038.0,-475209.5999999956
3200,4,150.60000000000002,-12523.0,-494711.699999995
3300,6,207.8,-13101.0,-512547.9999999946
3400,7,271.20000000000005,-13762.0,-536417.4999999946
3500,8,345.40000000000003,-14506.0,-567162.7999999947
3600,10,146.5,-15385.0,-605609.0999999936
3700,3,86.1,-15725.0,-612915.4999999936
3800,3,116.1,-16025.0,-623040.4999999936
3900,4,147.8,-16345.0,-636180.7999999936
4000,4,187.8,-16745.0,-652980.7999999936
4100,3,117.6,-17066.0,-668370.0999999936
4200,7,164.9,-17573.0,-682225.1999999936
4300,7,228.2,-18250.0,-701633.2999999935
4400,7,298.2,-18950.0,-727988.2999999935
4500,7,144.8,-19650.0,-761119.8999999936
4600,5,187.3,-20090.0,-777652.3999999948
4700,6,245.40000000000003,-20674.0,-799239.4999999957
4800,6,305.40000000000003,-21274.0,-826809.4999999957
4900,6,365.40000000000003,-21874.0,-860379.4999999957
5000,4,212.6,-22346.0,-889450.6999999956
5100,4,252.6,-22746.0,-912730.6999999956
5200,6,304.29999999999995,-23269.0,-940358.7999999956
5300,6,364.29999999999995,-23869.0,-973818.7999999956
5400,6,170.4,-24469.0,-1013024.8999999956
5500,6,214.6,-24947.0,-1032175.1999999946
5600,7,283.79999999999995,-25644.0,-1057091.7999999947
5700,8,356.69999999999993,-26376.0,-1089050.2999999947
5800,9,438.09999999999997,-27193.0,-1128770.7999999947
5900,4,192.99999999999997,-27863.0,-1160786.9999999946
6000,4,232.99999999999997,-28263.0,-1182106.9999999946
6100,6,282.3,-28786.0,-1207650.899999994
6200,6,342.3,-29386.0,-1238910.899999994
6300,6,155.9,-29986.0,-1275924.499999994
6400,4,168.3,-30373.0,-1290882.499999994
6500,5,216.10000000000002,-30854.0,-1310040.6000000013
6600,5,266.1,-31354.0,-1334175.6000000106
6700,7,329.6,-32019.0,-1363848.600000011
6800,3,178.0,-32542.0,-1389579.3000000108
6900,4,213.8,-32903.0,-1409065.4000000108
7000,4,253.8,-33303.0,-1432465.4000000108
7100,6,304.70000000000005,-33818.0,-1460223.1000000152
7200,6,66.7,-34418.0,-1493425.1000000152
7300,4,100.0,-34766.0,-1501666.2000000153
7400,4,140.0,-35166.0,-1513686.2000000153
7500,5,187.40000000000003,-35643.0,-1529983.7000000083
7600,6,240.89999999999998,-36180.0,-1551311.7000000023
7700,5,237.8,-36776.0,-1575342.1000000047
7800,8,300.20000000000005,-37432.0,-1602059.8000000052
7900,12,389.5,-38386.0,-1636317.6000000064
8000,12,509.5,-39586.0,-1681327.6000000064
8100,13,401.29999999999995,-40843.0,-1738252.5000000065
8200,10,480.2,-41862.0,-1781365.0000000019
8300,10,580.2,-42862.0,-1834434.9999999972
8400,13,691.0,-44003.0,-1897713.8999999948
8500,15,834.9,-45472.0,-1973896.0999999898
8600,6,260.4,-46673.0,-2029728.7999999884
8700,6,320.4,-47273.0,-2058798.7999999884
8800,7,386.2,-47933.0,-2094039.8999999885
8900,7,456.2,-48633.0,-2136194.8999999887
9000,7,147.5,-49333.0,-2184971.1999999885
9100,3,177.5,-49650.0,-2201236.1999999885
9200,4,216.89999999999998,-50047.0,-2220947.6999999885
9300,4,256.9,-50447.0,-2244657.6999999885
9400,4,296.9,-50847.0,-2272367.6999999885
9500,1,75.8,-51109.0,-2291144.0999999885
9600,1,85.8,-51209.0,-2299229.0999999885
9700,4,108.0,-51439.0,-2308686.4999999884
9800,5,154.7,-51909.0,-2321734.3000000007
9900,5,62.699999999999996,-52409.0,-2339587.3000000194
