step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,-132.6
400,0,0.0,-132.6
500,0,0.0,-185.39999999999998
600,1,7.1,-460.0
700,0,0.0,-467.2
800,0,0.0,-467.2
900,0,0.0,-467.2
1000,1,6.7,-695.0000000000001
1100,0,0.0,-799.3000000000001
1200,1,1.5,-841.3000000000001
1300,1,0.0,-1450.9
1400,1,4.5,-1554.4
1500,1,4.6,-2105.0
1600,0,0.0,-2316.5
1700,1,0.1,-2316.6
1800,0,0.0,-2692.7
1900,0,0.0,-2692.7
2000,0,0.0,-2706.2999999999997
2100,0,0.0,-2706.2999999999997
2200,0,0.0,-2940.8999999999996
2300,0,0.0,-2947.4999999999995
2400,0,0.0,-2947.4999999999995
2500,0,0.0,-2947.4999999999995
2600,0,0.0,-2947.4999999999995
2700,0,0.0,-2947.4999999999995
2800,0,0.0,-2947.4999999999995
2900,1,0.1,-3033.6999999999994
3000,0,0.0,-3089.6999999999994
3100,0,0.0,-3089.6999999999994
3200,0,0.0,-3089.6999999999994
3300,1,0.0,-3573.5999999999995
3400,0,0.0,-3573.5999999999995
3500,2,2.8,-3700.2999999999997
3600,1,2.4,-4272.999999999998
3700,0,0.0,-4599.999999999998
3800,0,0.0,-4599.999999999998
3900,1,1.5,-4611.999999999998
4000,1,0.8,-4888.5999999999985
4100,1,1.0,-5318.299999999998
4200,2,11.1,-6116.599999999999
4300,1,1.6,-7080.599999999999
4400,1,3.4,-7662.0999999999985
4500,0,0.0,-8418.199999999999
4600,2,5.5,-8497.199999999999
4700,0,0.0,-9073.0
4800,0,0.0,-9073.0
4900,1,5.2,-9210.800000000001
5000,0,0.0,-9661.6
5100,0,0.0,-9661.6
5200,0,0.0,-9661.6
5300,0,0.0,-9661.6
5400,0,0.0,-9661.6
5500,1,2.1,-9684.7
5600,1,12.1,-10559.300000000001
5700,0,0.0,-10659.7
5800,2,7.1,-10839.900000000001
5900,2,3.7,-11663.1
6000,0,0.0,-11687.9
6100,1,5.2,-11825.7
6200,0,0.0,-12533.2
6300,0,0.0,-12533.2
6400,1,2.4,-12711.7
6500,1,4.7,-12943.000000000002
6600,1,1.6,-13204.400000000001
6700,1,0.4,-13614.9
6800,0,0.0,-13773.5
6900,0,0.0,-13773.5
7000,0,0.0,-13796.6
7100,2,3.2,-14119.5
7200,0,0.0,-14655.3
7300,3,12.8,-15082.4
7400,0,0.0,-15718.4
7500,0,0.0,-15817.4
7600,1,3.5,-15880.4
7700,2,17.0,-17148.800000000003
7800,2,12.600000000000001,-17932.300000000003
7900,2,9.9,-18776.200000000004
8000,3,14.9,-20054.300000000003
8100,0,0.0,-20219.000000000004
8200,0,0.0,-20327.100000000002
8300,1,1.3,-20336.2
8400,4,25.2,-21322.7
8500,0,0.0,-21978.100000000002
8600,3,9.0,-22431.100000000002
8700,0,0.0,-22689.900000000005
8800,1,6.2,-22885.200000000004
8900,0,0.0,-23013.900000000005
9000,0,0.0,-23013.900000000005
9100,0,0.0,-23013.900000000005
9200,0,0.0,-23013.900000000005
9300,0,0.0,-23013.900000000005
9400,0,0.0,-23013.900000000005
9500,0,0.0,-23013.900000000005
9600,0,0.0,-23013.900000000005
9700,2,6.3,-23215.500000000004
9800,0,0.0,-23615.000000000004
9900,0,0.0,-23615.000000000004
