step,min_ttc
0,50.0
100,50.0
200,50.0
300,50.0
400,50.0
500,50.0
600,50.0
700,50.0
800,50.0
900,50.0
1000,50.0
1100,50.0
1200,50.0
1300,50.0
1400,50.0
1500,50.0
1600,50.0
1700,50.0
1800,50.0
1900,50.0
2000,50.0
2100,50.0
2200,50.0
2300,50.0
2400,50.0
2500,50.0
2600,50.0
2700,50.0
2800,7.868456310481273
2900,50.0
3000,50.0
3100,50.0
3200,50.0
3300,50.0
3400,50.0
3500,50.0
3600,50.0
3700,50.0
3800,50.0
3900,50.0
4000,9.378859293104073
4100,1.3894008234606565
4200,3.762334593832056
4300,3.3190302419766247
4400,50.0
4500,50.0
4600,1.55031019836529
4700,50.0
4800,50.0
4900,50.0
5000,50.0
5100,50.0
5200,50.0
5300,50.0
5400,5.059294287426694
5500,50.0
5600,50.0
5700,50.0
5800,50.0
5900,50.0
6000,50.0
6100,50.0
6200,50.0
6300,50.0
6400,12.795322583395397
6500,3.3373387228484765
6600,3.0917179472291934
6700,1.004000034445
6800,50.0
6900,50.0
7000,50.0
7100,6.863393697219179
7200,50.0
7300,50.0
7400,1.017109290177759
7500,26.679282639493124
7600,50.0
7700,19.20514080254418
7800,3.771046049513684
7900,0.9337230552621882
8000,50.0
8100,8.994698418610973
8200,50.0
8300,50.0
8400,50.0
8500,50.0
8600,1.596609915641376
8700,50.0
8800,50.0
8900,50.0
9000,50.0
9100,50.0
9200,50.0
9300,50.0
9400,50.0
9500,50.0
9600,50.0
9700,50.0
9800,50.0
9900,50.0
