step,queue,cum_queue
0,0,0.0
100,0,0.0
200,0,0.0
300,0,-62.0
400,0,-62.0
500,2,-185.0
600,3,-475.0
700,2,-715.0
800,0,-849.0
900,1,-916.0
1000,2,-1085.0
1100,2,-1274.0
1200,3,-1545.0
1300,3,-1845.0
1400,0,-2055.0
1500,0,-2092.0
1600,4,-2243.0
1700,5,-2671.0
1800,3,-3035.0
1900,0,-3204.0
2000,0,-3204.0
2100,1,-3211.0
2200,2,-3329.0
2300,2,-3459.0
2400,3,-3676.0
2500,2,-3935.0
2600,0,-4092.0
2700,0,-4092.0
2800,2,-4127.0
2900,2,-4305.0
3000,2,-4505.0
3100,1,-4672.0
3200,1,-4832.0
3300,3,-5110.0
3400,2,-5250.0
3500,3,-5426.0
3600,3,-5756.0
3700,2,-6027.0
3800,1,-6270.0
3900,2,-6389.0
4000,2,-6514.0
4100,2,-6661.0
4200,3,-6949.0
4300,2,-7236.0
4400,3,-7459.0
4500,3,-7698.0
4600,2,-7874.0
4700,2,-8111.0
4800,2,-8383.0
4900,2,-8623.0
5000,2,-8823.0
5100,0,-8855.0
5200,1,-8916.0
5300,2,-9103.0
5400,1,-9273.0
5500,0,-9363.0
5600,0,-9363.0
5700,1,-9407.0
5800,2,-9524.0
5900,3,-9764.0
6000,2,-10005.0
6100,3,-10195.0
6200,2,-10477.0
6300,2,-10658.0
6400,2,-10852.0
6500,1,-11048.0
6600,3,-11267.0
6700,3,-11577.0
6800,1,-11749.0
6900,2,-11998.0
7000,0,-12142.0
7100,1,-12249.0
7200,0,-12279.0
7300,2,-12350.0
7400,3,-12682.0
7500,2,-12915.0
7600,1,-13115.0
7700,2,-13305.0
7800,4,-13589.0
7900,5,-13975.0
8000,5,-14435.0
8100,2,-14837.0
8200,2,-15037.0
8300,3,-15252.0
8400,3,-15614.0
8500,4,-16000.0
8600,6,-16629.0
8700,3,-17063.0
8800,1,-17253.0
8900,2,-17501.0
9000,0,-17567.0
9100,0,-17567.0
9200,1,-17665.0
9300,1,-17765.0
9400,0,-17769.0
9500,1,-17817.0
9600,1,-17917.0
9700,2,-18068.0
9800,3,-18339.0
9900,1,-18415.0
