step,min_ttc
0,50.0
100,50.0
200,50.0
300,50.0
400,50.0
500,50.0
600,50.0
700,50.0
800,50.0
900,50.0
1000,50.0
1100,50.0
1200,50.0
1300,50.0
1400,50.0
1500,50.0
1600,50.0
1700,50.0
1800,50.0
1900,50.0
2000,50.0
2100,50.0
2200,50.0
2300,50.0
2400,50.0
2500,50.0
2600,50.0
2700,50.0
2800,7.881130574594343
2900,50.0
3000,50.0
3100,50.0
3200,50.0
3300,50.0
3400,50.0
3500,50.0
3600,50.0
3700,50.0
3800,50.0
3900,50.0
4000,9.247708466621946
4100,50.0
4200,50.0
4300,50.0
4400,50.0
4500,50.0
4600,50.0
4700,50.0
4800,50.0
4900,50.0
5000,50.0
5100,50.0
5200,50.0
5300,50.0
5400,50.0
5500,50.0
5600,50.0
5700,50.0
5800,50.0
5900,50.0
6000,50.0
6100,50.0
6200,50.0
6300,50.0
6400,50.0
6500,27.93858227252194
6600,2.1558274184101265
6700,50.0
6800,50.0
6900,50.0
7000,50.0
7100,7.60428420092442
7200,50.0
7300,19.73196902484586
7400,50.0
7500,50.0
7600,50.0
7700,50.0
7800,50.0
7900,35.34789926459199
8000,50.0
8100,50.0
8200,50.0
8300,50.0
8400,50.0
8500,50.0
8600,50.0
8700,50.0
8800,50.0
8900,50.0
9000,50.0
9100,50.0
9200,50.0
9300,50.0
9400,50.0
9500,50.0
9600,50.0
9700,50.0
9800,50.0
9900,18.321759515456236
