step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,-122.5
400,0,0.0,-122.5
500,0,0.0,-172.1
600,1,7.1,-439.7
700,0,0.0,-446.9
800,0,0.0,-446.9
900,0,0.0,-446.9
1000,1,6.7,-675.0
1100,0,0.0,-812.6999999999999
1200,1,1.1,-859.9
1300,1,11.1,-1474.9
1400,1,3.8,-1690.0
1500,1,4.6,-2368.1
1600,2,7.9,-2740.7999999999997
1700,0,0.0,-2757.2
1800,1,8.7,-3160.9999999999995
1900,0,0.0,-3234.2
2000,0,0.0,-3283.7999999999997
2100,0,0.0,-3283.7999999999997
2200,1,7.8,-3591.8999999999996
2300,1,1.8,-3795.8999999999996
2400,0,0.0,-3804.6999999999994
2500,1,7.2,-4067.499999999999
2600,0,0.0,-4494.999999999999
2700,0,0.0,-4494.999999999999
2800,1,0.3,-4495.599999999999
2900,2,5.0,-4625.299999999999
3000,0,0.0,-5281.899999999999
3100,0,0.0,-5281.899999999999
3200,0,0.0,-5304.999999999999
3300,1,7.7,-5605.299999999999
3400,1,2.3,-6032.8
3500,0,0.0,-6337.3
3600,1,2.4,-6367.3
3700,2,9.4,-6825.7
3800,0,0.0,-7311.3
3900,0,0.0,-7311.3
4000,1,0.8,-7314.900000000001
4100,0,0.0,-7332.6
4200,3,15.2,-7940.400000000001
4300,1,0.0,-8594.800000000001
4400,0,0.0,-8594.800000000001
4500,0,0.0,-8796.400000000001
4600,1,2.5,-8828.900000000001
4700,0,0.0,-8859.400000000001
4800,1,4.2,-8949.700000000003
4900,1,5.1,-9219.800000000003
5000,0,0.0,-9720.000000000004
5100,0,0.0,-9720.000000000004
5200,0,0.0,-9778.200000000004
5300,0,0.0,-9778.200000000004
5400,0,0.0,-9778.200000000004
5500,2,4.3,-9872.800000000005
5600,1,3.4,-10131.100000000006
5700,3,19.9,-11085.600000000006
5800,1,1.4,-11806.300000000007
5900,0,0.0,-12065.900000000007
6000,2,10.600000000000001,-12396.200000000008
6100,1,5.2,-13278.00000000001
6200,0,0.0,-13381.700000000008
6300,0,0.0,-13381.700000000008
6400,1,2.3,-13434.60000000001
6500,1,7.7,-13834.80000000001
6600,2,4.6,-14234.20000000001
6700,1,0.4,-14930.60000000001
6800,0,0.0,-15118.70000000001
6900,0,0.0,-15118.70000000001
7000,0,0.0,-15217.70000000001
7100,1,7.8,-15525.80000000001
7200,1,1.0,-15547.20000000001
7300,2,3.4000000000000004,-15644.40000000001
7400,1,0.0,-16451.90000000001
7500,1,9.9,-17084.70000000001
7600,0,0.0,-17310.80000000001
7700,0,0.0,-17360.40000000001
7800,2,12.7,-17816.200000000008
7900,4,11.2,-18237.70000000001
8000,0,0.0,-19173.20000000001
8100,1,3.2,-19226.00000000001
8200,0,0.0,-19547.30000000001
8300,1,1.3,-19556.40000000001
8400,3,7.800000000000001,-20153.10000000001
8500,0,0.0,-20893.70000000001
8600,1,8.3,-21437.60000000001
8700,1,3.2,-21490.40000000001
8800,0,0.0,-22037.10000000001
8900,0,0.0,-22037.10000000001
9000,0,0.0,-22037.10000000001
9100,0,0.0,-22037.10000000001
9200,1,9.4,-22483.60000000001
9300,0,0.0,-22692.60000000001
9400,0,0.0,-22692.60000000001
9500,1,4.5,-22796.10000000001
9600,0,0.0,-23406.60000000001
9700,2,6.2,-23601.90000000001
9800,0,0.0,-23830.300000000007
9900,0,0.0,-23830.300000000007
