step,min_ttc
0,50.0
100,50.0
200,50.0
300,50.0
400,50.0
500,50.0
600,50.0
700,50.0
800,50.0
900,50.0
1000,50.0
1100,50.0
1200,50.0
1300,50.0
1400,50.0
1500,50.0
1600,50.0
1700,50.0
1800,50.0
1900,50.0
2000,50.0
2100,50.0
2200,50.0
2300,50.0
2400,50.0
2500,50.0
2600,50.0
2700,50.0
2800,7.868456310481273
2900,50.0
3000,50.0
3100,50.0
3200,50.0
3300,50.0
3400,50.0
3500,50.0
3600,50.0
3700,50.0
3800,10.14295855859373
3900,4.604224008551694
4000,9.256604961459571
4100,1.3557263094440073
4200,3.953786314060516
4300,19.036775772718066
4400,2.7678798838892336
4500,50.0
4600,50.0
4700,50.0
4800,50.0
4900,50.0
5000,50.0
5100,50.0
5200,50.0
5300,50.0
5400,50.0
5500,0.9068027891330217
5600,9.060957673664538
5700,50.0
5800,50.0
5900,50.0
6000,50.0
6100,50.0
6200,50.0
6300,15.919956955093594
6400,12.841834643933499
6500,1.796659054562203
6600,1.6166374568476827
6700,50.0
6800,2.347271741218308
6900,1.0829301014787813
7000,20.497428253552197
7100,6.904161400474529
7200,0.9883635548953356
7300,32.691961172614576
7400,50.0
7500,50.0
7600,22.15854375321358
7700,44.69616601687683
7800,5.229327096032513
7900,50.0
8000,50.0
8100,50.0
8200,50.0
8300,50.0
8400,50.0
8500,50.0
8600,50.0
8700,50.0
8800,50.0
8900,50.0
9000,50.0
9100,50.0
9200,50.0
9300,50.0
9400,50.0
9500,50.0
9600,50.0
9700,50.0
9800,50.0
9900,17.82698002114569
