step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,-60.0
400,0,0.0,-60.0
500,2,11.7,-183.0
600,3,38.8,-471.0
700,2,40.900000000000006,-709.0
800,0,0.0,-827.0
900,1,6.6,-896.0
1000,2,16.6,-1066.0
1100,2,34.8,-1253.0
1200,3,31.9,-1517.0
1300,3,61.900000000000006,-1817.0
1400,0,0.0,-2009.0
1500,0,0.0,-2041.0
1600,4,15.2,-2205.0
1700,5,58.2,-2638.0
1800,3,60.3,-2986.0
1900,0,0.0,-3148.0
2000,0,0.0,-3148.0
2100,1,0.3,-3155.0
2200,2,11.8,-3273.0
2300,2,12.8,-3395.0
2400,3,34.199999999999996,-3612.0
2500,2,32.7,-3869.0
2600,0,0.0,-4045.0
2700,0,0.0,-4045.0
2800,2,1.1,-4062.0
2900,2,15.9,-4234.0
3000,2,35.9,-4434.0
3100,1,25.0,-4594.0
3200,2,42.4,-4771.0
3300,3,34.599999999999994,-5063.0
3400,2,21.8,-5241.0
3500,2,16.5,-5458.0
3600,5,53.5,-5837.0
3700,3,66.9,-6171.0
3800,2,54.6,-6398.0
3900,2,10.2,-6628.0
4000,2,19.3,-6816.0
4100,3,11.799999999999999,-7030.0
4200,5,41.099999999999994,-7356.0
4300,4,61.300000000000004,-7796.0
4400,2,35.1,-8114.0
4500,3,57.599999999999994,-8385.0
4600,5,54.3,-8713.0
4700,3,35.699999999999996,-9061.0
4800,2,43.099999999999994,-9355.0
4900,4,74.1,-9671.0
5000,3,69.2,-10011.0
5100,2,51.0,-10250.0
5200,0,0.0,-10417.0
5300,0,0.0,-10417.0
5400,1,1.7,-10437.0
5500,3,16.0,-10608.0
5600,4,55.0,-11004.0
5700,2,34.7,-11202.0
5800,2,14.4,-11376.0
5900,2,15.100000000000001,-11593.0
6000,4,45.7,-11904.0
6100,5,69.6,-12298.0
6200,1,15.1,-12624.0
6300,3,36.900000000000006,-12847.0
6400,4,73.4,-13215.0
6500,3,68.3,-13579.0
6600,3,48.1,-13967.0
6700,6,95.2,-14447.0
6800,5,102.2,-14952.0
6900,5,115.20000000000002,-15408.0
7000,3,87.60000000000001,-15752.0
7100,2,24.0,-15980.0
7200,5,25.699999999999996,-16315.0
7300,5,69.0,-16751.0
7400,2,34.2,-17172.0
7500,3,61.5,-17448.0
7600,1,17.3,-17594.0
7700,2,8.299999999999999,-17812.0
7800,3,30.799999999999997,-18199.0
7900,6,72.5,-18624.0
8000,5,84.8,-19127.0
8100,3,44.2,-19518.0
8200,4,82.2,-19901.0
8300,4,77.8,-20239.0
8400,4,51.5,-20699.0
8500,4,61.70000000000001,-21136.0
8600,6,100.89999999999999,-21796.0
8700,4,83.49999999999999,-22246.0
8800,1,28.1,-22499.0
8900,2,17.299999999999997,-22758.0
9000,0,0.0,-22947.0
9100,0,0.0,-22947.0
9200,1,9.5,-23045.0
9300,1,19.5,-23145.0
9400,1,29.5,-23245.0
9500,0,0.0,-23254.0
9600,0,0.0,-23254.0
9700,2,6.3,-23323.0
9800,2,17.0,-23530.0
9900,0,0.0,-23646.0
