step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,3,3.7,-88.39999999999999
300,4,17.4,-1663.0000000000011
400,5,20.900000000000002,-3927.6000000000076
500,5,28.4,-6585.399999999996
600,12,33.599999999999994,-8670.999999999985
700,8,26.200000000000003,-13413.699999999988
800,18,95.7,-18156.39999999999
900,12,19.799999999999997,-24482.59999999999
1000,15,84.1,-30594.39999999999
1100,16,45.3,-36103.5
1200,13,65.2,-42810.50000000003
1300,13,62.400000000000006,-49982.10000000003
1400,10,55.4,-55402.900000000045
1500,11,61.599999999999994,-61678.50000000002
1600,10,48.49999999999999,-67862.4
1700,11,70.0,-72924.40000000007
1800,14,23.6,-78251.10000000005
1900,12,64.6,-83418.90000000008
2000,15,60.4,-89647.60000000008
2100,11,60.099999999999994,-95387.70000000022
2200,12,55.099999999999994,-100075.90000000018
2300,8,30.0,-106780.9000000002
2400,14,63.300000000000004,-111273.50000000022
2500,16,45.4,-118343.70000000016
2600,16,85.20000000000002,-124711.90000000021
2700,14,51.4,-132105.40000000023
2800,14,65.8,-139594.30000000028
2900,19,75.7,-143678.50000000015
3000,14,13.2,-150306.09999999992
3100,13,98.8,-156116.19999999975
3200,10,35.9,-161261.39999999976
3300,8,60.8,-168099.99999999962
3400,12,56.9,-172032.69999999963
3500,12,35.6,-178693.59999999957
3600,14,88.69999999999999,-185423.7999999996
3700,12,49.1,-191161.0999999996
3800,9,37.6,-197548.5999999996
3900,17,66.79999999999998,-203175.29999999964
4000,10,30.4,-209444.0999999995
4100,13,87.3,-215451.79999999958
4200,11,48.1,-220735.29999999946
4300,7,46.5,-226937.59999999934
4400,15,48.599999999999994,-231495.19999999934
4500,14,77.10000000000001,-237607.89999999976
4600,15,38.2,-243753.99999999962
4700,13,58.599999999999994,-249008.29999999958
4800,12,49.6,-253918.7999999996
4900,12,33.699999999999996,-259566.7999999995
5000,17,99.39999999999999,-265296.6999999998
5100,13,46.400000000000006,-272106.19999999966
5200,9,56.3,-278054.1999999996
5300,13,28.599999999999998,-281880.8999999996
5400,12,60.1,-287181.6999999996
5500,12,56.3,-292372.1999999998
5600,11,37.6,-296585.79999999976
5700,12,72.10000000000001,-302768.4000000001
5800,12,53.699999999999996,-306396.8000000002
5900,14,64.39999999999999,-313165.80000000034
6000,16,38.99999999999999,-318791.4000000001
6100,16,82.2,-324192.2000000001
6200,14,42.599999999999994,-331343.80000000016
6300,12,59.199999999999996,-338314.0000000002
6400,17,77.1,-344788.70000000024
6500,18,67.8,-352688.3999999999
6600,19,79.4,-361795.4
6700,23,104.4,-370809.30000000005
6800,25,110.3,-382481.79999999993
6900,25,116.6,-392964.6999999999
7000,27,72.80000000000001,-404953.7
7100,26,143.0,-415627.49999999994
7200,30,118.69999999999999,-428455.2000000004
7300,27,155.7,-439755.60000000056
7400,27,119.89999999999999,-451661.40000000066
7500,30,109.50000000000001,-464104.3000000007
7600,31,149.4,-473948.5000000011
7700,37,157.5,-487989.5000000013
7800,35,164.20000000000002,-501158.900000001
7900,28,69.49999999999999,-512644.70000000094
8000,33,101.0,-526537.1000000007
8100,46,169.79999999999998,-539850.4
8200,40,126.50000000000003,-555662.2999999997
8300,36,224.39999999999995,-570073.4999999992
8400,31,76.6,-580417.5999999996
8500,21,83.1,-593989.0999999995
8600,41,169.00000000000003,-602790.5999999993
8700,36,77.5,-617083.299999999
8800,42,239.09999999999997,-631435.7999999986
8900,46,152.8,-645727.2999999985
9000,38,138.4,-663574.0999999987
9100,44,144.9,-678647.799999999
9200,34,120.69999999999997,-691995.7000000003
9300,39,119.6,-706569.3999999998
9400,34,127.3,-717419.0
9500,34,164.3,-732719.1000000003
9600,37,149.0,-745045.6000000008
9700,24,71.4,-757541.3000000006
9800,37,131.2,-770389.2000000009
9900,37,120.8,-781095.0000000014
