step,queue,cum_queue
0,0,0.0
100,0,0.0
200,4,-96.0
300,6,-753.0
400,8,-1595.0
500,16,-2879.0
600,15,-4088.0
700,19,-5637.0
800,24,-7943.0
900,22,-10623.0
1000,32,-13282.0
1100,28,-15656.0
1200,22,-17854.0
1300,18,-19935.0
1400,14,-21883.0
1500,17,-23664.0
1600,27,-25638.0
1700,24,-27894.0
1800,20,-29836.0
1900,18,-31943.0
2000,13,-33734.0
2100,17,-35406.0
2200,23,-37185.0
2300,22,-39055.0
2400,14,-40925.0
2500,15,-42639.0
2600,24,-44661.0
2700,25,-47177.0
2800,22,-49292.0
2900,13,-50750.0
3000,6,-51967.0
3100,11,-52992.0
3200,19,-54611.0
3300,24,-56722.0
3400,16,-58459.0
3500,13,-60024.0
3600,16,-61703.0
3700,15,-63517.0
3800,22,-65325.0
3900,16,-66771.0
4000,14,-68144.0
4100,19,-69989.0
4200,13,-72028.0
4300,22,-73847.0
4400,23,-75677.0
4500,25,-77878.0
4600,21,-80219.0
4700,16,-82367.0
4800,26,-84424.0
4900,30,-86734.0
5000,28,-89382.0
5100,22,-92174.0
5200,17,-94353.0
5300,24,-96526.0
5400,23,-98444.0
5500,20,-100517.0
5600,12,-102501.0
5700,12,-103945.0
5800,21,-105704.0
5900,19,-107433.0
6000,20,-109241.0
6100,22,-111790.0
6200,20,-114191.0
6300,34,-116769.0
6400,28,-119496.0
6500,20,-121996.0
6600,31,-124626.0
6700,30,-127342.0
6800,32,-130032.0
6900,24,-132744.0
7000,23,-135199.0
7100,31,-138262.0
7200,29,-140675.0
7300,26,-143073.0
7400,21,-145900.0
7500,26,-148257.0
7600,38,-151334.0
7700,27,-153959.0
7800,27,-156692.0
7900,27,-159838.0
8000,34,-162901.0
8100,40,-166047.0
8200,31,-169895.0
8300,21,-172374.0
8400,13,-174431.0
8500,15,-176020.0
8600,23,-178003.0
8700,21,-179907.0
8800,24,-181708.0
8900,24,-184082.0
9000,26,-186737.0
9100,21,-189128.0
9200,22,-190936.0
9300,24,-193179.0
9400,27,-196117.0
9500,23,-198554.0
9600,23,-200616.0
9700,23,-202593.0
9800,20,-205128.0
9900,18,-207449.0
