step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,3,3.7,-97.1
300,4,17.7,-1681.3999999999994
400,5,22.1,-3744.600000000003
500,5,30.2,-6555.300000000009
600,10,22.2,-8453.100000000008
700,8,34.7,-13320.299999999988
800,16,79.4,-17697.4
900,11,16.900000000000002,-23129.900000000012
1000,16,72.7,-29079.70000000004
1100,15,41.7,-33704.300000000054
1200,14,78.19999999999999,-40925.4
1300,14,68.5,-47241.200000000004
1400,10,49.5,-52629.30000000001
1500,13,66.8,-57956.300000000025
1600,10,49.1,-63564.10000000001
1700,9,40.4,-68600.00000000003
1800,9,36.2,-72040.80000000003
1900,13,68.6,-77391.00000000001
2000,14,55.199999999999996,-82266.89999999998
2100,13,80.3,-88736.09999999996
2200,13,45.3,-93297.1
2300,6,39.6,-99384.80000000005
2400,14,56.7,-104046.59999999998
2500,13,41.900000000000006,-108896.19999999995
2600,17,59.50000000000001,-116459.29999999993
2700,13,70.3,-121154.99999999996
2800,10,27.1,-128353.19999999997
2900,15,60.0,-132616.69999999992
3000,10,36.5,-136791.29999999993
3100,8,42.5,-142929.00000000003
3200,13,58.5,-146868.0
3300,10,43.2,-153294.40000000008
3400,9,63.60000000000001,-157053.10000000036
3500,12,42.3,-160873.70000000045
3600,11,46.300000000000004,-167727.4000000005
3700,13,63.9,-172934.6000000005
3800,13,48.4,-178385.10000000044
3900,14,62.10000000000001,-183442.20000000062
4000,11,43.8,-187420.8000000006
4100,10,34.8,-192836.40000000037
4200,9,57.8,-197453.30000000054
4300,14,32.300000000000004,-202293.80000000054
4400,14,56.8,-206927.90000000029
4500,14,55.9,-213474.10000000018
4600,15,39.8,-217358.10000000027
4700,16,96.39999999999999,-223917.70000000036
4800,15,47.800000000000004,-228810.60000000038
4900,12,55.4,-235191.1000000006
5000,15,87.39999999999999,-242213.70000000065
5100,13,53.3,-249003.60000000065
5200,12,46.7,-254842.00000000081
5300,13,50.8,-260630.1000000008
5400,19,80.89999999999999,-268562.70000000106
5500,13,59.9,-275112.20000000094
5600,11,59.1,-280464.20000000054
5700,9,28.199999999999996,-284516.20000000024
5800,13,47.8,-289988.7000000001
5900,14,57.5,-294750.7000000001
6000,16,67.20000000000002,-300681.6000000001
6100,18,45.6,-306613.80000000005
6200,16,95.5,-313774.90000000014
6300,15,52.300000000000004,-318876.9000000002
6400,16,74.99999999999999,-326560.50000000035
6500,18,67.1,-332927.9000000007
6600,17,78.10000000000001,-341371.60000000097
6700,20,104.5,-350531.600000001
6800,21,124.60000000000001,-359613.4000000005
6900,27,118.8,-369814.4000000001
7000,23,106.7,-380192.80000000034
7100,23,103.5,-391751.30000000045
7200,27,106.49999999999999,-402128.2000000004
7300,30,145.5,-414193.00000000023
7400,29,117.79999999999998,-425506.9000000003
7500,27,111.80000000000001,-435319.7000000006
7600,26,78.5,-446732.8000000005
7700,30,146.5,-457758.9000000005
7800,36,109.69999999999999,-469736.49999999994
7900,35,131.3,-482603.9000000002
8000,45,107.60000000000001,-494727.30000000005
8100,41,147.89999999999998,-509584.4000000001
8200,43,187.69999999999996,-524962.7000000005
8300,29,114.69999999999999,-538130.3000000003
8400,28,81.30000000000001,-550800.5999999997
8500,29,100.5,-561763.0
8600,36,129.89999999999998,-572313.6000000004
8700,38,137.2,-586182.500000001
8800,42,191.39999999999998,-598956.9000000012
8900,34,89.89999999999999,-613253.000000001
9000,35,164.49999999999997,-627982.3000000017
9100,41,120.90000000000002,-641758.8000000017
9200,33,106.1,-655986.0000000016
9300,41,123.1,-668224.7000000019
9400,32,106.0,-681218.7000000022
9500,42,168.99999999999997,-696524.6000000024
9600,35,127.4,-708145.7000000027
9700,29,59.9,-720244.2000000043
9800,33,128.39999999999998,-730119.100000004
9900,37,89.0,-740159.3000000045
