step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,4,8.4,-96.0
300,6,41.099999999999994,-741.0
400,8,99.69999999999999,-1587.0
500,16,219.79999999999998,-2871.0
600,15,136.0,-4064.0
700,19,197.10000000000002,-5632.0
800,23,204.99999999999997,-7995.0
900,23,240.59999999999997,-10723.0
1000,32,485.69999999999993,-13371.0
1100,28,386.80000000000007,-15806.0
1200,22,259.2,-18093.0
1300,17,264.09999999999997,-20251.0
1400,14,119.5,-22197.0
1500,16,177.70000000000005,-23892.0
1600,26,354.2,-25753.0
1700,23,257.0,-27938.0
1800,20,232.2,-29855.0
1900,19,200.0,-32021.0
2000,15,152.59999999999997,-33946.0
2100,20,197.39999999999998,-35847.0
2200,24,294.2,-37760.0
2300,21,322.8,-39726.0
2400,14,177.2,-41566.0
2500,14,149.3,-43305.0
2600,26,331.90000000000003,-45358.0
2700,28,378.30000000000007,-47837.0
2800,23,358.2,-50146.0
2900,12,164.5,-52154.0
3000,10,43.800000000000004,-53572.0
3100,11,78.4,-54591.0
3200,21,206.9,-56136.0
3300,24,293.7,-58379.0
3400,15,213.2,-60468.0
3500,11,127.8,-62320.0
3600,22,215.7,-63950.0
3700,23,299.40000000000003,-65799.0
3800,19,268.00000000000006,-67773.0
3900,15,157.2,-69655.0
4000,13,131.1,-71384.0
4100,25,248.8,-73201.0
4200,23,319.09999999999997,-75316.0
4300,20,277.8,-77260.0
4400,17,183.89999999999998,-79143.0
4500,20,219.8,-81157.0
4600,20,161.7,-83501.0
4700,26,326.0,-85438.0
4800,21,298.7,-87428.0
4900,22,217.90000000000003,-89930.0
5000,31,235.1,-92783.0
5100,33,456.4,-95394.0
5200,18,254.0,-98245.0
5300,19,263.49999999999994,-100644.0
5400,32,328.59999999999997,-103331.0
5500,24,285.5,-105368.0
5600,19,307.6,-107538.0
5700,15,141.9,-109497.0
5800,19,186.40000000000003,-111255.0
5900,22,188.5,-113210.0
6000,27,272.7,-115490.0
6100,21,323.0,-118003.0
6200,21,247.2,-120345.0
6300,24,322.7,-122294.0
6400,30,364.90000000000003,-124773.0
6500,22,255.0,-127489.0
6600,27,223.8,-130392.0
6700,34,460.09999999999997,-132957.0
6800,26,339.09999999999997,-135647.0
6900,22,317.4,-137950.0
7000,23,143.9,-140645.0
7100,31,368.70000000000005,-143586.0
7200,36,544.1,-146694.0
7300,23,304.2,-149682.0
7400,17,227.8,-151771.0
7500,21,189.6,-154175.0
7600,22,234.1,-156066.0
7700,25,400.4,-158271.0
7800,22,194.10000000000002,-161071.0
7900,21,291.8,-163535.0
8000,33,440.1000000000001,-166112.0
8100,27,291.9,-168747.0
8200,17,314.09999999999997,-171125.0
8300,24,389.2,-173292.0
8400,23,327.20000000000005,-175627.0
8500,23,272.0,-177644.0
8600,23,188.2,-179971.0
8700,36,435.3,-182762.0
8800,33,554.2,-185973.0
8900,31,552.4,-189365.0
9000,21,227.7,-191658.0
9100,26,262.70000000000005,-193924.0
9200,22,199.00000000000003,-196062.0
9300,27,305.09999999999997,-198490.0
9400,27,236.2,-201549.0
9500,31,438.8,-204264.0
9600,21,445.59999999999997,-206656.0
9700,25,479.4,-209285.0
9800,22,291.7,-211487.0
9900,29,392.7,-213927.0
