step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,9,9.4,-217.0
300,10,34.2,-3743.600000000001
400,24,72.7,-8508.900000000005
500,25,68.80000000000001,-17117.400000000005
600,43,237.10000000000002,-29144.700000000008
700,42,102.69999999999999,-42890.29999999999
800,41,184.1,-60866.09999999996
900,61,183.3,-77820.99999999994
1000,66,202.2,-99436.99999999999
1100,84,241.7,-119954.99999999999
1200,69,134.0,-140161.90000000005
1300,83,290.20000000000005,-165550.50000000017
1400,100,219.29999999999998,-188483.5000000002
1500,100,291.6,-215422.80000000028
1600,125,403.79999999999995,-241526.80000000016
1700,113,238.5,-274931.90000000026
1800,109,297.6,-301380.7000000004
1900,130,223.0,-327104.2000000006
2000,128,337.9,-354478.2000000007
2100,137,304.2,-383623.2000000008
2200,128,295.0,-414105.10000000073
2300,136,253.7,-443910.50000000076
2400,146,313.0,-472660.70000000065
2500,147,406.79999999999995,-504115.3000000005
2600,154,501.9,-541788.6000000003
2700,148,377.69999999999993,-584894.1000000002
2800,141,626.6,-633300.8999999998
2900,153,578.3,-692314.7999999998
3000,142,399.70000000000005,-739232.8999999996
3100,139,381.3999999999999,-775909.8999999994
3200,151,294.59999999999997,-811505.299999999
3300,146,355.8,-841950.8999999994
3400,152,359.59999999999997,-875352.3999999993
3500,149,714.2,-921633.3999999994
3600,162,496.5,-973372.1999999995
3700,152,457.29999999999995,-1022017.3999999997
3800,146,362.0,-1061693.7000000002
3900,156,274.90000000000003,-1097208.6999999995
4000,154,376.09999999999997,-1128419.3999999985
4100,153,294.5,-1162973.999999998
4200,147,353.59999999999997,-1195075.2999999986
4300,145,257.0,-1226618.7999999982
4400,147,306.9,-1258863.299999999
4500,155,294.79999999999995,-1288883.5999999994
4600,146,259.79999999999995,-1318602.6999999988
4700,149,315.5,-1350697.2999999993
4800,157,331.0,-1378889.5999999994
4900,151,292.3,-1411438.0999999987
5000,148,345.7,-1441921.7999999982
5100,154,263.0,-1472328.6999999986
5200,154,296.30000000000007,-1505296.899999999
5300,163,334.29999999999995,-1536290.2999999993
5400,151,259.6,-1566829.099999999
5500,152,295.2,-1598802.9999999993
5600,160,320.29999999999995,-1626429.8999999987
5700,155,269.5,-1659025.7999999996
5800,153,334.7,-1688644.5
5900,155,249.6,-1719386.3000000005
6000,156,296.6,-1751317.1000000003
6100,163,320.20000000000005,-1781798.9
6200,150,269.4,-1812791.1999999993
6300,154,302.9,-1844801.8999999987
6400,158,312.1,-1873642.799999999
6500,154,337.3999999999999,-1906934.299999999
6600,152,311.40000000000003,-1937531.1999999995
6700,153,278.3,-1967346.1000000006
6800,157,272.79999999999995,-1999363.7000000007
6900,162,390.6,-2030291.5000000016
7000,153,253.8,-2063275.100000002
7100,154,373.9,-2095806.5000000016
7200,159,336.5,-2127812.4000000013
7300,156,357.8,-2162544.400000001
7400,155,384.9,-2197531.400000002
7500,153,318.8,-2233042.000000003
7600,159,382.70000000000005,-2272290.7000000016
7700,160,353.6,-2306723.3000000007
7800,156,316.9,-2341026.8999999976
7900,150,344.90000000000003,-2377127.1999999965
8000,160,323.7,-2407795.1999999974
8100,150,316.9,-2443514.7999999966
8200,157,336.6,-2473859.4999999986
8300,152,330.0,-2508469.000000001
8400,158,300.6,-2542556.000000002
8500,159,353.80000000000007,-2573430.7000000007
8600,156,278.1,-2605286.900000001
8700,150,413.0,-2637832.300000001
8800,163,290.20000000000005,-2667410.3000000035
8900,156,389.6,-2701101.1000000034
9000,162,324.30000000000007,-2731867.9000000046
9100,157,347.2,-2764264.7000000067
9200,165,310.90000000000003,-2796765.1000000047
9300,164,411.8,-2828534.600000006
9400,164,306.9,-2861958.2000000062
9500,156,414.49999999999994,-2895104.9000000064
9600,165,290.5,-2926702.600000007
9700,162,397.5,-2960748.7000000062
9800,163,323.8,-2992320.1000000066
9900,158,364.9,-3025413.0000000075
