step,queue,cum_queue
0,0,0.0
100,0,0.0
200,10,-281.0
300,14,-1873.0
400,23,-3804.0
500,32,-6385.0
600,26,-8858.0
700,36,-11948.0
800,33,-15758.0
900,37,-19943.0
1000,51,-24622.0
1100,44,-28592.0
1200,47,-33027.0
1300,43,-37962.0
1400,41,-43248.0
1500,47,-47946.0
1600,58,-52255.0
1700,65,-58021.0
1800,48,-63631.0
1900,44,-69248.0
2000,47,-74316.0
2100,61,-79353.0
2200,68,-85312.0
2300,64,-91327.0
2400,56,-97887.0
2500,60,-104166.0
2600,68,-111351.0
2700,82,-118277.0
2800,64,-124449.0
2900,56,-130603.0
3000,63,-136769.0
3100,70,-144092.0
3200,83,-152013.0
3300,85,-159418.0
3400,75,-166793.0
3500,80,-174540.0
3600,82,-183064.0
3700,76,-191771.0
3800,97,-200033.0
3900,104,-209096.0
4000,95,-218482.0
4100,90,-228186.0
4200,77,-237390.0
4300,88,-245885.0
4400,103,-255407.0
4500,94,-264111.0
4600,96,-273516.0
4700,76,-282775.0
4800,95,-291640.0
4900,97,-301854.0
5000,103,-311088.0
5100,85,-320181.0
5200,71,-328626.0
5300,87,-337393.0
5400,96,-346894.0
5500,106,-356360.0
5600,82,-365096.0
5700,82,-373287.0
5800,91,-382658.0
5900,95,-392824.0
6000,107,-402577.0
6100,89,-411084.0
6200,93,-419333.0
6300,94,-429036.0
6400,88,-438803.0
6500,89,-448590.0
6600,86,-456869.0
6700,90,-464941.0
6800,90,-474138.0
6900,86,-483752.0
7000,100,-492438.0
7100,79,-501065.0
7200,77,-509386.0
7300,81,-518250.0
7400,93,-527459.0
7500,98,-536096.0
7600,75,-543835.0
7700,84,-551907.0
7800,95,-561726.0
7900,85,-571625.0
8000,107,-581204.0
8100,78,-591041.0
8200,102,-600258.0
8300,104,-609737.0
8400,97,-619542.0
8500,102,-629565.0
8600,115,-640621.0
8700,101,-650286.0
8800,94,-659371.0
8900,80,-668989.0
9000,94,-677637.0
9100,101,-688163.0
9200,95,-697145.0
9300,81,-706153.0
9400,99,-716218.0
9500,94,-724946.0
9600,105,-734472.0
9700,124,-745936.0
9800,91,-755246.0
9900,84,-763566.0
