step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,7,12.0,-260.00000000000006
300,9,35.099999999999994,-3788.399999999999
400,24,82.8,-8597.699999999997
500,27,89.1,-16829.699999999993
600,40,145.9,-30949.69999999997
700,41,126.19999999999999,-43232.999999999956
800,52,149.5,-61519.69999999999
900,62,228.4,-77755.69999999998
1000,71,255.2,-100204.69999999998
1100,75,185.6,-121166.10000000002
1200,72,204.60000000000002,-141794.3000000001
1300,96,222.0,-165618.7000000001
1400,106,348.20000000000005,-188510.50000000006
1500,108,236.39999999999998,-217033.09999999983
1600,107,282.2,-243046.09999999983
1700,112,218.5,-270262.9999999997
1800,125,285.7,-299358.1999999995
1900,134,320.8,-325804.09999999945
2000,123,238.6,-352798.19999999955
2100,128,317.19999999999993,-380217.2999999996
2200,143,260.5,-408095.6999999999
2300,136,356.9,-439368.29999999976
2400,146,296.70000000000005,-471382.6999999998
2500,136,286.09999999999997,-501790.89999999973
2600,142,270.19999999999993,-532074.3999999997
2700,146,319.7,-561671.2999999995
2800,150,299.4,-593704.7999999995
2900,153,327.2,-626417.5999999994
3000,140,342.2,-661029.6999999997
3100,147,279.9,-694172.6
3200,147,356.79999999999995,-725240.2999999995
3300,151,287.9,-756666.2999999998
3400,142,351.0,-788329.2999999998
3500,143,274.20000000000005,-821115.4999999999
3600,148,298.3,-852536.6999999996
3700,157,384.5,-885219.1000000003
3800,153,296.70000000000005,-918307.1000000004
3900,148,423.4,-953111.2000000002
4000,158,285.00000000000006,-986590.0
4100,148,361.4,-1021828.9000000003
4200,162,392.8,-1056578.7000000004
4300,151,286.2,-1092289.2000000016
4400,152,350.3,-1126628.2000000007
4500,160,303.4,-1155798.9000000015
4600,147,367.8,-1189482.000000001
4700,157,339.29999999999995,-1220806.0000000014
4800,146,285.20000000000005,-1251117.200000001
4900,160,322.29999999999995,-1286941.700000001
5000,157,355.3,-1318599.6000000008
5100,148,306.3,-1352611.9000000006
5200,153,353.9,-1384814.7
5300,153,360.2,-1418607.700000001
5400,161,285.70000000000005,-1454671.5000000005
5500,158,398.6,-1486664.7000000004
5600,151,281.40000000000003,-1522085.3000000005
5700,146,364.2,-1553664.2000000014
5800,150,295.3,-1584270.0000000019
5900,149,309.29999999999995,-1618570.2000000023
6000,163,476.09999999999997,-1651387.9000000025
6100,160,292.7,-1688525.900000003
6200,143,393.79999999999995,-1722805.8000000045
6300,156,303.0,-1756241.4000000032
6400,148,310.7,-1791099.3000000033
6500,162,490.6,-1826567.6000000031
6600,154,299.3,-1864651.9000000036
6700,144,400.90000000000003,-1899571.8000000035
6800,158,292.0,-1932658.8000000038
6900,151,328.5,-1967804.7000000032
7000,158,355.20000000000005,-2000611.3000000035
7100,154,295.20000000000005,-2034621.0000000035
7200,149,444.49999999999994,-2071374.8000000038
7300,157,358.0,-2108119.6000000043
7400,151,358.5,-2149784.9000000055
7500,162,378.6,-2183329.500000008
7600,158,322.70000000000005,-2220368.0000000102
7700,160,377.50000000000006,-2257179.9000000115
7800,164,340.0,-2289916.600000013
7900,155,401.79999999999995,-2328626.4000000143
8000,159,371.5,-2365780.700000013
8100,147,321.1,-2402018.300000015
8200,164,462.0,-2440253.5000000168
8300,165,355.4,-2480619.2000000174
8400,153,387.7,-2523469.9000000185
8500,162,364.9,-2560417.3000000175
8600,150,301.8,-2593619.600000017
8700,162,393.79999999999995,-2628931.200000018
8800,163,314.70000000000005,-2661564.6000000183
8900,158,404.4,-2698699.300000018
9000,165,334.3,-2734187.9000000167
9100,159,341.69999999999993,-2769047.3000000147
9200,167,385.5,-2806890.7000000165
9300,165,327.3,-2841773.2000000193
9400,170,376.90000000000003,-2878255.30000002
9500,166,346.79999999999995,-2911799.2000000197
9600,160,416.9,-2949210.80000002
9700,170,334.29999999999995,-2986002.5000000196
9800,158,374.9,-3019919.10000002
9900,168,335.5,-3056223.000000022
