step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,10,22.0,-281.0
300,14,101.1,-1873.0
400,23,180.2,-3804.0
500,32,417.5,-6385.0
600,26,260.4,-8811.0
700,36,348.5,-11889.0
800,32,342.2,-15775.0
900,40,270.2,-19979.0
1000,55,484.0999999999999,-24578.0
1100,45,585.0,-28598.0
1200,48,565.3,-33105.0
1300,44,486.6,-38217.0
1400,44,384.2,-43587.0
1500,46,316.80000000000007,-48644.0
1600,63,702.9000000000001,-53319.0
1700,68,880.8,-59486.0
1800,50,702.4,-65192.0
1900,45,439.8,-70648.0
2000,44,349.0,-75666.0
2100,58,363.90000000000003,-80942.0
2200,71,871.2,-86879.0
2300,67,912.0000000000001,-92845.0
2400,60,691.2,-99300.0
2500,62,644.6999999999999,-105700.0
2600,64,545.1999999999999,-113000.0
2700,73,642.4000000000001,-120045.0
2800,70,1131.1999999999998,-126129.0
2900,61,768.6999999999999,-132174.0
3000,68,762.1000000000001,-138479.0
3100,71,741.3999999999999,-145976.0
3200,75,733.9000000000001,-154031.0
3300,91,1023.0,-161634.0
3400,78,1075.5,-169089.0
3500,81,1018.2,-176944.0
3600,82,981.5000000000001,-185547.0
3700,73,809.1999999999999,-194094.0
3800,98,932.4000000000001,-202313.0
3900,100,1275.2,-211264.0
4000,91,1235.9,-220516.0
4100,90,1212.6999999999998,-230278.0
4200,78,845.4,-239588.0
4300,93,820.2,-248429.0
4400,111,1359.3,-258321.0
4500,91,1433.7999999999997,-267452.0
4600,93,1219.3,-277106.0
4700,80,915.0,-286649.0
4800,91,893.4,-295492.0
4900,103,980.4999999999999,-305547.0
5000,99,1529.2999999999997,-314678.0
5100,91,1282.7,-323750.0
5200,83,980.1,-332607.0
5300,91,930.8,-342103.0
5400,95,997.0,-351928.0
5500,99,1344.0,-360888.0
5600,83,1224.3999999999999,-369178.0
5700,86,1058.8000000000002,-377575.0
5800,91,984.5999999999999,-387518.0
5900,92,1074.9,-397661.0
6000,106,1602.1000000000001,-407005.0
6100,79,1288.1,-415553.0
6200,96,1144.7,-423972.0
6300,89,1051.9,-433941.0
6400,84,1144.5,-443670.0
6500,95,1101.3999999999999,-452842.0
6600,89,1251.9999999999998,-460871.0
6700,92,1126.5,-469188.0
6800,93,1105.3,-478575.0
6900,82,1371.9,-488027.0
7000,88,1042.3,-496966.0
7100,90,791.7,-504831.0
7200,91,1160.1000000000001,-513169.0
7300,97,1156.3999999999999,-522487.0
7400,77,1253.1,-532156.0
7500,88,1108.7,-540557.0
7600,84,1105.8999999999999,-548211.0
7700,98,1139.2,-556990.0
7800,102,1254.5,-567334.0
7900,83,1326.2999999999997,-577571.0
8000,96,1074.4999999999998,-586865.0
8100,93,1278.6,-595108.0
8200,106,1240.1,-604478.0
8300,97,1283.8,-615018.0
8400,89,1263.6,-625127.0
8500,91,913.2999999999998,-634591.0
8600,105,1108.3,-643486.0
8700,104,1419.0,-652737.0
8800,95,1370.6000000000001,-662917.0
8900,79,1327.1,-672507.0
9000,82,1001.4000000000001,-681348.0
9100,90,853.9,-690070.0
9200,111,1624.7000000000003,-699260.0
9300,85,1327.4,-708466.0
9400,77,1175.5,-716987.0
9500,72,769.5,-725236.0
9600,79,864.8000000000001,-733185.0
9700,104,1028.6000000000001,-742557.0
9800,89,1493.8999999999999,-751461.0
9900,79,1461.3999999999999,-759766.0
