step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,5,11.7,-178.60000000000002
300,15,27.4,-2527.500000000001
400,28,138.5,-10071.599999999999
500,33,106.70000000000002,-20434.5
600,34,174.1,-35150.8
700,56,168.49999999999997,-49728.50000000001
800,67,215.5,-72344.9
900,69,288.79999999999995,-96861.7
1000,80,211.5,-119536.90000000004
1100,87,259.79999999999995,-144162.60000000003
1200,96,231.30000000000004,-171311.59999999998
1300,97,289.5,-196760.20000000013
1400,113,252.00000000000003,-226584.20000000016
1500,119,305.79999999999995,-256342.6000000002
1600,135,305.9,-287927.80000000016
1700,137,293.90000000000003,-317783.3000000003
1800,142,276.8,-349481.2000000004
1900,140,300.90000000000003,-380536.7000000004
2000,148,303.6,-411544.90000000014
2100,149,283.5,-442563.50000000023
2200,150,341.59999999999997,-475085.50000000023
2300,154,304.2,-508069.5000000002
2400,151,417.4,-544975.6000000002
2500,163,307.59999999999997,-580891.7999999999
2600,155,368.2,-615517.1000000007
2700,159,292.4,-651196.6000000009
2800,160,325.6000000000001,-685140.7000000007
2900,163,402.90000000000003,-724480.6000000011
3000,170,328.29999999999995,-760929.3000000013
3100,161,420.70000000000005,-797493.600000001
3200,174,432.20000000000005,-839260.5000000006
3300,173,362.20000000000005,-881626.7999999999
3400,171,367.8,-917509.8999999999
3500,175,338.4,-952463.7000000001
3600,168,435.4,-989045.6999999998
3700,172,356.79999999999995,-1027581.5000000001
3800,166,364.9,-1064677.9999999988
3900,169,530.6,-1115463.9999999995
4000,182,352.3,-1159336.3999999983
4100,169,382.4999999999999,-1195032.6999999986
4200,181,449.70000000000005,-1234276.9999999981
4300,181,350.9,-1274241.5999999978
4400,176,435.3999999999999,-1311455.1999999976
4500,189,376.1,-1348097.799999998
4600,171,420.4,-1388170.899999998
4700,163,613.4000000000001,-1435630.299999997
4800,185,384.5,-1488735.5999999973
4900,168,705.3,-1539612.399999997
5000,189,334.6,-1588638.299999997
5100,179,403.1,-1623209.5999999968
5200,190,302.7,-1657146.999999997
5300,178,409.3,-1691513.5999999982
5400,168,829.4,-1746339.099999999
5500,175,543.1,-1822194.0999999987
5600,182,338.99999999999994,-1864271.6999999993
5700,180,368.49999999999994,-1901605.200000001
5800,181,497.0,-1944887.6999999995
5900,192,344.8,-1983694.2999999996
6000,174,403.1,-2020666.2999999986
6100,186,612.3,-2065045.6999999976
6200,187,363.3,-2112530.8
6300,175,418.4,-2151198.7999999993
6400,192,361.09999999999997,-2188449.9000000004
6500,180,391.8,-2226271.6
6600,158,1013.6,-2279539.9000000013
6700,167,1281.9,-2413038.099999999
6800,184,453.8,-2491001.2
6900,178,378.0,-2530251.200000001
7000,186,332.1,-2565278.700000002
7100,180,373.1,-2600526.6000000034
7200,185,372.7,-2639414.5000000037
7300,186,385.8999999999999,-2677951.0000000047
7400,180,470.5,-2719099.4000000055
7500,188,316.90000000000003,-2754512.800000005
7600,180,424.1,-2789602.5000000033
7700,186,315.2,-2823872.5000000023
7800,180,419.7,-2858795.700000005
7900,186,317.00000000000006,-2893295.2000000067
8000,180,415.99999999999994,-2928289.8000000077
8100,192,353.90000000000003,-2963637.500000004
8200,174,408.1,-3001659.900000004
8300,188,316.20000000000005,-3036987.400000006
8400,175,382.40000000000003,-3071514.9000000046
8500,192,422.29999999999995,-3116734.600000004
8600,186,358.50000000000006,-3156393.9000000046
8700,180,460.0,-3197027.3000000026
8800,196,449.70000000000005,-3238937.7000000044
8900,186,386.9000000000001,-3284201.6000000034
9000,187,384.69999999999993,-3322435.200000002
9100,186,350.6,-3357546.0999999996
9200,176,475.50000000000006,-3401407.0
9300,190,465.09999999999997,-3445303.4000000013
9400,186,389.69999999999993,-3488059.300000002
9500,192,684.2,-3545252.0000000033
9600,180,476.0999999999999,-3602815.200000004
9700,181,342.80000000000007,-3641307.700000004
9800,180,355.3,-3675399.600000004
9900,183,343.59999999999997,-3710575.100000001
