step,queue,cum_queue
0,0,0.0
100,0,0.0
200,2,-80.0
300,14,-1137.0
400,31,-3361.0
500,44,-7016.0
600,39,-10803.0
700,42,-15170.0
800,48,-20547.0
900,54,-25968.0
1000,69,-31861.0
1100,62,-37378.0
1200,56,-43358.0
1300,54,-49097.0
1400,53,-55159.0
1500,63,-61765.0
1600,84,-68390.0
1700,74,-75467.0
1800,66,-82335.0
1900,63,-89421.0
2000,66,-96375.0
2100,91,-104673.0
2200,90,-112724.0
2300,78,-120764.0
2400,90,-129221.0
2500,96,-139484.0
2600,95,-150014.0
2700,89,-159036.0
2800,98,-167743.0
2900,103,-177320.0
3000,104,-187686.0
3100,88,-198204.0
3200,83,-207065.0
3300,94,-215237.0
3400,91,-223899.0
3500,107,-233940.0
3600,88,-245028.0
3700,81,-253484.0
3800,102,-261932.0
3900,106,-271660.0
4000,118,-282791.0
4100,104,-295052.0
4200,107,-304794.0
4300,97,-314183.0
4400,96,-324237.0
4500,117,-335388.0
4600,127,-348204.0
4700,109,-358589.0
4800,102,-368509.0
4900,97,-378501.0
5000,110,-389274.0
5100,121,-401925.0
5200,114,-412866.0
5300,107,-423021.0
5400,109,-433946.0
5500,119,-445799.0
5600,141,-459317.0
5700,114,-470576.0
5800,103,-480965.0
5900,101,-491864.0
6000,118,-503014.0
6100,132,-516507.0
6200,122,-528104.0
6300,115,-538591.0
6400,111,-549302.0
6500,142,-561991.0
6600,126,-576521.0
6700,111,-588403.0
6800,117,-599107.0
6900,116,-610325.0
7000,135,-622624.0
7100,121,-636634.0
7200,111,-648002.0
7300,127,-659563.0
7400,115,-670551.0
7500,137,-683201.0
7600,120,-697024.0
7700,116,-709334.0
7800,138,-721887.0
7900,134,-734229.0
8000,147,-747883.0
8100,117,-761635.0
8200,115,-773739.0
8300,127,-786597.0
8400,154,-799625.0
8500,150,-814517.0
8600,137,-829118.0
8700,133,-843229.0
8800,138,-857445.0
8900,149,-871149.0
9000,161,-885940.0
9100,156,-901408.0
9200,140,-916655.0
9300,139,-931164.0
9400,152,-946160.0
9500,165,-961992.0
9600,145,-977242.0
9700,127,-991266.0
9800,119,-1004278.0
9900,138,-1017254.0
