step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,6,16.1,-277.59999999999997
300,15,27.800000000000004,-3183.699999999998
400,26,145.0,-11273.999999999996
500,35,99.6,-21940.200000000008
600,39,161.79999999999995,-38121.900000000016
700,62,232.8,-52550.40000000004
800,67,173.0,-72717.80000000005
900,62,268.6,-95310.70000000001
1000,76,199.49999999999997,-118236.10000000002
1100,88,240.5,-141174.90000000002
1200,101,352.0,-170392.3000000001
1300,105,253.59999999999997,-197274.6000000002
1400,111,350.7,-226760.5000000001
1500,126,282.29999999999995,-257142.0
1600,130,354.9,-287913.3000000004
1700,138,282.9,-318508.7000000004
1800,135,321.2,-349864.20000000054
1900,134,282.2,-383825.6000000005
2000,141,338.20000000000005,-414939.2000000006
2100,153,312.9,-447795.50000000064
2200,151,314.2,-479971.6000000006
2300,155,320.2,-512666.6000000007
2400,158,316.6,-545976.9
2500,151,422.0,-582043.0000000003
2600,158,311.7,-618564.4000000003
2700,148,353.0,-651267.9
2800,162,274.8,-684793.1999999998
2900,155,364.5,-718461.3999999996
3000,157,379.2,-755524.6999999997
3100,162,353.8,-791799.2999999998
3200,162,377.0,-828476.4999999999
3300,171,312.8,-863661.7000000003
3400,166,421.6,-898146.8000000002
3500,174,363.0,-934289.5999999999
3600,163,422.09999999999997,-972719.3999999997
3700,172,327.79999999999995,-1010301.1000000001
3800,167,352.29999999999995,-1045481.8999999997
3900,170,350.90000000000003,-1082642.499999999
4000,167,349.59999999999997,-1117168.1999999976
4100,176,323.20000000000005,-1152648.899999997
4200,177,319.8,-1187068.8999999966
4300,172,454.79999999999995,-1225440.0999999966
4400,181,349.5,-1263988.0999999966
4500,170,394.6,-1298971.6999999974
4600,184,312.8,-1334295.6999999965
4700,175,387.79999999999995,-1371011.0999999957
4800,178,378.6,-1410363.1999999958
4900,173,362.7,-1446239.399999996
5000,183,340.09999999999997,-1482283.0999999961
5100,182,329.59999999999997,-1517026.9999999958
5200,187,387.0,-1552854.499999996
5300,184,352.90000000000003,-1588445.999999996
5400,177,438.59999999999997,-1624949.0999999961
5500,191,362.5,-1663069.0999999966
5600,180,411.7,-1703062.5999999968
5700,183,387.29999999999995,-1742684.8999999973
5800,184,370.80000000000007,-1780430.899999997
5900,186,402.0,-1818609.0999999964
6000,186,351.79999999999995,-1856582.5999999964
6100,180,430.4,-1894103.3999999964
6200,189,351.50000000000006,-1930942.6999999962
6300,174,390.90000000000003,-1969063.9999999967
6400,188,349.6,-2005933.999999997
6500,180,400.2,-2044194.6999999965
6600,187,351.80000000000007,-2082851.899999997
6700,186,345.6,-2120203.199999997
6800,180,447.7,-2159287.5999999973
6900,192,361.09999999999997,-2196947.099999996
7000,180,424.0,-2238144.699999995
7100,184,380.70000000000005,-2279674.599999993
7200,186,387.9,-2318046.2999999924
7300,180,475.5,-2358202.999999991
7400,190,407.6,-2398897.6999999904
7500,180,424.1,-2442746.1999999895
7600,181,489.69999999999993,-2485142.1999999885
7700,192,376.1,-2525978.89999999
7800,180,444.20000000000005,-2567781.6999999904
7900,189,526.3,-2611371.399999989
8000,191,414.1,-2656819.9999999907
8100,174,401.0,-2696157.7999999896
8200,188,359.20000000000005,-2734913.399999989
8300,186,436.79999999999995,-2778521.699999987
8400,180,461.50000000000006,-2824097.6999999895
8500,190,372.1,-2865033.2999999896
8600,186,448.0,-2905824.0999999885
8700,180,507.79999999999995,-2952827.599999987
8800,183,345.59999999999997,-2994695.6999999876
8900,180,422.99999999999994,-3034918.599999988
9000,180,513.5,-3080065.8999999887
9100,187,442.3,-3126850.2999999896
9200,180,397.2,-3171892.7999999924
9300,180,494.50000000000006,-3215470.0999999926
9400,188,354.5,-3257027.399999994
9500,176,405.59999999999997,-3294241.099999995
9600,189,346.6,-3330679.8999999966
9700,180,403.79999999999995,-3368950.2999999966
9800,187,505.7,-3409303.799999997
9900,189,457.30000000000007,-3458562.2999999966
