step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,2,7.4,-80.0
300,14,37.400000000000006,-1146.0
400,31,179.7,-3366.0
500,44,501.99999999999994,-7018.0
600,39,534.1,-10767.0
700,43,381.3,-15064.0
800,49,499.9,-20452.0
900,54,464.40000000000003,-25942.0
1000,69,767.0,-31843.0
1100,61,816.9000000000001,-37304.0
1200,55,571.0,-43226.0
1300,55,664.5000000000001,-48966.0
1400,54,529.8,-55115.0
1500,62,499.90000000000003,-61665.0
1600,83,1098.3,-68151.0
1700,73,933.4999999999999,-75201.0
1800,67,859.7,-82147.0
1900,63,708.9,-89333.0
2000,67,721.3000000000001,-96324.0
2100,87,676.3,-104544.0
2200,92,1144.7,-112424.0
2300,78,1078.1,-120264.0
2400,91,830.2,-128729.0
2500,98,1206.6000000000001,-138765.0
2600,97,1037.7,-149523.0
2700,93,1148.1999999999998,-158589.0
2800,100,1348.0000000000002,-167568.0
2900,103,1162.3,-177316.0
3000,106,1392.7,-187814.0
3100,90,1330.8,-198659.0
3200,88,1313.0,-207628.0
3300,100,1170.1,-215963.0
3400,95,1082.9,-224510.0
3500,113,1691.6999999999998,-234879.0
3600,86,1575.2,-246201.0
3700,83,1270.2,-255020.0
3800,98,1058.3,-263569.0
3900,114,1269.5,-273365.0
4000,125,2029.6,-284837.0
4100,94,1657.7,-296549.0
4200,90,1249.0,-306275.0
4300,97,888.6999999999999,-315528.0
4400,126,1114.2999999999997,-325709.0
4500,132,2267.3999999999996,-338109.0
4600,100,2054.1,-349755.0
4700,84,1395.7999999999997,-359753.0
4800,91,1030.6999999999998,-369367.0
4900,117,1121.8,-379886.0
5000,134,2481.0,-392233.0
5100,105,2264.5,-403557.0
5200,88,1570.4,-413849.0
5300,100,1135.9,-423907.0
5400,121,1185.2,-435401.0
5500,136,2034.1,-448019.0
5600,121,2514.0000000000005,-460070.0
5700,101,1771.7,-470771.0
5800,100,1343.5,-481220.0
5900,113,1393.2,-492954.0
6000,133,2076.1,-505578.0
6100,130,2724.3000000000006,-518110.0
6200,115,2033.5,-529384.0
6300,117,1442.5,-541164.0
6400,130,1590.1,-553756.0
6500,136,2237.0,-568071.0
6600,135,3203.9999999999995,-580648.0
6700,109,2439.3000000000006,-591979.0
6800,110,1382.0,-603295.0
6900,128,1580.1000000000004,-615955.0
7000,143,2169.4000000000005,-630428.0
7100,131,2570.2,-643182.0
7200,119,2572.3,-654815.0
7300,122,1540.8999999999999,-666748.0
7400,137,1885.6999999999998,-680031.0
7500,131,2119.7999999999997,-694583.0
7600,127,2102.5999999999995,-707244.0
7700,137,2476.0,-719275.0
7800,134,1703.3999999999999,-731933.0
7900,147,2279.1000000000004,-745630.0
8000,135,2601.2,-760645.0
8100,127,2464.7000000000003,-774263.0
8200,133,2606.1000000000004,-786968.0
8300,146,2146.7,-800126.0
8400,161,2826.2999999999997,-815549.0
8500,139,2925.5,-830964.0
8600,131,2934.3,-845276.0
8700,139,2859.4,-858766.0
8800,169,2358.5,-873912.0
8900,170,3568.2000000000003,-890411.0
9000,138,2997.1999999999994,-905437.0
9100,130,2854.7,-919399.0
9200,155,3184.8,-933831.0
9300,173,3348.2,-950653.0
9400,172,5701.400000000001,-967385.0
9500,132,5676.400000000001,-982343.0
9600,120,5669.5,-995527.0
9700,130,5344.999999999999,-1008873.0
9800,148,5514.2,-1022972.0
9900,162,6310.5,-1038254.0
