step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,-171.1
400,0,0.0,-171.1
500,0,0.0,-194.2
600,1,7.1,-460.3
700,0,0.0,-482.2
800,0,0.0,-482.2
900,0,0.0,-482.2
1000,1,6.6,-703.3000000000001
1100,1,8.3,-1138.9
1200,0,0.0,-1478.0000000000002
1300,0,0.0,-1478.0000000000002
1400,1,5.6,-1637.6000000000001
1500,1,4.6,-2336.4000000000005
1600,0,0.0,-2537.2000000000003
1700,1,0.3,-2537.8
1800,0,0.0,-2965.3
1900,0,0.0,-2965.3
2000,0,0.0,-2969.8
2100,0,0.0,-2969.8
2200,1,0.0,-3247.3
2300,0,0.0,-3259.3
2400,0,0.0,-3259.3
2500,0,0.0,-3259.3
2600,0,0.0,-3259.9
2700,0,0.0,-3259.9
2800,0,0.0,-3259.9
2900,2,5.1,-3387.5
3000,0,0.0,-3610.0
3100,0,0.0,-3610.0
3200,0,0.0,-3613.6
3300,1,7.7,-3913.8999999999996
3400,1,2.3,-4006.7
3500,1,4.2,-4212.5
3600,1,7.8,-4858.1
3700,0,0.0,-5264.1
3800,0,0.0,-5264.1
3900,1,1.5,-5276.1
4000,1,11.5,-5931.1
4100,0,0.0,-6014.500000000001
4200,2,6.5,-6253.500000000001
4300,0,0.0,-6602.100000000001
4400,0,0.0,-6602.100000000001
4500,3,12.7,-6894.300000000001
4600,1,2.5,-7654.200000000001
4700,0,0.0,-7962.200000000001
4800,0,0.0,-7962.200000000001
4900,1,5.1,-8094.800000000001
5000,0,0.0,-8151.300000000001
5100,0,0.0,-8151.300000000001
5200,1,5.9,-8328.300000000001
5300,0,0.0,-8352.900000000001
5400,0,0.0,-8352.900000000001
5500,2,4.3,-8447.500000000002
5600,1,1.9,-8902.900000000003
5700,2,14.8,-9641.400000000003
5800,1,1.4,-10436.100000000004
5900,0,0.0,-10782.600000000004
6000,2,10.7,-11116.200000000004
6100,1,5.2,-11772.400000000005
6200,0,0.0,-11904.700000000004
6300,1,2.9,-11948.200000000004
6400,1,2.4,-12429.700000000004
6500,0,0.0,-12466.300000000005
6600,2,11.1,-12807.100000000006
6700,2,0.4,-13878.800000000005
6800,1,10.4,-14423.800000000005
6900,0,0.0,-15297.400000000005
7000,0,0.0,-15297.400000000005
7100,1,3.0,-15362.000000000005
7200,1,1.1,-15704.900000000007
7300,0,0.0,-15860.900000000007
7400,0,0.0,-15860.900000000007
7500,0,0.0,-15881.900000000007
7600,0,0.0,-15881.900000000007
7700,0,0.0,-16025.000000000007
7800,1,7.3,-16354.600000000008
7900,4,14.3,-16922.800000000003
8000,0,0.0,-18398.800000000003
8100,1,7.8,-18706.9
8200,2,10.4,-19315.300000000003
8300,2,12.200000000000001,-20341.2
8400,4,28.199999999999996,-21667.8
8500,0,0.0,-24266.899999999998
8600,0,0.0,-24268.399999999998
8700,0,0.0,-24268.399999999998
8800,0,0.0,-24268.399999999998
8900,0,0.0,-24268.399999999998
9000,0,0.0,-24268.399999999998
9100,0,0.0,-24268.399999999998
9200,1,9.5,-24724.399999999998
9300,0,0.0,-26044.999999999996
9400,0,0.0,-26044.999999999996
9500,0,0.0,-26044.999999999996
9600,0,0.0,-26044.999999999996
9700,1,0.0,-26070.299999999996
9800,0,0.0,-26070.299999999996
9900,0,0.0,-26070.299999999996
