step,queue,cum_queue
0,0,0.0
100,0,0.0
200,0,0.0
300,0,-58.0
400,0,-58.0
500,2,-181.0
600,3,-471.0
700,2,-713.0
800,0,-835.0
900,1,-901.0
1000,2,-1070.0
1100,2,-1259.0
1200,3,-1529.0
1300,3,-1829.0
1400,0,-2030.0
1500,0,-2067.0
1600,4,-2222.0
1700,5,-2651.0
1800,3,-3007.0
1900,0,-3181.0
2000,0,-3181.0
2100,1,-3188.0
2200,2,-3306.0
2300,2,-3441.0
2400,3,-3658.0
2500,2,-3925.0
2600,0,-4098.0
2700,0,-4098.0
2800,2,-4125.0
2900,2,-4312.0
3000,2,-4512.0
3100,1,-4693.0
3200,2,-4870.0
3300,3,-5149.0
3400,2,-5318.0
3500,2,-5504.0
3600,3,-5828.0
3700,2,-6109.0
3800,3,-6353.0
3900,2,-6488.0
4000,2,-6632.0
4100,2,-6808.0
4200,3,-7115.0
4300,4,-7438.0
4400,3,-7670.0
4500,3,-7919.0
4600,2,-8180.0
4700,2,-8449.0
4800,3,-8713.0
4900,3,-8973.0
5000,2,-9200.0
5100,0,-9342.0
5200,1,-9405.0
5300,2,-9549.0
5400,2,-9749.0
5500,1,-9894.0
5600,0,-9959.0
5700,0,-9986.0
5800,1,-10003.0
5900,1,-10103.0
6000,0,-10150.0
6100,3,-10310.0
6200,2,-10592.0
6300,3,-10825.0
6400,3,-11057.0
6500,2,-11256.0
6600,1,-11453.0
6700,4,-11798.0
6800,3,-12070.0
6900,2,-12330.0
7000,2,-12530.0
7100,1,-12803.0
7200,2,-12908.0
7300,1,-12952.0
7400,1,-13052.0
7500,2,-13228.0
7600,2,-13438.0
7700,4,-13813.0
7800,3,-14120.0
7900,6,-14518.0
8000,2,-14945.0
8100,3,-15215.0
8200,5,-15590.0
8300,4,-15941.0
8400,5,-16372.0
8500,6,-17082.0
8600,8,-17861.0
8700,6,-18452.0
8800,2,-18821.0
8900,2,-19145.0
9000,2,-19345.0
9100,3,-19598.0
9200,2,-19799.0
9300,2,-19999.0
9400,1,-20154.0
9500,0,-20252.0
9600,0,-20252.0
9700,1,-20254.0
9800,1,-20333.0
9900,1,-20433.0
