step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,-127.5
400,0,0.0,-127.5
500,0,0.0,-148.5
600,1,7.1,-411.9
700,0,0.0,-411.9
800,0,0.0,-411.9
900,0,0.0,-411.9
1000,1,6.6,-634.0
1100,0,0.0,-831.5
1200,0,0.0,-881.1
1300,0,0.0,-881.1
1400,1,3.8,-955.2
1500,1,4.6,-1764.2
1600,2,7.9,-2171.9
1700,0,0.0,-2242.3
1800,1,8.3,-2637.4
1900,0,0.0,-2793.8
2000,0,0.0,-2926.4
2100,1,0.3,-2927.0
2200,2,9.3,-3276.5
2300,0,0.0,-3709.7999999999997
2400,1,1.4,-3733.8999999999996
2500,0,0.0,-3744.3999999999996
2600,0,0.0,-3744.3999999999996
2700,0,0.0,-3744.3999999999996
2800,1,0.2,-3744.6999999999994
2900,0,0.0,-3909.6999999999994
3000,1,9.5,-4365.699999999999
3100,0,0.0,-4599.999999999999
3200,1,0.0,-4841.499999999999
3300,0,0.0,-4897.599999999999
3400,1,2.2,-4922.9
3500,1,0.0,-5623.599999999999
3600,1,2.4,-5653.599999999999
3700,1,0.7,-5769.5
3800,0,0.0,-5783.8
3900,1,1.6,-5797.400000000001
4000,1,0.7,-5856.900000000001
4100,1,1.0,-6054.900000000001
4200,2,12.399999999999999,-6889.5
4300,0,0.0,-7473.1
4400,1,4.4,-7572.1
4500,1,3.0,-8186.6
4600,2,5.4,-8979.2
4700,0,0.0,-9612.2
4800,0,0.0,-9612.2
4900,0,0.0,-9612.2
5000,1,0.6,-9614.300000000001
5100,0,0.0,-9652.800000000001
5200,0,0.0,-9726.900000000001
5300,0,0.0,-9726.900000000001
5400,0,0.0,-9726.900000000001
5500,2,4.2,-9817.200000000003
5600,1,3.7,-10083.300000000001
5700,1,2.9,-10819.1
5800,1,1.4,-11265.2
5900,1,3.6,-11510.400000000001
6000,2,10.600000000000001,-12309.700000000003
6100,1,2.5,-12508.100000000002
6200,1,3.0,-12978.100000000002
6300,1,2.8,-13747.200000000003
6400,0,0.0,-13914.700000000003
6500,0,0.0,-13914.700000000003
6600,1,7.3,-14189.300000000003
6700,2,7.2,-14610.400000000005
6800,0,0.0,-14991.700000000004
6900,0,0.0,-14991.700000000004
7000,0,0.0,-14991.700000000004
7100,1,3.0,-15038.200000000004
7200,1,1.0,-15282.200000000004
7300,0,0.0,-15568.300000000005
7400,0,0.0,-15568.300000000005
7500,0,0.0,-15631.300000000005
7600,0,0.0,-15644.900000000005
7700,0,0.0,-15782.000000000005
7800,1,7.3,-16134.100000000006
7900,3,11.3,-16743.400000000005
8000,2,13.399999999999999,-17687.10000000001
8100,1,7.1,-17956.300000000007
8200,2,8.6,-18753.40000000001
8300,2,11.2,-19536.200000000008
8400,2,10.8,-20582.700000000008
8500,1,8.6,-21399.90000000001
8600,3,24.9,-22610.80000000001
8700,0,0.0,-23414.80000000001
8800,0,0.0,-23414.80000000001
8900,0,0.0,-23414.80000000001
9000,0,0.0,-23414.80000000001
9100,0,0.0,-23414.80000000001
9200,0,0.0,-23414.80000000001
9300,0,0.0,-23414.80000000001
9400,0,0.0,-23414.80000000001
9500,1,4.5,-23518.30000000001
9600,0,0.0,-24128.80000000001
9700,1,0.0,-24128.80000000001
9800,2,16.9,-24875.30000000001
9900,0,0.0,-25255.30000000001
