step,min_ttc
0,50.0
100,50.0
200,50.0
300,50.0
400,50.0
500,50.0
600,50.0
700,50.0
800,50.0
900,50.0
1000,50.0
1100,50.0
1200,50.0
1300,50.0
1400,50.0
1500,50.0
1600,50.0
1700,50.0
1800,50.0
1900,50.0
2000,50.0
2100,50.0
2200,50.0
2300,50.0
2400,50.0
2500,50.0
2600,50.0
2700,50.0
2800,7.868456310481273
2900,50.0
3000,50.0
3100,50.0
3200,50.0
3300,50.0
3400,50.0
3500,50.0
3600,50.0
3700,50.0
3800,8.205692574397863
3900,50.0
4000,9.37708190052423
4100,1.3976142994595333
4200,3.7058202422362174
4300,8.917482592067897
4400,1.2697990156317143
4500,50.0
4600,0.9273017075736064
4700,50.0
4800,50.0
4900,50.0
5000,50.0
5100,50.0
5200,50.0
5300,50.0
5400,5.086246270345641
5500,0.9424636814578231
5600,21.95037995194078
5700,50.0
5800,50.0
5900,50.0
6000,50.0
6100,50.0
6200,50.0
6300,15.935684088912307
6400,12.73652514361085
6500,1.8067684944401634
6600,1.572307998574132
6700,8.950343535370555
6800,1.2916393244151358
6900,4.833697012747442
7000,20.095524606629137
7100,7.026017000741672
7200,0.9694145217909781
7300,30.706639782967144
7400,50.0
7500,50.0
7600,21.79555345442016
7700,50.0
7800,4.516310648852484
7900,0.9630516834798665
8000,50.0
8100,50.0
8200,50.0
8300,50.0
8400,50.0
8500,50.0
8600,50.0
8700,50.0
8800,50.0
8900,50.0
9000,50.0
9100,50.0
9200,50.0
9300,50.0
9400,50.0
9500,50.0
9600,50.0
9700,50.0
9800,50.0
9900,50.0
