step,queue,delay,cum_queue
0,0,0.0,0.0
100,0,0.0,0.0
200,0,0.0,0.0
300,0,0.0,-59.0
400,0,0.0,-59.0
500,2,11.7,-182.0
600,3,38.8,-470.0
700,2,40.900000000000006,-708.0
800,0,0.0,-828.0
900,1,6.6,-897.0
1000,2,23.3,-1067.0
1100,2,34.8,-1258.0
1200,3,31.9,-1531.0
1300,3,61.900000000000006,-1831.0
1400,0,0.0,-2065.0
1500,1,0.0,-2113.0
1600,4,12.2,-2250.0
1700,5,53.2,-2663.0
1800,3,55.3,-3055.0
1900,0,0.0,-3271.0
2000,0,0.0,-3271.0
2100,1,0.4,-3278.0
2200,2,11.9,-3396.0
2300,2,11.5,-3535.0
2400,3,32.8,-3752.0
2500,2,31.299999999999997,-4030.0
2600,0,0.0,-4228.0
2700,0,0.0,-4228.0
2800,2,0.8999999999999999,-4242.0
2900,2,15.7,-4440.0
3000,2,35.7,-4640.0
3100,1,25.0,-4835.0
3200,2,42.4,-5012.0
3300,3,34.599999999999994,-5309.0
3400,2,21.9,-5513.0
3500,2,16.6,-5721.0
3600,3,34.5,-6042.0
3700,3,32.099999999999994,-6342.0
3800,3,53.99999999999999,-6567.0
3900,2,13.4,-6739.0
4000,2,22.599999999999998,-6897.0
4100,2,11.799999999999999,-7087.0
4200,5,30.0,-7412.0
4300,4,62.0,-7739.0
4400,2,35.8,-7993.0
4500,2,30.6,-8229.0
4600,2,10.5,-8477.0
4700,2,26.0,-8758.0
4800,3,51.6,-9017.0
4900,3,48.7,-9301.0
5000,2,40.7,-9589.0
5100,2,60.7,-9789.0
5200,1,5.9,-9868.0
5300,2,16.2,-9974.0
5400,2,36.2,-10174.0
5500,4,60.5,-10444.0
5600,1,30.3,-10794.0
5700,2,43.099999999999994,-10925.0
5800,2,14.200000000000001,-11050.0
5900,2,15.0,-11226.0
6000,3,32.0,-11496.0
6100,1,5.1,-11781.0
6200,2,19.5,-11928.0
6300,3,42.4,-12160.0
6400,4,46.099999999999994,-12528.0
6500,4,35.2,-12928.0
6600,3,59.4,-13206.0
6700,6,64.3,-13620.0
6800,3,47.39999999999999,-14060.0
6900,2,26.700000000000003,-14374.0
7000,2,13.5,-14689.0
7100,5,47.6,-15038.0
7200,5,84.5,-15450.0
7300,3,34.4,-15775.0
7400,1,0.0,-16061.0
7500,1,8.0,-16144.0
7600,2,21.6,-16283.0
7700,2,41.6,-16560.0
7800,5,77.0,-16923.0
7900,9,93.7,-17526.0
8000,5,62.599999999999994,-18135.0
8100,3,57.7,-18549.0
8200,1,7.4,-18857.0
8300,0,0.0,-18967.0
8400,4,16.7,-19146.0
8500,5,37.4,-19505.0
8600,4,64.4,-19967.0
8700,2,42.9,-20283.0
8800,1,7.4,-20516.0
8900,2,23.0,-20675.0
9000,2,43.0,-20875.0
9100,0,0.0,-20957.0
9200,0,0.0,-21016.0
9300,0,0.0,-21016.0
9400,0,0.0,-21016.0
9500,1,4.6,-21065.0
9600,1,14.6,-21165.0
9700,2,6.3,-21275.0
9800,2,16.9,-21507.0
9900,0,0.0,-21686.0
