step,queue,delay,cum_queue,cum_delay
0,0,0.0,0.0,0.0
100,0,0.0,0.0,0.0
200,4,8.4,-96.0,-108.10000000000001
300,10,77.4,-854.0,-3838.7000000000025
400,14,194.5,-2077.0,-17230.300000000003
500,11,194.8,-3515.0,-37368.79999999995
600,18,327.9,-4939.0,-62961.199999999946
700,27,519.3,-7101.0,-104846.59999999998
800,35,816.7,-10249.0,-171131.9000000001
900,42,980.0999999999999,-14023.0,-270621.70000000024
1000,36,1183.8,-17466.0,-372996.3000000002
1100,40,1562.3999999999999,-21335.0,-510241.3000000003
1200,50,1984.3,-25723.0,-687246.4000000005
1300,54,2494.7,-31020.0,-910775.8000000004
1400,27,1219.9,-35723.0,-1105618.4000000006
1500,33,1518.7,-38801.0,-1242126.9000000013
1600,43,1874.3000000000002,-42504.0,-1411310.0000000026
1700,51,2332.2000000000003,-47300.0,-1621099.400000001
1800,58,2161.4,-52757.0,-1879698.3999999983
1900,36,1228.5,-56722.0,-1996813.2999999968
2000,44,1599.5,-60568.0,-2138033.699999997
2100,49,2053.1,-65259.0,-2320331.6000000015
2200,58,2563.6000000000004,-70601.0,-2550734.600000002
2300,28,1132.6,-75657.0,-2748461.7000000025
2400,36,1446.2000000000003,-78938.0,-2876921.099999997
2500,46,1830.1,-82997.0,-3040231.799999997
2600,54,2324.9,-88174.0,-3247392.499999997
2700,59,2177.2999999999997,-93893.0,-3506593.2999999975
2800,50,1967.1,-98758.0,-3683264.4999999977
2900,57,2481.5,-104034.0,-3905619.9999999967
3000,64,3059.1000000000004,-110102.0,-4182551.1999999965
3100,71,3730.6,-117025.0,-4521614.499999993
3200,42,1576.0,-123548.0,-4807265.399999993
3300,47,2014.0,-128082.0,-4986127.799999995
3400,54,2506.3,-133122.0,-5211833.499999993
3500,64,3087.0999999999995,-139204.0,-5490699.799999993
3600,67,3004.8999999999996,-145809.0,-5831465.500000003
3700,44,1998.5,-150433.0,-6019802.499999989
3800,51,2454.7,-155088.0,-6242054.899999987
3900,57,2975.2,-160451.0,-6513518.999999989
4000,66,3563.9,-166532.0,-6840297.699999988
4100,30,1038.7,-172337.0,-7095466.999999988
4200,35,1356.6000000000001,-175681.0,-7214790.299999986
4300,45,1722.3000000000002,-179521.0,-7368425.699999966
4400,58,2226.3,-184936.0,-7564558.6999999685
4500,66,2119.1000000000004,-191071.0,-7815172.699999969
4600,46,1669.5,-195698.0,-7965328.999999977
4700,57,2158.8,-200737.0,-8156019.7999999765
4800,63,2747.3999999999996,-206686.0,-8401133.699999971
4900,70,3413.4,-213399.0,-8708734.799999975
5000,37,1386.0,-219676.0,-8972547.399999978
5100,42,1749.3000000000002,-223600.0,-9128100.299999967
5200,48,2187.2999999999997,-228093.0,-9324714.799999975
5300,58,2683.7,-233303.0,-9567973.699999973
5400,71,2555.9,-239714.0,-9864967.899999965
5500,51,1841.7999999999997,-244903.0,-10032950.099999964
5600,54,2365.2999999999997,-250201.0,-10243381.399999967
5700,62,2921.2000000000003,-255913.0,-10507724.69999995
5800,68,3547.0000000000005,-262359.0,-10830980.899999952
5900,46,1803.5000000000002,-268730.0,-11114688.099999957
6000,53,2266.3999999999996,-273492.0,-11318113.899999958
6100,61,2810.4,-279188.0,-11571519.69999996
6200,66,3435.7999999999997,-285590.0,-11883631.699999979
6300,73,3369.5,-292546.0,-12260180.799999984
6400,51,1973.6999999999998,-297745.0,-12449319.099999981
6500,62,2513.8999999999996,-303419.0,-12672945.599999985
6600,71,3173.8,-310244.0,-12956675.500000007
6700,80,3907.3999999999996,-317776.0,-13310463.70000002
6800,52,2133.5,-325158.0,-13627912.400000026
6900,61,2668.6,-330704.0,-13867624.500000032
7000,73,3298.1,-337305.0,-14165483.50000002
7100,86,4058.4,-345269.0,-14532661.500000022
7200,92,4164.0,-354183.0,-14981132.100000015
7300,57,2230.4,-360562.0,-15204741.000000026
7400,61,2808.0,-366407.0,-15456506.200000029
7500,68,3436.2,-372872.0,-15768428.500000028
7600,75,4132.0,-380003.0,-16146619.400000025
7700,51,2097.3,-387030.0,-16475792.700000035
7800,61,2628.6,-392760.0,-16711394.000000037
7900,73,3272.9,-399436.0,-17005813.000000037
8000,89,4013.1,-407469.0,-17368225.600000046
8100,97,4146.799999999999,-416740.0,-17812934.600000046
8200,52,2001.5,-423238.0,-18017823.500000045
8300,55,2529.0,-428579.0,-18244408.500000045
8400,61,3100.2,-434355.0,-18525482.700000044
8500,65,3739.0999999999995,-440639.0,-18867420.400000118
8600,38,1679.4,-446517.0,-19161283.400000114
8700,47,2047.7,-450556.0,-19346138.000000123
8800,60,2541.4,-455878.0,-19574604.20000011
8900,78,3191.3,-462853.0,-19859977.00000012
9000,87,3196.7,-471074.0,-20217193.000000108
9100,55,1941.8999999999999,-477226.0,-20399066.00000011
9200,58,2502.100000000001,-482928.0,-20621127.200000104
9300,69,3124.7,-489333.0,-20901908.40000008
9400,74,3821.5,-496461.0,-21249020.40000008
9500,48,2003.7,-503407.0,-21560017.400000066
9600,51,2487.1,-508341.0,-21784462.400000084
9700,57,3010.2000000000003,-513709.0,-22059129.600000113
9800,72,3635.0000000000005,-520293.0,-22390413.700000126
9900,79,3611.5000000000005,-527892.0,-22789575.700000133
