step,queue,delay,cum_delay
0,0,0.0,0.0
100,0,0.0,0.0
200,4,3.7,-98.9
300,4,17.0,-1727.9999999999998
400,5,20.3,-3956.799999999997
500,5,28.7,-6653.99999999999
600,11,33.900000000000006,-8755.199999999984
700,8,25.5,-13477.399999999985
800,18,95.4,-18199.79999999999
900,11,18.5,-24929.899999999994
1000,15,82.69999999999999,-30940.200000000037
1100,15,44.4,-36287.800000000054
1200,13,64.9,-43442.300000000076
1300,15,110.3,-51291.60000000005
1400,12,49.400000000000006,-57662.80000000005
1500,10,54.400000000000006,-64087.70000000006
1600,15,42.300000000000004,-70688.90000000007
1700,11,62.599999999999994,-75828.50000000009
1800,13,74.30000000000001,-81663.7000000002
1900,13,57.599999999999994,-87246.7000000002
2000,13,55.6,-93465.30000000026
2100,15,91.29999999999998,-100359.90000000024
2200,11,39.8,-106285.60000000028
2300,14,99.89999999999999,-112819.4000000003
2400,17,84.0,-118175.80000000034
2500,14,56.5,-126923.3000000004
2600,20,105.3,-133970.80000000048
2700,12,37.2,-142294.80000000063
2800,15,110.4,-149336.20000000065
2900,15,38.5,-154472.50000000064
3000,13,67.4,-163995.90000000066
3100,14,60.8,-168157.60000000062
3200,10,68.80000000000001,-177075.7000000006
3300,17,99.4,-183324.40000000066
3400,15,91.9,-193552.70000000024
3500,18,101.6,-199188.40000000026
3600,13,44.7,-206847.00000000032
3700,18,58.1,-214408.7000000005
3800,15,56.400000000000006,-218267.50000000055
3900,19,85.8,-229696.60000000027
4000,16,67.3,-233940.60000000024
4100,9,54.8,-242655.60000000006
4200,18,73.4,-248815.29999999976
4300,14,39.6,-255720.99999999983
4400,15,92.1,-264011.09999999974
4500,18,94.9,-272307.09999999957
4600,17,101.69999999999999,-281482.2999999996
4700,16,67.9,-287267.39999999973
4800,12,44.60000000000001,-294583.5999999996
4900,18,116.60000000000001,-302409.49999999936
5000,17,73.0,-311321.59999999945
5100,15,68.5,-319226.8999999997
5200,15,68.4,-325470.6999999997
5300,16,112.30000000000001,-334242.29999999993
5400,23,108.9,-342362.1
5500,15,46.599999999999994,-352524.9000000001
5600,18,127.8,-359807.2999999999
5700,18,83.10000000000001,-375557.29999999964
5800,21,121.7,-382825.0999999995
5900,23,132.1,-394692.5999999991
6000,21,143.60000000000002,-403293.39999999903
6100,15,50.5,-414672.89999999886
6200,17,95.5,-422227.4999999993
6300,22,116.0,-432330.39999999944
6400,20,95.89999999999999,-440243.9999999995
6500,24,119.5,-450212.0999999994
6600,25,235.3,-471412.4999999993
6700,22,111.5,-486962.6999999993
6800,20,155.9,-502588.89999999927
6900,31,160.70000000000002,-514471.29999999923
7000,36,142.2,-532346.4999999987
7100,35,171.3,-546038.7999999988
7200,32,172.2,-562390.899999999
7300,41,250.3,-577658.2999999995
7400,31,188.79999999999998,-598799.8999999999
7500,42,218.3,-612401.5000000001
7600,40,216.20000000000002,-633960.7999999999
7700,48,274.8,-652686.2999999999
7800,39,239.89999999999998,-678808.8
7900,48,215.70000000000002,-695298.0000000002
8000,47,82.4,-710906.8000000005
8100,48,213.60000000000002,-727464.7000000002
8200,48,159.20000000000002,-743279.7999999998
8300,38,190.39999999999998,-761703.2999999998
8400,42,139.0,-774944.5999999996
8500,31,86.0,-787995.4
8600,38,106.0,-801556.0999999997
8700,46,199.3,-813686.4000000001
8800,49,113.20000000000002,-828970.9000000006
8900,37,133.10000000000002,-843897.2000000011
9000,45,149.2,-858945.8000000011
9100,48,183.70000000000002,-873975.4000000015
9200,40,108.9,-889640.3000000016
9300,32,128.0,-902020.3000000018
9400,37,130.8,-916729.1000000018
9500,46,197.8,-931968.7000000026
9600,41,88.6,-946514.2000000023
9700,30,104.4,-959269.2000000026
9800,38,113.2,-969204.6000000017
9900,45,158.20000000000002,-982356.4000000014
